device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
749346575,739833361535,"(0.4194674491882324, 0.9961410760879517)","(-15.193960189819336, 8.546244621276855, -7.531177997589111)",1,4.879364013671875,1,"(-33.37877655029297, 41.971946716308594, 467.9735107421875)","(0.6017668843269348, 0.37445777654647827, 0.06296413391828537)",1,"(0.38256022334098816, 0.9058724045753479)","(-22.157194137573242, 18.548620223999023, -3.890634775161743)",1,4.6678619384765625,1,"(26.906198501586914, 33.86931228637695, 463.48162841796875)","(0.4181210994720459, 0.3957035541534424, 0.050586070865392685)",1,test
749846592,739833861527,"(0.3153230845928192, 0.22256524860858917)","(-34.84272384643555, 94.26350402832031, 23.667348861694336)",1,5.011627197265625,1,"(-32.562599182128906, 43.66069793701172, 470.1679992675781)","(0.5987650156021118, 0.37033262848854065, 0.067980095744133)",1,"(0.320584237575531, 0.21805137395858765)","(-33.85011672973633, 94.76367950439453, 23.849393844604492)",1,4.81744384765625,1,"(27.894014358520508, 35.461090087890625, 465.39190673828125)","(0.4155261814594269, 0.39162561297416687, 0.05516689270734787)",1,test
750346614,739834361397,"(0.6237161159515381, 0.8378792405128479)","(23.341327667236328, 26.08270263671875, -1.1484389305114746)",1,3.726654052734375,1,"(-31.685157775878906, 42.4288330078125, 470.15557861328125)","(0.5961203575134277, 0.37381985783576965, 0.06752770394086838)",1,"(0.5879043340682983, 0.7951086163520813)","(16.584787368774414, 30.821962356567383, 0.5765154957771301)",1,3.4831695556640625,1,"(28.3299560546875, 34.38117980957031, 465.4023742675781)","(0.414188027381897, 0.3947347402572632, 0.055021002888679504)",1,test
750863304,739834878260,"(0.42997413873672485, 0.6663474440574646)","(-13.211674690246582, 45.08954620361328, 5.769463062286377)",1,4.1359405517578125,1,"(-32.42249298095703, 43.143035888671875, 468.7599792480469)","(0.5986889004707336, 0.37135326862335205, 0.06479863822460175)",1,"(0.3731333911418915, 0.663186252117157)","(-23.93573760986328, 45.439823150634766, 5.896973609924316)",1,4.0348968505859375,1,"(27.71625518798828, 34.988407135009766, 463.85296630859375)","(0.4157317578792572, 0.3925608694553375, 0.05172099173069)",1,test
751379992,739835394873,"(0.2240469753742218, 0.012856117449700832)","(-52.06365966796875, 117.50064849853516, 32.124969482421875)",1,3.90692138671875,1,"(-34.493202209472656, 44.01362609863281, 468.37823486328125)","(0.6050435304641724, 0.3687732517719269, 0.06450354307889938)",1,"(0.21780936419963837, 0.06802047789096832)","(-53.24050521850586, 111.3880844116211, 29.900169372558594)",1,3.880126953125,1,"(25.89983367919922, 36.10480880737305, 463.53326416015625)","(0.4212386906147003, 0.38926392793655396, 0.051043104380369186)",1,test
751880017,739835894972,"(0.11763705313205719, -0.017293397337198257)","(-72.13986206054688, 120.84142303466797, 33.34091567993164)",1,3.838775634765625,1,"(-34.5047607421875, 44.16025924682617, 468.84832763671875)","(0.6049550771713257, 0.36850836873054504, 0.06555427610874176)",1,"(0.13137009739875793, 0.06677956879138947)","(-69.54886627197266, 111.52558135986328, 29.95022964477539)",1,3.73193359375,1,"(25.93096160888672, 36.245460510253906, 463.86126708984375)","(0.42121121287345886, 0.38895100355148315, 0.05178547650575638)",1,test
752396700,739836411547,"(0.6039330363273621, 0.8496699929237366)","(19.6088809967041, 24.776214599609375, -1.6239750385284424)",1,4.1647186279296875,1,"(-32.268638610839844, 42.498695373535156, 468.07476806640625)","(0.5983896851539612, 0.37297162413597107, 0.06314319372177124)",1,"(0.5720499753952026, 0.784033477306366)","(13.593568801879883, 32.04916000366211, 1.023166537284851)",1,3.83331298828125,1,"(27.68594741821289, 34.61460494995117, 463.58624267578125)","(0.41576293110847473, 0.3935677111148834, 0.05106320604681969)",1,test
752913398,739836928295,"(0.43811631202697754, 0.9749945402145386)","(-11.675505638122559, 10.889419555664062, -6.678328990936279)",1,4.363128662109375,1,"(-32.2587890625, 42.33318328857422, 468.1187744140625)","(0.5983476638793945, 0.37345799803733826, 0.06319686025381088)",1,"(0.39413732290267944, 0.9453784227371216)","(-19.97296142578125, 14.171091079711914, -5.483923435211182)",1,4.098724365234375,1,"(27.884998321533203, 34.28449630737305, 463.4685974121094)","(0.4151241183280945, 0.3944876194000244, 0.05076618865132332)",1,test
753413422,739837428496,"(0.5441362857818604, 0.9762097597122192)","(8.327127456665039, 10.754775047302246, -6.727345943450928)",1,3.8755035400390625,1,"(-32.200958251953125, 42.36680603027344, 467.1754455566406)","(0.5984076261520386, 0.3730623722076416, 0.06116299703717232)",1,"(0.4845595359802246, 0.9208284020423889)","(-2.9131388664245605, 16.89139175415039, -4.49380350112915)",1,3.6801910400390625,1,"(27.99666404724121, 34.322608947753906, 462.51470947265625)","(0.4145732820034027, 0.39411237835884094, 0.04872768372297287)",1,test
753930106,739837945021,"(0.2508329451084137, 0.02195672318339348)","(-47.009986877441406, 116.49224090576172, 31.75794219970703)",1,3.790924072265625,1,"(-33.984947204589844, 44.223819732666016, 467.97161865234375)","(0.6036168336868286, 0.3680340349674225, 0.06360089033842087)",1,"(0.25910356640815735, 0.03007984720170498)","(-45.44957733154297, 115.5921401977539, 31.430326461791992)",1,3.6288299560546875,1,"(26.398487091064453, 36.20201110839844, 463.0953369140625)","(0.4196217954158783, 0.3888509273529053, 0.050177931785583496)",1,test
754446788,739838461655,"(0.0275855902582407, 0.01134162861853838)","(-89.12974548339844, 117.66845703125, 32.18606948852539)",1,3.96685791015625,1,"(-35.34320068359375, 44.22939682006836, 468.65130615234375)","(0.6075372099876404, 0.3682577610015869, 0.06527968496084213)",1,"(0.05940500646829605, 0.078798308968544)","(-83.12641906738281, 110.19381713867188, 29.465511322021484)",1,3.800567626953125,1,"(25.113210678100586, 36.345664978027344, 463.8603515625)","(0.42371517419815063, 0.3886708915233612, 0.05170924961566925)",1,test
754946812,739838961758,"(0.7781731486320496, 0.10350801795721054)","(52.482513427734375, 107.45582580566406, 28.468955993652344)",1,4.1351776123046875,1,"(-32.162139892578125, 43.989986419677734, 468.0059814453125)","(0.5980961918830872, 0.3686896562576294, 0.06334341317415237)",1,"(0.7611958980560303, 0.024300632998347282)","(49.27945327758789, 116.23251342773438, 31.663415908813477)",1,3.6944732666015625,1,"(28.13301658630371, 35.96961975097656, 463.6252136230469)","(0.4144168496131897, 0.38965460658073425, 0.05148972198367119)",1,test
