device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
824891612,739908906971,"(0.49024415016174316, 0.32913827896118164)","(-1.840621829032898, 82.45453643798828, 19.369184494018555)",1,3.8035430908203125,1,"(-44.35441970825195, -23.740026473999023, 643.564697265625)","(0.5931441187858582, 0.5523070693016052, 0.43943148851394653)",1,"(0.4326469898223877, 0.36662757396698)","(-12.707395553588867, 78.30046844482422, 17.85723114013672)",1,3.5894317626953125,1,"(16.882333755493164, -22.687179565429688, 640.9000244140625)","(0.4644981920719147, 0.5497857332229614, 0.43079036474227905)",1,test
825408295,739909423742,"(0.5564360618591309, 0.3651566207408905)","(10.647706985473633, 78.46344757080078, 17.916608810424805)",1,3.8090362548828125,1,"(-43.962711334228516, -23.979637145996094, 643.3421630859375)","(0.5923583507537842, 0.5528156161308289, 0.43890196084976196)",1,"(0.5080300569534302, 0.34926530718803406)","(1.5150206089019775, 80.22432708740234, 18.55746841430664)",1,3.5377655029296875,1,"(17.18094253540039, -22.90262794494629, 641.022705078125)","(0.4638747572898865, 0.5502312779426575, 0.43108296394348145)",1,test
825924988,739909940295,"(0.47492387890815735, 0.3522936999797821)","(-4.731081008911133, 79.88875579833984, 18.435335159301758)",1,3.872222900390625,1,"(-44.25285720825195, -23.9698543548584, 643.394287109375)","(0.5929578542709351, 0.5527949333190918, 0.43905720114707947)",1,"(0.38948383927345276, 0.3882051706314087)","(-20.850923538208008, 75.9095458984375, 16.986974716186523)",1,3.6842803955078125,1,"(16.86579132080078, -22.822952270507812, 640.7555541992188)","(0.4645230770111084, 0.5500766634941101, 0.4304812252521515)",1,test
826425018,739910440277,"(0.47751742601394653, 0.7171294093132019)","(-4.241763591766357, 39.46259689331055, 3.7213690280914307)",1,4.1321258544921875,1,"(-44.52497863769531, -24.326379776000977, 642.94091796875)","(0.593600332736969, 0.55356365442276, 0.438130646944046)",1,"(0.3890591561794281, 0.7452263832092285)","(-20.931049346923828, 36.3492431640625, 2.588261365890503)",1,3.9600067138671875,1,"(16.382495880126953, -23.06991958618164, 639.8927001953125)","(0.46548837423324585, 0.5506333112716675, 0.42858967185020447)",1,test
826941691,739910957124,"(0.48548102378845215, 0.8166295289993286)","(-2.739276170730591, 28.437320709228516, -0.2914743423461914)",1,4.2023773193359375,1,"(-44.499385833740234, -24.424633026123047, 642.9789428710938)","(0.5935398936271667, 0.5537676215171814, 0.4382137060165405)",1,"(0.3915015161037445, 0.8236829042434692)","(-20.470245361328125, 27.65575408935547, -0.5759221911430359)",1,4.0758209228515625,1,"(16.563434600830078, -23.19708251953125, 640.5538940429688)","(0.465146005153656, 0.5508727431297302, 0.430041640996933)",1,test
827458393,739911473713,"(0.4792414903640747, 0.8179574012756348)","(-3.91648530960083, 28.29017448425293, -0.3450021743774414)",1,3.861053466796875,1,"(-44.40373229980469, -24.496475219726562, 643.2005004882812)","(0.593302845954895, 0.553907573223114, 0.43868327140808105)",1,"(0.38968345522880554, 0.8428288102149963)","(-20.813264846801758, 25.534250259399414, -1.348058819770813)",1,3.6937255859375,1,"(16.5537166595459, -23.312755584716797, 640.89501953125)","(0.46518683433532715, 0.5511019229888916, 0.43078720569610596)",1,test
827975073,739911990392,"(0.47872617840766907, 0.7923797369003296)","(-4.01370096206665, 31.124347686767578, 0.686556875705719)",1,4.0873565673828125,1,"(-43.54008483886719, -24.82506561279297, 645.1262817382812)","(0.5911837816238403, 0.5545015335083008, 0.44274836778640747)",1,"(0.38722407817840576, 0.8704289197921753)","(-21.277273178100586, 22.47597885131836, -2.461181402206421)",1,3.768646240234375,1,"(17.511642456054688, -23.709497451782227, 642.3533935546875)","(0.46325841546058655, 0.5518674254417419, 0.434027761220932)",1,test
828491763,739912507197,"(0.48535892367362976, 0.7884826064109802)","(-2.76230788230896, 31.556175231933594, 0.843718945980072)",1,3.8737335205078125,1,"(-43.333045959472656, -24.646692276000977, 644.2386474609375)","(0.5908929109573364, 0.554167628288269, 0.4407850205898285)",1,"(0.38543882966041565, 0.8800088763237)","(-21.614091873168945, 21.414480209350586, -2.8475754261016846)",1,3.5355682373046875,1,"(17.69522476196289, -23.6671199798584, 641.6829833984375)","(0.46282848715782166, 0.551805317401886, 0.4325801730155945)",1,test
828991797,739913007171,"(0.48912450671195984, 0.8335550427436829)","(-2.05185866355896, 26.56184959411621, -0.9740620851516724)",1,3.74371337890625,1,"(-44.41351318359375, -24.898324966430664, 643.707763671875)","(0.5932384133338928, 0.5547259449958801, 0.43980368971824646)",1,"(0.40683162212371826, 0.8448200225830078)","(-17.577943801879883, 25.313627243041992, -1.4284093379974365)",1,3.423492431640625,1,"(16.655841827392578, -23.629053115844727, 641.0497436523438)","(0.46497878432273865, 0.5517590641975403, 0.43114277720451355)",1,test
829508486,739913523955,"(0.5182828903198242, 0.3213617503643036)","(3.449404716491699, 83.31621551513672, 19.682842254638672)",1,3.6614990234375,1,"(-43.988346099853516, -23.920808792114258, 643.697265625)","(0.5923550724983215, 0.5526772737503052, 0.43967312574386597)",1,"(0.44904011487960815, 0.3393336832523346)","(-9.614523887634277, 81.32482147216797, 18.9580020904541)",1,3.392974853515625,1,"(17.138874053955078, -22.771793365478516, 641.196044921875)","(0.4639754295349121, 0.549950122833252, 0.431451678276062)",1,test
