device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
838292210,739922307519,"(0.4968605041503906, 0.3478267192840576)","(-0.5923211574554443, 80.38372039794922, 18.615501403808594)",1,3.8016510009765625,1,"(-46.52684020996094, -24.817995071411133, 642.9649658203125)","(0.5977902412414551, 0.5546067357063293, 0.4385097324848175)",1,"(0.4284486472606659, 0.3559885025024414)","(-13.499492645263672, 79.47933959960938, 18.286359786987305)",1,3.60345458984375,1,"(14.642650604248047, -23.15898895263672, 640.6702880859375)","(0.4692066013813019, 0.5508012175559998, 0.43019238114356995)",1,test
838808902,739922824401,"(0.5992527008056641, 0.39247262477874756)","(18.725866317749023, 75.4366455078125, 16.81495475769043)",1,3.857574462890625,1,"(-45.7261962890625, -24.460622787475586, 642.643310546875)","(0.596168041229248, 0.5538666844367981, 0.43767234683036804)",1,"(0.5166686177253723, 0.3538344204425812)","(3.1448452472686768, 79.71802520751953, 18.373220443725586)",1,3.6618499755859375,1,"(15.401595115661621, -22.9447078704834, 640.173095703125)","(0.4675779640674591, 0.5503655076026917, 0.4291413724422455)",1,test
839325592,739923341261,"(0.552772045135498, 0.0622251033782959)","(9.956424713134766, 112.0302505493164, 30.133892059326172)",1,3.9580841064453125,1,"(-45.62119674682617, -24.166851043701172, 643.5120849609375)","(0.5958034992218018, 0.5532117486000061, 0.4395264983177185)",1,"(0.5037420988082886, 0.06505542993545532)","(0.7060136198997498, 111.71662139892578, 30.01976203918457)",1,3.6864013671875,1,"(15.525002479553223, -22.64025115966797, 640.3157958984375)","(0.46732765436172485, 0.5497190356254578, 0.4294453561306)",1,test
839825613,739923841067,"(0.5231915712356567, 0.004274256527423859)","(4.375513076782227, 118.45157623291016, 32.471073150634766)",1,3.9712677001953125,1,"(-45.831199645996094, -24.0029354095459, 643.1237182617188)","(0.5963096022605896, 0.5528869032859802, 0.43870916962623596)",1,"(0.473636269569397, -0.029843870550394058)","(-4.974006175994873, 122.23209381103516, 33.8470458984375)",1,3.6495208740234375,1,"(15.41477108001709, -22.552658081054688, 640.2070922851562)","(0.46755480766296387, 0.5495398044586182, 0.42919987440109253)",1,test
840342302,739924357706,"(0.4970859885215759, 0.04816040024161339)","(-0.5497874617576599, 113.58871459960938, 30.701107025146484)",1,4.07635498046875,1,"(-45.65516662597656, -24.359338760375977, 643.1727905273438)","(0.5959305167198181, 0.5536302328109741, 0.43880483508110046)",1,"(0.4560609757900238, 0.04118037968873978)","(-8.289907455444336, 114.36214447021484, 30.982624053955078)",1,3.8023223876953125,1,"(15.53416633605957, -22.914230346679688, 640.836669921875)","(0.46733662486076355, 0.5502742528915405, 0.43058884143829346)",1,test
840858994,739924874427,"(0.5155362486839294, 0.3978414237499237)","(2.931201219558716, 74.84176635742188, 16.598390579223633)",1,4.0364227294921875,1,"(-45.41870880126953, -24.708005905151367, 642.97607421875)","(0.5954660773277283, 0.5543680191040039, 0.4383586049079895)",1,"(0.4465644061565399, 0.38814884424209595)","(-10.081623077392578, 75.91577911376953, 16.98926544189453)",1,3.7763671875,1,"(15.790771484375, -23.332725524902344, 640.4949951171875)","(0.4667723774909973, 0.5511655211448669, 0.42987751960754395)",1,test
841359012,739925374575,"(0.6131603121757507, 0.39688679575920105)","(21.349782943725586, 74.94754791259766, 16.636899948120117)",1,4.07330322265625,1,"(-45.39719009399414, -24.66783905029297, 643.3369750976562)","(0.5953609347343445, 0.5542672276496887, 0.43913599848747253)",1,"(0.5630864500999451, 0.37997743487358093)","(11.902419090270996, 76.82122039794922, 17.318838119506836)",1,3.8579254150390625,1,"(15.829689025878906, -23.245147705078125, 640.6441040039062)","(0.46669963002204895, 0.5509751439094543, 0.43019992113113403)",1,test
841875703,739925891113,"(0.5491127967834473, 0.3622434735298157)","(9.266036033630371, 78.78624725341797, 18.03408432006836)",1,4.016998291015625,1,"(-45.468021392822266, -24.586566925048828, 642.968505859375)","(0.5955713391304016, 0.5541142225265503, 0.43834400177001953)",1,"(0.4791707396507263, 0.334125816822052)","(-3.9298269748687744, 81.9018783569336, 19.168048858642578)",1,3.821868896484375,1,"(15.783212661743164, -23.195449829101562, 640.7928466796875)","(0.4668067991733551, 0.5508649945259094, 0.4305185079574585)",1,test
842392392,739926407801,"(0.5735148787498474, 0.39494478702545166)","(13.869937896728516, 75.16273498535156, 16.715225219726562)",1,4.21221923828125,1,"(-45.055152893066406, -24.6005859375, 642.958251953125)","(0.5947074294090271, 0.5541411638259888, 0.43826016783714294)",1,"(0.49280306696891785, 0.3720841407775879)","(-1.357839584350586, 77.69583892822266, 17.637195587158203)",1,4.01171875,1,"(16.204023361206055, -23.238914489746094, 640.548095703125)","(0.46590396761894226, 0.5509633421897888, 0.430011123418808)",1,test
842909083,739926924505,"(0.5410529375076294, 0.45297595858573914)","(7.745400428771973, 68.73249816894531, 14.374804496765137)",1,4.233917236328125,1,"(-44.946083068847656, -24.498138427734375, 643.1012573242188)","(0.5944557785987854, 0.5539193153381348, 0.4385490119457245)",1,"(0.4882422387599945, 0.46854233741760254)","(-2.218322277069092, 67.00765228271484, 13.746975898742676)",1,4.04046630859375,1,"(16.259605407714844, -23.213111877441406, 640.375244140625)","(0.4657762944698334, 0.5509157180786133, 0.42963749170303345)",1,test
