device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1007499761,740091516225,"(0.49737679958343506, 0.36078792810440063)","(-0.49492147564888, 78.94756317138672, 18.092708587646484)",1,3.9145660400390625,1,"(-47.770198822021484, -30.17666244506836, 651.4522705078125)","(0.5988984704017639, 0.5653162598609924, 0.4574015736579895)",1,"(0.4156208634376526, 0.444795697927475)","(-15.919692039489746, 69.63892364501953, 14.704728126525879)",1,3.7100982666015625,1,"(13.509638786315918, -29.918048858642578, 650.0924072265625)","(0.47201958298683167, 0.5644315481185913, 0.450970858335495)",1,test
1008016451,740092032875,"(0.5124810934066772, 0.33529895544052124)","(2.354785919189453, 81.77190399169922, 19.120704650878906)",1,3.994293212890625,1,"(-47.96092224121094, -29.966598510742188, 651.210205078125)","(0.5993348956108093, 0.5648977160453796, 0.45689353346824646)",1,"(0.4493674337863922, 0.39953163266181946)","(-9.552775382995605, 74.65449523925781, 16.530208587646484)",1,3.805572509765625,1,"(13.27672004699707, -29.678369522094727, 649.9607543945312)","(0.4724983870983124, 0.5639446377754211, 0.45065930485725403)",1,test
1008516476,740092532954,"(0.5043373703956604, 0.012530266307294369)","(0.8183290958404541, 117.53675842285156, 32.138092041015625)",1,3.9254302978515625,1,"(-47.87413024902344, -29.43636131286621, 651.3410034179688)","(0.5991359949111938, 0.563791811466217, 0.4571298360824585)",1,"(0.43663209676742554, 0.017344461753964424)","(-11.955535888671875, 117.00331115722656, 31.943950653076172)",1,3.817138671875,1,"(13.37839126586914, -29.21071434020996, 649.8280029296875)","(0.4722839295864105, 0.5629830360412598, 0.4503461718559265)",1,test
1009033166,740093049566,"(0.5135977864265442, 0.261920303106308)","(2.5654635429382324, 89.9027099609375, 22.080171585083008)",1,4.109130859375,1,"(-47.8570556640625, -29.707504272460938, 650.91748046875)","(0.5991717576980591, 0.5643783807754517, 0.45622625946998596)",1,"(0.43719133734703064, 0.2810802757740021)","(-11.850019454956055, 87.77967071533203, 21.307397842407227)",1,3.9544219970703125,1,"(13.369115829467773, -29.449087142944336, 649.8291015625)","(0.4723016619682312, 0.5634768605232239, 0.450362890958786)",1,test
1009549855,740093566218,"(0.569028377532959, 0.401394248008728)","(13.023487091064453, 74.44807434082031, 16.45514678955078)",1,4.2449188232421875,1,"(-47.75176239013672, -29.97819709777832, 651.2057495117188)","(0.598903477191925, 0.5649206042289734, 0.456851601600647)",1,"(0.4906584322452545, 0.42050042748451233)","(-1.7624645233154297, 72.33101654052734, 15.684525489807129)",1,4.021820068359375,1,"(13.459001541137695, -29.674182891845703, 649.6392211914062)","(0.4721042513847351, 0.5639539361000061, 0.449968546628952)",1,test
1010049871,740094066242,"(0.6454306840896606, 0.5458728671073914)","(27.438199996948242, 58.43893051147461, 10.628201484680176)",1,4.162689208984375,1,"(-47.49260330200195, -30.19143295288086, 651.0673828125)","(0.5983904600143433, 0.56536865234375, 0.45652493834495544)",1,"(0.6073539853096008, 0.5875440239906311)","(20.254322052001953, 53.82149887084961, 8.947586059570312)",1,3.8729095458984375,1,"(13.711325645446777, -29.95046043395996, 649.51220703125)","(0.4715719223022461, 0.5645323991775513, 0.44972163438796997)",1,test
1010566565,740094582888,"(0.604081928730011, 0.3557676374912262)","(19.636978149414062, 79.50384521484375, 18.295181274414062)",1,4.05804443359375,1,"(-47.71146011352539, -30.136104583740234, 651.353759765625)","(0.5987941026687622, 0.5652380585670471, 0.4571762681007385)",1,"(0.5107361674308777, 0.3881816267967224)","(2.0255820751190186, 75.91213989257812, 16.987966537475586)",1,3.660430908203125,1,"(13.527876853942871, -29.88903045654297, 650.2091064453125)","(0.47198763489723206, 0.5643642544746399, 0.45122334361076355)",1,test
1011083255,740095099690,"(0.5965268611907959, 0.40960508584976196)","(18.21157455444336, 73.53826904296875, 16.12396812438965)",1,3.9093475341796875,1,"(-47.932708740234375, -30.013011932373047, 651.0596923828125)","(0.5993021130561829, 0.5650028586387634, 0.456565797328949)",1,"(0.5263186693191528, 0.4023610055446625)","(4.965502738952637, 74.3409652709961, 16.41613006591797)",1,3.58624267578125,1,"(13.263105392456055, -29.695398330688477, 649.5760498046875)","(0.4725080728530884, 0.5640029907226562, 0.4498240649700165)",1,test
1011599945,740095616410,"(0.6412123441696167, 0.100728839635849)","(26.64232635498047, 107.7637939453125, 28.581005096435547)",1,4.000091552734375,1,"(-47.86777114868164, -29.36304473876953, 650.89208984375)","(0.5992000102996826, 0.563666582107544, 0.4561512768268585)",1,"(0.5736885070800781, 0.03178684413433075)","(13.902703285217285, 115.40300750732422, 31.361461639404297)",1,3.7313232421875,1,"(13.383526802062988, -29.107242584228516, 649.3953857421875)","(0.4722530245780945, 0.5627937316894531, 0.4494001269340515)",1,test
1012116635,740096133032,"(0.4722588360309601, 0.35324814915657043)","(-5.233885765075684, 79.78300476074219, 18.396825790405273)",1,4.0906524658203125,1,"(-48.268550872802734, -29.874300003051758, 650.8551025390625)","(0.6000322699546814, 0.5647305250167847, 0.4561668038368225)",1,"(0.4005371034145355, 0.40525373816490173)","(-18.765525817871094, 74.02043914794922, 16.299448013305664)",1,3.8969573974609375,1,"(12.945032119750977, -29.509302139282227, 649.3881225585938)","(0.47316139936447144, 0.5636307001113892, 0.449390172958374)",1,test
1012633323,740096649742,"(0.5187535285949707, 0.4618050158023834)","(3.5382041931152344, 67.75416564941406, 14.018742561340332)",1,4.0711212158203125,1,"(-48.189964294433594, -30.133331298828125, 650.701416015625)","(0.5998949408531189, 0.5652759075164795, 0.4558378756046295)",1,"(0.42979589104652405, 0.5118984580039978)","(-13.245312690734863, 62.20349884033203, 11.998441696166992)",1,3.80780029296875,1,"(12.94625473022461, -29.785680770874023, 649.5054931640625)","(0.4731625020503998, 0.5641966462135315, 0.4496627151966095)",1,test
1013133346,740097149875,"(0.5692416429519653, 0.5276901721954346)","(13.06372356414795, 60.453678131103516, 11.361536026000977)",1,4.0529937744140625,1,"(-48.180633544921875, -30.351425170898438, 650.3013305664062)","(0.5999436378479004, 0.5657525658607483, 0.45498353242874146)",1,"(0.47599345445632935, 0.5997977256774902)","(-4.529285430908203, 52.46369934082031, 8.453424453735352)",1,3.78668212890625,1,"(12.95111083984375, -29.924530029296875, 649.2135009765625)","(0.47313785552978516, 0.5645021200180054, 0.4490373730659485)",1,test
