device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1021300377,740105316895,"(0.4824233651161194, 0.33866751194000244)","(-3.3161656856536865, 81.39862060546875, 18.984909057617188)",1,4.0572509765625,1,"(-46.703941345214844, -30.154544830322266, 652.3345947265625)","(0.596549391746521, 0.5652086138725281, 0.45914676785469055)",1,"(0.40433287620544434, 0.4213187098503113)","(-18.04937744140625, 72.2403335571289, 15.651545524597168)",1,3.7849884033203125,1,"(14.577285766601562, -30.35013198852539, 651.0465087890625)","(0.4698505699634552, 0.5652598738670349, 0.453121155500412)",1,test
1021800400,740105816804,"(0.5151872634887695, 0.3915180265903473)","(2.8653576374053955, 75.54244995117188, 16.853376388549805)",1,3.9559478759765625,1,"(-47.14055633544922, -30.01775360107422, 651.7239990234375)","(0.5975531339645386, 0.5649663805961609, 0.457881897687912)",1,"(0.44026386737823486, 0.4285961389541626)","(-11.270331382751465, 71.43394470214844, 15.358036994934082)",1,3.824371337890625,1,"(14.101593971252441, -30.12189483642578, 650.351318359375)","(0.4708026051521301, 0.5648337006568909, 0.45157352089881897)",1,test
1022317089,740106333611,"(0.4732983410358429, 0.34672069549560547)","(-5.037764549255371, 80.50626373291016, 18.660127639770508)",1,3.9577178955078125,1,"(-47.468101501464844, -29.90915298461914, 651.580322265625)","(0.5982542037963867, 0.5647528171539307, 0.4576146602630615)",1,"(0.39645978808403015, 0.4164236783981323)","(-19.5347843170166, 72.7827377319336, 15.848958015441895)",1,3.776458740234375,1,"(13.799476623535156, -29.92131805419922, 650.1403198242188)","(0.4714203178882599, 0.5644333362579346, 0.45108842849731445)",1,test
1022833782,740106850233,"(0.530868411064148, 0.3486086428165436)","(5.823897361755371, 80.29708099365234, 18.583974838256836)",1,4.0311431884765625,1,"(-47.106910705566406, -29.773529052734375, 651.37353515625)","(0.5975438356399536, 0.5644822120666504, 0.45710158348083496)",1,"(0.468062162399292, 0.3904476463794708)","(-6.025669097900391, 75.66106414794922, 16.896543502807617)",1,3.786285400390625,1,"(14.13282585144043, -29.896652221679688, 650.022705078125)","(0.470722496509552, 0.5643870234489441, 0.45084667205810547)",1,test
1023350472,740107366776,"(0.482965886592865, 0.3409554064273834)","(-3.2138023376464844, 81.14511108398438, 18.892610549926758)",1,3.821044921875,1,"(-47.39221954345703, -29.753026962280273, 650.9874267578125)","(0.5981987714767456, 0.5644651055335999, 0.45630785822868347)",1,"(0.40755850076675415, 0.3661235272884369)","(-17.440805435180664, 78.3563232421875, 17.877586364746094)",1,3.544891357421875,1,"(13.869373321533203, -29.876873016357422, 649.9625854492188)","(0.47126659750938416, 0.564351499080658, 0.45070257782936096)",1,test
1023850494,740107866968,"(0.5910858511924744, 0.3786941468715668)","(17.185026168823242, 76.96343231201172, 17.370563507080078)",1,3.8115997314453125,1,"(-46.85675811767578, -29.846925735473633, 651.623291015625)","(0.5969849228858948, 0.5646171569824219, 0.4576089680194855)",1,"(0.526984453201294, 0.34877610206604004)","(5.091124057769775, 80.27852630615234, 18.57718849182129)",1,3.50299072265625,1,"(14.382160186767578, -30.015731811523438, 650.2920532226562)","(0.47021809220314026, 0.5646155476570129, 0.4514511823654175)",1,test
1024367185,740108383704,"(0.5922914147377014, 0.14663377404212952)","(17.412473678588867, 102.6772232055664, 26.729637145996094)",1,4.033203125,1,"(-47.019859313964844, -29.581886291503906, 651.4338989257812)","(0.5973548889160156, 0.5640813708305359, 0.4572067856788635)",1,"(0.5362142324447632, 0.11336976289749146)","(6.832482814788818, 106.36309051513672, 28.071186065673828)",1,3.6963043212890625,1,"(14.289552688598633, -29.71363067626953, 650.3314819335938)","(0.47041425108909607, 0.563988447189331, 0.4515131413936615)",1,test
1024883874,740108900361,"(0.5421165823936462, 0.3630914092063904)","(7.946072578430176, 78.69229888916016, 17.999845504760742)",1,4.0819549560546875,1,"(-47.07157897949219, -30.007280349731445, 651.805908203125)","(0.5973970293998718, 0.5649392008781433, 0.458048015832901)",1,"(0.47309455275535583, 0.3716575801372528)","(-5.076207637786865, 77.74311828613281, 17.654369354248047)",1,3.8718719482421875,1,"(14.175579071044922, -30.119884490966797, 650.6641845703125)","(0.4706650972366333, 0.5648099184036255, 0.45225659012794495)",1,test
1025400562,740109417064,"(0.44043949246406555, 0.35301393270492554)","(-11.237198829650879, 79.8089599609375, 18.406267166137695)",1,3.887603759765625,1,"(-47.36851501464844, -29.978300094604492, 651.8088989257812)","(0.5980095863342285, 0.5648811459541321, 0.458098828792572)",1,"(0.36957529187202454, 0.36311402916908264)","(-24.60704231262207, 78.68978881835938, 17.998945236206055)",1,3.64453125,1,"(13.929967880249023, -30.084152221679688, 650.3690795898438)","(0.47115984559059143, 0.5647556781768799, 0.4516017735004425)",1,test
1025900582,740109917077,"(0.5457838773727417, 0.4324253797531128)","(8.637971878051758, 71.0096435546875, 15.203607559204102)",1,3.714935302734375,1,"(-46.99968719482422, -29.94241714477539, 651.0225830078125)","(0.5973804593086243, 0.5648523569107056, 0.45633503794670105)",1,"(0.45782145857810974, 0.46412917971611023)","(-7.957765579223633, 67.49666595458984, 13.92496395111084)",1,3.490081787109375,1,"(14.267045974731445, -30.075210571289062, 649.3177490234375)","(0.47040626406669617, 0.564798891544342, 0.44933298230171204)",1,test
