device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1145239257,740229256189,"(0.4920163154602051, 0.3830527663230896)","(-1.5062737464904785, 76.4804458618164, 17.19483757019043)",1,3.6611328125,1,"(-51.36792755126953, -32.774009704589844, 651.5084228515625)","(0.6063036918640137, 0.5707129240036011, 0.4582889676094055)",1,"(0.40035760402679443, 0.3750374913215637)","(-18.79939079284668, 77.36859893798828, 17.51805877685547)",1,3.4620361328125,1,"(9.959625244140625, -35.140830993652344, 651.47265625)","(0.47940486669540405, 0.5751668214797974, 0.4542107582092285)",1,test
1145739278,740229756433,"(0.55682772397995, 0.42334455251693726)","(10.721596717834473, 72.015869140625, 15.569808006286621)",1,3.73199462890625,1,"(-50.9757194519043, -32.80754852294922, 651.5831298828125)","(0.6054801940917969, 0.5707743167877197, 0.4583872854709625)",1,"(0.49461522698402405, 0.38493797183036804)","(-1.01594078540802, 76.27156066894531, 17.1187801361084)",1,3.5169219970703125,1,"(10.330087661743164, -35.20549011230469, 651.3208618164062)","(0.47863149642944336, 0.5753094553947449, 0.4538988173007965)",1,test
1146255971,740230273111,"(0.5215834379196167, 0.40301254391670227)","(4.072112083435059, 74.2687759399414, 16.38983917236328)",1,3.731781005859375,1,"(-51.40806579589844, -33.09440231323242, 651.6074829101562)","(0.606366753578186, 0.5713692903518677, 0.45853391289711)",1,"(0.44514209032058716, 0.34577423334121704)","(-10.349964141845703, 80.61116027832031, 18.69824981689453)",1,3.5962677001953125,1,"(9.848913192749023, -35.52680206298828, 651.3125)","(0.479625940322876, 0.5759777426719666, 0.453890860080719)",1,test
1146772656,740230789823,"(0.48317253589630127, 0.3927803337574005)","(-3.174814462661743, 75.40257263183594, 16.802507400512695)",1,3.8053131103515625,1,"(-52.05365753173828, -32.97651672363281, 651.3252563476562)","(0.6077522039413452, 0.5711499452590942, 0.45802372694015503)",1,"(0.40491434931755066, 0.36967262625694275)","(-17.939672470092773, 77.9630355834961, 17.734485626220703)",1,3.6558074951171875,1,"(9.226591110229492, -35.314697265625, 651.093017578125)","(0.4809092879295349, 0.5755607485771179, 0.4533770978450775)",1,test
1147272679,740231289878,"(0.5772353410720825, 0.3937899172306061)","(14.571884155273438, 75.29070281982422, 16.76176643371582)",1,3.9689788818359375,1,"(-51.58913040161133, -32.778419494628906, 651.0093994140625)","(0.6068522334098816, 0.5707586407661438, 0.457245796918869)",1,"(0.5093295574188232, 0.35033178329467773)","(1.7601840496063232, 80.10616302490234, 18.514429092407227)",1,3.7903289794921875,1,"(9.717288970947266, -35.256134033203125, 650.4842529296875)","(0.47987130284309387, 0.575482964515686, 0.4520653784275055)",1,test
1147789367,740231806568,"(0.5361754894256592, 0.49805590510368347)","(6.8251752853393555, 63.737335205078125, 12.556722640991211)",1,3.9996337890625,1,"(-51.5440788269043, -32.949256896972656, 650.9922485351562)","(0.6067614555358887, 0.5711133480072021, 0.45721355080604553)",1,"(0.44542208313941956, 0.4900174140930176)","(-10.297144889831543, 64.62806701660156, 12.88089656829834)",1,3.8289642333984375,1,"(9.733354568481445, -35.438941955566406, 650.6707153320312)","(0.4798433482646942, 0.575846791267395, 0.45248597860336304)",1,test
1148306057,740232323196,"(0.49872535467147827, 0.47640612721443176)","(-0.24048426747322083, 66.13628387451172, 13.429864883422852)",1,3.9345855712890625,1,"(-51.739410400390625, -32.829036712646484, 650.616455078125)","(0.6072351932525635, 0.5708920955657959, 0.45642393827438354)",1,"(0.41516682505607605, 0.4659145474433899)","(-16.005353927612305, 67.298828125, 13.852958679199219)",1,3.7018585205078125,1,"(9.58386516571045, -35.292198181152344, 650.3946533203125)","(0.48014476895332336, 0.5755655169487, 0.451869398355484)",1,test
1148822748,740232839866,"(0.4925561547279358, 0.38195860385894775)","(-1.4044289588928223, 76.6016845703125, 17.238964080810547)",1,3.7552642822265625,1,"(-51.612178802490234, -32.80835723876953, 650.9696044921875)","(0.606907069683075, 0.570823609828949, 0.45716580748558044)",1,"(0.4372848868370056, 0.3672216534614563)","(-11.832372665405273, 78.2346420288086, 17.833288192749023)",1,3.4868621826171875,1,"(9.726919174194336, -35.38902282714844, 650.716796875)","(0.4798586368560791, 0.5757399201393127, 0.4525817930698395)",1,test
1149339437,740233356697,"(0.5848453044891357, 0.398377388715744)","(16.007625579833984, 74.78239440917969, 16.576738357543945)",1,3.7457733154296875,1,"(-51.64335632324219, -32.826087951660156, 649.921875)","(0.6071652770042419, 0.5709342360496521, 0.4549029767513275)",1,"(0.5283849239349365, 0.35107770562171936)","(5.355344295501709, 80.02349853515625, 18.484376907348633)",1,3.52191162109375,1,"(9.6702241897583, -35.3818473815918, 650.1806640625)","(0.4799574613571167, 0.5757671594619751, 0.45141467452049255)",1,test
1149856127,740233873388,"(0.44400516152381897, 0.3822629749774933)","(-10.564473152160645, 76.5679702758789, 17.22666358947754)",1,3.7224578857421875,1,"(-51.99925231933594, -32.774871826171875, 650.5154418945312)","(0.6077914237976074, 0.5707889199256897, 0.45624563097953796)",1,"(0.38452014327049255, 0.39537087082862854)","(-21.78742027282715, 75.11551666259766, 16.69805145263672)",1,3.6414031982421875,1,"(9.340971946716309, -35.28837966918945, 649.87451171875)","(0.4806312024593353, 0.5755996108055115, 0.4507317543029785)",1,test
