device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1178990758,740263008229,"(0.5309425592422485, 0.3955782651901245)","(5.837882995605469, 75.0925521850586, 16.68964195251465)",1,4.2135162353515625,1,"(-49.16220474243164, -32.28224182128906, 651.2640991210938)","(0.6017952561378479, 0.5696961879730225, 0.457359254360199)",1,"(0.4670579433441162, 0.4009418785572052)","(-6.215134143829346, 74.49822998046875, 16.47332191467285)",1,4.0324249267578125,1,"(12.059239387512207, -36.838199615478516, 651.4729614257812)","(0.4750451445579529, 0.5786592960357666, 0.4544302225112915)",1,test
1179507449,740263524869,"(0.5275788307189941, 0.435346782207489)","(5.203258991241455, 70.68592834472656, 15.085798263549805)",1,3.4898529052734375,1,"(-48.99011993408203, -32.378597259521484, 651.254638671875)","(0.6014409065246582, 0.5698950290679932, 0.45731785893440247)",1,"(0.46460795402526855, 0.3450828492641449)","(-6.677364826202393, 80.68777465820312, 18.726118087768555)",1,3.371124267578125,1,"(12.20808219909668, -37.02716827392578, 651.5262451171875)","(0.4747379422187805, 0.5790443420410156, 0.45456835627555847)",1,test
1180024140,740264041592,"(0.5003596544265747, 0.158612459897995)","(0.06784363090991974, 101.34989929199219, 26.24657440185547)",1,3.63250732421875,1,"(-49.04866409301758, -32.157772064208984, 651.068115234375)","(0.6015956997871399, 0.5694510340690613, 0.45690733194351196)",1,"(0.4522473216056824, 0.11891945451498032)","(-9.009428977966309, 105.74815368652344, 27.84735107421875)",1,3.4127655029296875,1,"(12.108335494995117, -36.76619338989258, 651.153076171875)","(0.47492995858192444, 0.5785362124443054, 0.4537312388420105)",1,test
1180540830,740264558225,"(0.4966144859790802, 0.18641018867492676)","(-0.638739287853241, 98.26972961425781, 25.12546730041504)",1,3.88214111328125,1,"(-49.05021667480469, -32.19125747680664, 651.45849609375)","(0.6015303730964661, 0.5694937705993652, 0.45775583386421204)",1,"(0.4434538185596466, 0.11620651185512543)","(-10.668489456176758, 106.04875946044922, 27.956790924072266)",1,3.709930419921875,1,"(12.138203620910645, -36.83436584472656, 651.6931762695312)","(0.4748912453651428, 0.5786327123641968, 0.45491135120391846)",1,test
1181057519,740265074927,"(0.5106722712516785, 0.46685677766799927)","(2.0135085582733154, 67.19442749023438, 13.81495189666748)",1,4.1280670166015625,1,"(-48.9423942565918, -32.50434875488281, 650.990234375)","(0.6013879776000977, 0.5701732635498047, 0.456746369600296)",1,"(0.4422277510166168, 0.4308895468711853)","(-10.899811744689941, 71.17981719970703, 15.26554012298584)",1,4.0750732421875,1,"(12.218527793884277, -37.180423736572266, 651.0439453125)","(0.47469404339790344, 0.5794008374214172, 0.45353472232818604)",1,test
1181574210,740265591572,"(0.5234963297843933, 0.41211003065109253)","(4.433011531829834, 73.2607421875, 16.02287483215332)",1,3.8536529541015625,1,"(-48.67301940917969, -32.3056640625, 650.8887329101562)","(0.600849986076355, 0.5697668194770813, 0.456468790769577)",1,"(0.4560631811618805, 0.41338539123535156)","(-8.289493560791016, 73.119384765625, 15.971503257751465)",1,3.7775726318359375,1,"(12.448060989379883, -37.05770492553711, 651.0855712890625)","(0.47422102093696594, 0.5791420340538025, 0.45362377166748047)",1,test
1182074232,740266091648,"(0.4693881571292877, 0.42583927512168884)","(-5.775498390197754, 71.73942565917969, 15.469239234924316)",1,3.8646392822265625,1,"(-48.68871307373047, -32.350929260253906, 650.9227294921875)","(0.6008762121200562, 0.5698583722114563, 0.456548273563385)",1,"(0.4038553237915039, 0.3560999929904938)","(-18.139474868774414, 79.46698760986328, 18.281845092773438)",1,3.716339111328125,1,"(12.440458297729492, -37.22718048095703, 651.14404296875)","(0.47423824667930603, 0.5794876217842102, 0.45376521348953247)",1,test
1182590923,740266608357,"(0.5760307312011719, 0.4282996356487274)","(14.344606399536133, 71.46680450439453, 15.36999225616455)",1,3.9432373046875,1,"(-48.58384323120117, -32.418312072753906, 651.0440063476562)","(0.6006380319595337, 0.5699887871742249, 0.45679906010627747)",1,"(0.5066149234771729, 0.3966660797595978)","(1.2480251789093018, 74.97200775146484, 16.645776748657227)",1,3.7926025390625,1,"(12.594664573669434, -37.29351043701172, 650.92822265625)","(0.4739084839820862, 0.5796416401863098, 0.45330876111984253)",1,test
1183107609,740267124999,"(0.4700402021408081, 0.38643699884414673)","(-5.652472972869873, 76.10546112060547, 17.058320999145508)",1,3.9526824951171875,1,"(-48.603389739990234, -32.505126953125, 651.0775146484375)","(0.6006721258163452, 0.5701663494110107, 0.456881046295166)",1,"(0.40599554777145386, 0.3448501229286194)","(-17.73568344116211, 80.71356964111328, 18.735504150390625)",1,3.809539794921875,1,"(12.614736557006836, -37.38350296020508, 650.8443603515625)","(0.4738624095916748, 0.5798346400260925, 0.45313534140586853)",1,test
1183624304,740267641761,"(0.5870402455329895, 0.39634451270103455)","(16.42174530029297, 75.00762939453125, 16.65877342224121)",1,4.076629638671875,1,"(-48.61432647705078, -32.46649932861328, 650.3779907226562)","(0.6008166670799255, 0.5701348185539246, 0.45536431670188904)",1,"(0.546593427658081, 0.34550997614860535)","(8.790711402893066, 80.64043426513672, 18.70892333984375)",1,3.902435302734375,1,"(12.537494659423828, -37.31467819213867, 650.7071533203125)","(0.47401681542396545, 0.579704225063324, 0.45282816886901855)",1,test
1184140991,740268158369,"(0.5013859272003174, 0.42164045572280884)","(0.2614702880382538, 72.20471954345703, 15.63849925994873)",1,4.0771484375,1,"(-48.70685577392578, -32.33189392089844, 650.659423828125)","(0.6009597778320312, 0.5698370933532715, 0.45597919821739197)",1,"(0.44967150688171387, 0.35442981123924255)","(-9.495408058166504, 79.65206909179688, 18.349163055419922)",1,3.9117889404296875,1,"(12.469221115112305, -37.25634765625, 650.8861083984375)","(0.4741668701171875, 0.5795692205429077, 0.453208863735199)",1,test
1184657682,740268675174,"(0.5854353308677673, 0.4013743996620178)","(16.11895179748535, 74.45028686523438, 16.455930709838867)",1,3.9903564453125,1,"(-48.593772888183594, -32.31010437011719, 650.4046020507812)","(0.6007704138755798, 0.5698086619377136, 0.4554073214530945)",1,"(0.5135986804962158, 0.36105605959892273)","(2.5656278133392334, 78.91783142089844, 18.081937789916992)",1,3.8494415283203125,1,"(12.624448776245117, -37.22261047363281, 650.6700439453125)","(0.47383540868759155, 0.5795162916183472, 0.45274314284324646)",1,test
