device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1201341760,740285359128,"(0.5084325075149536, 0.4045853018760681)","(1.590940237045288, 74.09451293945312, 16.326398849487305)",1,3.8558807373046875,1,"(-48.79157638549805, -32.4620361328125, 647.9599609375)","(0.6016080379486084, 0.5702946782112122, 0.45015326142311096)",1,"(0.4595920443534851, 0.3678254783153534)","(-7.623711585998535, 78.1677474975586, 17.808910369873047)",1,3.5717010498046875,1,"(12.347423553466797, -37.773651123046875, 648.4527587890625)","(0.47430700063705444, 0.580847442150116, 0.447965532541275)",1,test
1201341760,740285359128,"(0.5084325075149536, 0.4045853018760681)","(1.590940237045288, 74.09451293945312, 16.326398849487305)",1,3.8558807373046875,1,"(-48.79157638549805, -32.4620361328125, 647.9599609375)","(0.6016080379486084, 0.5702946782112122, 0.45015326142311096)",1,"(0.4595920443534851, 0.3678254783153534)","(-7.623711585998535, 78.1677474975586, 17.808910369873047)",1,3.5717010498046875,1,"(12.347423553466797, -37.773651123046875, 648.4527587890625)","(0.47430700063705444, 0.580847442150116, 0.447965532541275)",1,test
1202375140,740286392397,"(0.5701637864112854, 0.4223807156085968)","(13.237683296203613, 72.1226577758789, 15.608724594116211)",1,3.926422119140625,1,"(-48.78583908081055, -32.68376159667969, 647.9136352539062)","(0.601603090763092, 0.5707591772079468, 0.45006805658340454)",1,"(0.5023342967033386, 0.3552755117416382)","(0.4404001235961914, 79.55835723876953, 18.315073013305664)",1,3.75799560546875,1,"(12.320777893066406, -37.97310256958008, 648.5347900390625)","(0.4743648171424866, 0.5812546610832214, 0.4481605887413025)",1,test
1202891828,740286909422,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,test
1203408519,740287426071,"(0.49181923270225525, 0.3938256800174713)","(-1.5434526205062866, 75.28675079345703, 16.76030731201172)",1,4.08917236328125,1,"(-48.975677490234375, -32.61823272705078, 647.76708984375)","(0.6020238399505615, 0.5706344842910767, 0.44977641105651855)",1,"(0.3944711685180664, 0.38432446122169495)","(-19.909971237182617, 76.33954620361328, 17.143510818481445)",1,4.077362060546875,1,"(12.20950698852539, -37.881500244140625, 648.2698974609375)","(0.47458532452583313, 0.5810880661010742, 0.4475725293159485)",1,test
1203908538,740287926072,"(0.5828024744987488, 0.40121299028396606)","(15.622210502624512, 74.46819305419922, 16.46238136291504)",1,3.9767913818359375,1,"(-48.389278411865234, -32.58793258666992, 647.939208984375)","(0.6007751822471619, 0.5705550909042358, 0.4500526785850525)",1,"(0.5130395889282227, 0.34746092557907104)","(2.4601573944091797, 80.42426300048828, 18.630229949951172)",1,3.793548583984375,1,"(12.76193904876709, -37.95692443847656, 648.3103637695312)","(0.4734361171722412, 0.5812371373176575, 0.44769009947776794)",1,test
1204425227,740288442875,"(0.5754038691520691, 0.3888346552848816)","(14.226330757141113, 75.83978271484375, 16.96161460876465)",1,4.118011474609375,1,"(-48.54407501220703, -32.59107971191406, 647.6458129882812)","(0.6011483073234558, 0.5705833435058594, 0.449442058801651)",1,"(0.5210277438163757, 0.37251219153404236)","(3.9672670364379883, 77.64842987060547, 17.619876861572266)",1,3.907928466796875,1,"(12.642132759094238, -37.87614059448242, 647.639892578125)","(0.47365525364875793, 0.581127941608429, 0.44622164964675903)",1,test
1204941916,740288959426,"(0.5893504023551941, 0.43450620770454407)","(16.85760498046875, 70.77909088134766, 15.11965274810791)",1,4.1705169677734375,1,"(-48.737003326416016, -32.74900817871094, 647.9439697265625)","(0.6014959812164307, 0.5708923935890198, 0.4501307010650635)",1,"(0.5203766822814941, 0.38024160265922546)","(3.8444411754608154, 76.79195404052734, 17.30816650390625)",1,4.005096435546875,1,"(12.480293273925781, -38.04640197753906, 648.5067138671875)","(0.4740309715270996, 0.5814080238342285, 0.448112815618515)",1,test
1205458607,740289476164,"(0.4668070673942566, 0.4244846701622009)","(-6.262461185455322, 71.88953399658203, 15.523843765258789)",1,4.350341796875,1,"(-48.992427825927734, -32.83888626098633, 647.800048828125)","(0.6020516157150269, 0.5710914731025696, 0.44986677169799805)",1,"(0.4071330428123474, 0.3647899031639099)","(-17.521072387695312, 78.50409698486328, 17.931344985961914)",1,4.138427734375,1,"(12.234491348266602, -38.073692321777344, 647.746826171875)","(0.4745086431503296, 0.5815322995185852, 0.44645506143569946)",1,test
1205958632,740289976184,"(0.5909894108772278, 0.40896064043045044)","(17.166837692260742, 73.60969543457031, 16.149932861328125)",1,3.9981842041015625,1,"(-48.85054016113281, -32.79779052734375, 647.6099853515625)","(0.6017906069755554, 0.571018397808075, 0.44942906498908997)",1,"(0.518770694732666, 0.37727639079093933)","(3.541436195373535, 77.12049865722656, 17.42780113220215)",1,3.8806915283203125,1,"(12.36685562133789, -37.996395111083984, 647.7216796875)","(0.47423210740089417, 0.581372857093811, 0.4463987946510315)",1,test
