device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1224042773,740308060312,"(0.4842589199542999, 0.43489328026771545)","(-2.969850778579712, 70.7361831665039, 15.104071617126465)",1,4.150543212890625,1,"(-48.86175537109375, -33.445281982421875, 650.044677734375)","(0.6013818979263306, 0.5721895694732666, 0.454754114151001)",1,"(0.41907188296318054, 0.38397353887557983)","(-15.268590927124023, 76.37842559814453, 17.157670974731445)",1,3.9452056884765625,1,"(12.253290176391602, -38.735382080078125, 650.251708984375)","(0.4745766818523407, 0.5826857089996338, 0.45195645093917847)",1,test
1224559464,740308577138,"(0.5682331919670105, 0.39729392528533936)","(12.87344741821289, 74.90245056152344, 16.620441436767578)",1,4.04833984375,1,"(-48.83306884765625, -33.588294982910156, 649.9197387695312)","(0.6013436913490295, 0.5724950432777405, 0.45448967814445496)",1,"(0.4993664026260376, 0.34705477952957153)","(-0.11954042315483093, 80.4692611694336, 18.646625518798828)",1,3.839569091796875,1,"(12.184024810791016, -38.83783721923828, 650.2971801757812)","(0.4747217893600464, 0.5828943848609924, 0.4520619213581085)",1,test
1225059487,740309077146,"(0.46246951818466187, 0.33774906396865845)","(-7.0808186531066895, 81.50039672851562, 19.02191925048828)",1,3.7940826416015625,1,"(-49.545379638671875, -33.51719665527344, 649.5489501953125)","(0.6028848886489868, 0.5723796486854553, 0.45379650592803955)",1,"(0.4022441506385803, 0.3464885950088501)","(-18.44346046447754, 80.5320053100586, 18.6694393157959)",1,3.5999908447265625,1,"(11.48366928100586, -38.638877868652344, 649.3997192382812)","(0.47613921761512756, 0.5825666189193726, 0.4500671327114105)",1,test
1225576175,740309593876,"(0.46321287751197815, 0.36993926763534546)","(-6.940572261810303, 77.93350982666016, 17.723695755004883)",1,3.6318511962890625,1,"(-49.31969451904297, -33.37947082519531, 649.6083374023438)","(0.6024075150489807, 0.5720878839492798, 0.4538779854774475)",1,"(0.3964316248893738, 0.3548261821269989)","(-19.54010009765625, 79.60813903808594, 18.333209991455078)",1,3.382781982421875,1,"(11.6946382522583, -38.57938003540039, 649.3211669921875)","(0.47569775581359863, 0.5824485421180725, 0.44989901781082153)",1,test
1226092867,740310110485,"(0.3841034770011902, 0.43565234541893005)","(-21.866031646728516, 70.6520767211914, 15.073451042175293)",1,3.7335357666015625,1,"(-49.748016357421875, -33.52239227294922, 649.0579833984375)","(0.603392481803894, 0.5724276304244995, 0.45276662707328796)",1,"(0.2807409167289734, 0.4203973710536957)","(-41.3672981262207, 72.3424301147461, 15.688699722290039)",1,3.588226318359375,1,"(11.330339431762695, -38.67216491699219, 648.986083984375)","(0.4764406979084015, 0.5826731324195862, 0.44916605949401855)",1,test
1226592886,740310610509,"(0.5083100199699402, 0.06922432780265808)","(1.5678298473358154, 111.25469207763672, 29.851608276367188)",1,4.1376495361328125,1,"(-49.14131164550781, -32.93809509277344, 649.43505859375)","(0.6020708680152893, 0.571182906627655, 0.45344066619873047)",1,"(0.4382535219192505, 0.0029066805727779865)","(-11.649614334106445, 118.60311126708984, 32.52620315551758)",1,3.8949432373046875,1,"(12.033109664916992, -38.264713287353516, 649.5462646484375)","(0.47500601410865784, 0.5817741751670837, 0.45037218928337097)",1,test
1227109576,740311127205,"(0.5753266215324402, 0.4028800427913666)","(14.21176528930664, 74.28347778320312, 16.395132064819336)",1,4.258148193359375,1,"(-48.92548370361328, -33.626487731933594, 649.0913696289062)","(0.6016805171966553, 0.5726353526115417, 0.452712744474411)",1,"(0.5104426145553589, 0.38327041268348694)","(1.9701943397521973, 76.4563217163086, 17.18605613708496)",1,4.088592529296875,1,"(12.13821029663086, -38.96047592163086, 649.5783081054688)","(0.4747844636440277, 0.5832124948501587, 0.45051056146621704)",1,test
1227626263,740311643865,"(0.5976670980453491, 0.4286366403102875)","(18.426706314086914, 71.4294662475586, 15.356392860412598)",1,4.352447509765625,1,"(-48.99651336669922, -33.51018524169922, 649.3046264648438)","(0.6017908453941345, 0.5723788738250732, 0.45317742228507996)",1,"(0.5372632145881653, 0.38533928990364075)","(7.030394077301025, 76.22709655761719, 17.102590560913086)",1,4.172821044921875,1,"(12.147771835327148, -38.797813415527344, 649.3896484375)","(0.4747573137283325, 0.5828920006752014, 0.45008596777915955)",1,test
1228142955,740312160709,"(0.5200850367546082, 0.5646949410438538)","(3.7894129753112793, 56.353302001953125, 9.86915397644043)",1,4.111846923828125,1,"(-49.03571319580078, -33.68008041381836, 649.0863037109375)","(0.6019096970558167, 0.5727478861808777, 0.4527236223220825)",1,"(0.4548635482788086, 0.5336536765098572)","(-8.515833854675293, 59.79288864135742, 11.121057510375977)",1,4.026885986328125,1,"(12.026670455932617, -38.97090148925781, 649.347900390625)","(0.4750061333179474, 0.583255410194397, 0.45000675320625305)",1,test
1228642977,740312660648,"(0.5179631114006042, 0.8283444046974182)","(3.389075517654419, 27.139225006103516, -0.7639256715774536)",1,3.8896484375,1,"(-49.33283615112305, -33.98127746582031, 649.0643310546875)","(0.6025281548500061, 0.573377251625061, 0.45274752378463745)",1,"(0.4152752757072449, 0.8116045594215393)","(-15.984896659851074, 28.99411964416504, -0.08880498260259628)",1,3.8349456787109375,1,"(11.648126602172852, -39.15131378173828, 649.1748046875)","(0.4757845103740692, 0.5836477875709534, 0.44963300228118896)",1,test
