device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1345831546,740429849779,"(0.5239171385765076, 0.40505078434944153)","(4.512405872344971, 74.04293060302734, 16.3076229095459)",1,3.9858856201171875,1,"(-47.514862060546875, -37.991127014160156, 657.8258666992188)","(0.5972609519958496, 0.5809416770935059, 0.471775084733963)",1,"(0.4513465464115143, 0.36393529176712036)","(-9.179381370544434, 78.59879302978516, 17.965818405151367)",1,3.801483154296875,1,"(13.531051635742188, -44.5577507019043, 658.7221069335938)","(0.47229549288749695, 0.5938403010368347, 0.470994770526886)",1,test
1346348236,740430366475,"(0.5156105756759644, 0.41330990195274353)","(2.945223569869995, 73.12775421142578, 15.974549293518066)",1,4.097137451171875,1,"(-47.44157409667969, -37.89618682861328, 657.9324340820312)","(0.5970940589904785, 0.5807375311851501, 0.4719860553741455)",1,"(0.4568374454975128, 0.401710569858551)","(-8.143416404724121, 74.4130630493164, 16.44230842590332)",1,3.9945831298828125,1,"(13.562944412231445, -44.439064025878906, 658.6702270507812)","(0.4722285568714142, 0.5936028361320496, 0.4708704352378845)",1,test
1346848257,740430866680,"(0.4764508306980133, 0.46247056126594543)","(-4.442998886108398, 67.68043518066406, 13.991912841796875)",1,4.1761627197265625,1,"(-47.451656341552734, -37.88292694091797, 658.00390625)","(0.5971028208732605, 0.580704391002655, 0.472141295671463)",1,"(0.43485695123672485, 0.42206183075904846)","(-12.290449142456055, 72.15798950195312, 15.621572494506836)",1,4.02398681640625,1,"(13.535993576049805, -44.46923828125, 658.9950561523438)","(0.4722989499568939, 0.5936311483383179, 0.47157764434814453)",1,test
1347364948,740431383404,"(0.5272423624992371, 0.47975078225135803)","(5.139774799346924, 65.76568603515625, 13.294942855834961)",1,4.244140625,1,"(-47.45115661621094, -38.15084457397461, 658.5594482421875)","(0.5970085263252258, 0.5812062621116638, 0.47336891293525696)",1,"(0.47375166416168213, 0.4459697902202606)","(-4.952236175537109, 69.50883483886719, 14.657332420349121)",1,4.058746337890625,1,"(13.564781188964844, -44.73151397705078, 659.3306274414062)","(0.47225436568260193, 0.5941318869590759, 0.47233647108078003)",1,test
1347881639,740431900080,"(0.5637082457542419, 0.41508910059928894)","(12.019747734069824, 72.93061065673828, 15.902771949768066)",1,4.1508331298828125,1,"(-48.05971145629883, -38.15708923339844, 658.2012939453125)","(0.5983102321624756, 0.5812540054321289, 0.47268810868263245)",1,"(0.5012603402137756, 0.4018539786338806)","(0.23777714371681213, 74.39715576171875, 16.43654441833496)",1,3.9503173828125,1,"(12.98078727722168, -44.6179084777832, 659.0053100585938)","(0.4734336733818054, 0.5939381122589111, 0.47159236669540405)",1,test
1348398325,740432416734,"(0.5080190896987915, 0.42020517587661743)","(1.5129499435424805, 72.36372375488281, 15.696452140808105)",1,4.1439208984375,1,"(-48.414188385009766, -38.06131362915039, 657.943359375)","(0.5990779995918274, 0.5810822248458862, 0.4721764624118805)",1,"(0.45183616876602173, 0.38487905263900757)","(-9.086997032165527, 76.27809143066406, 17.12114906311035)",1,3.982574462890625,1,"(12.628105163574219, -44.49005889892578, 658.7159423828125)","(0.47414278984069824, 0.5937095284461975, 0.47093531489372253)",1,test
1348915020,740432933413,"(0.600350022315979, 0.47401371598243713)","(18.932899475097656, 66.40138244628906, 13.52633285522461)",1,4.14215087890625,1,"(-48.00921630859375, -38.066680908203125, 658.25927734375)","(0.5981979370117188, 0.581063449382782, 0.472797691822052)",1,"(0.5470537543296814, 0.3756425976753235)","(8.877561569213867, 77.30155181884766, 17.493675231933594)",1,3.98480224609375,1,"(13.030028343200684, -44.486793518066406, 659.0132446289062)","(0.4733341932296753, 0.5936689972877502, 0.47159716486930847)",1,test
1349415036,740433433389,"(0.5170307755470276, 0.1327441781759262)","(3.2131545543670654, 104.21627807617188, 27.289838790893555)",1,4.1287384033203125,1,"(-48.22706604003906, -37.54936218261719, 657.89892578125)","(0.5987058877944946, 0.5800352692604065, 0.47200530767440796)",1,"(0.4903953969478607, 0.06163657829165459)","(-1.8120898008346558, 112.09547424316406, 30.157594680786133)",1,3.920257568359375,1,"(12.90088939666748, -43.98773193359375, 658.6461181640625)","(0.4735848009586334, 0.592687726020813, 0.47074002027511597)",1,test
1349931726,740433950135,"(0.5098721385002136, 0.47683480381965637)","(1.8625633716583252, 66.08879089355469, 13.412541389465332)",1,3.9664764404296875,1,"(-47.79905700683594, -38.01551055908203, 657.7229614257812)","(0.5978585481643677, 0.5810025334358215, 0.471598356962204)",1,"(0.43703439831733704, 0.4235825538635254)","(-11.879631996154785, 71.98948669433594, 15.560236930847168)",1,3.8583526611328125,1,"(13.197568893432617, -44.595069885253906, 658.7578125)","(0.4729790687561035, 0.5939154624938965, 0.47106191515922546)",1,test
1350448416,740434466615,"(0.5274465680122375, 0.6521722674369812)","(5.178310394287109, 46.660240173339844, 6.341181755065918)",1,4.2072906494140625,1,"(-47.928741455078125, -38.35791778564453, 657.5814819335938)","(0.5981455445289612, 0.5817176103591919, 0.47134292125701904)",1,"(0.4587438106536865, 0.5644763112068176)","(-7.783746242523193, 56.37754821777344, 9.877911567687988)",1,4.0407867431640625,1,"(13.05512809753418, -44.86992645263672, 658.8093872070312)","(0.47327104210853577, 0.5944728851318359, 0.47119832038879395)",1,test
