device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1392316959,740476335650,"(0.47512102127075195, 0.35565897822380066)","(-4.693881988525391, 79.515869140625, 18.29961395263672)",1,3.9388427734375,1,"(-49.53844451904297, -38.0979118347168, 662.1749267578125)","(0.6006473898887634, 0.5808084011077881, 0.481525182723999)",1,"(0.3929832875728607, 0.3700867295265198)","(-20.190690994262695, 77.91716766357422, 17.717729568481445)",1,3.9114837646484375,1,"(11.535772323608398, -44.9002685546875, 663.04541015625)","(0.476549357175827, 0.5941057205200195, 0.48033607006073)",1,test
1392833649,740476852293,"(0.5120128989219666, 0.4381827712059021)","(2.2664496898651123, 70.37169647216797, 14.971388816833496)",1,3.5733795166015625,1,"(-49.63432312011719, -38.27516555786133, 662.0747680664062)","(0.6008579730987549, 0.581178605556488, 0.4813394248485565)",1,"(0.4066180884838104, 0.4041101634502411)","(-17.618227005004883, 74.14716339111328, 16.345531463623047)",1,3.56787109375,1,"(11.410991668701172, -45.011775970458984, 663.0885009765625)","(0.4768037497997284, 0.5943286418914795, 0.48043742775917053)",1,test
1393350338,740477368882,"(0.5373144745826721, 0.5187925100326538)","(7.040059566497803, 61.43961715698242, 11.720356941223145)",1,3.5467529296875,1,"(-49.48295593261719, -38.41188049316406, 661.5860595703125)","(0.6006336808204651, 0.5814974308013916, 0.48026880621910095)",1,"(0.44912582635879517, 0.45137912034988403)","(-9.598360061645508, 68.9094467163086, 14.43918228149414)",1,3.429229736328125,1,"(11.51874828338623, -45.22528076171875, 663.0733642578125)","(0.47658297419548035, 0.5947629809379578, 0.480432391166687)",1,test
1393867026,740477885764,"(0.5130151510238647, 0.5316174626350403)","(2.4555399417877197, 60.018524169921875, 11.20315933227539)",1,3.720123291015625,1,"(-49.673187255859375, -38.70673370361328, 661.836181640625)","(0.6009754538536072, 0.5820784568786621, 0.48086801171302795)",1,"(0.4414098858833313, 0.4841596484184265)","(-11.054107666015625, 65.27713775634766, 13.117173194885254)",1,3.60101318359375,1,"(11.35987663269043, -45.41778564453125, 663.053466796875)","(0.4769035577774048, 0.5951572060585022, 0.4804050624370575)",1,test
1394383716,740478402383,"(0.517459511756897, 0.29649049043655396)","(3.2940564155578613, 86.07212829589844, 20.685855865478516)",1,3.8253173828125,1,"(-49.63576889038086, -38.25621032714844, 661.6957397460938)","(0.600925862789154, 0.581171989440918, 0.4805169105529785)",1,"(0.45789027214050293, 0.2514271140098572)","(-7.944788455963135, 91.06543731689453, 22.503320693969727)",1,3.5959625244140625,1,"(11.425836563110352, -44.98713684082031, 663.366455078125)","(0.4767848253250122, 0.5942497253417969, 0.4810386300086975)",1,test
1394883735,740478902377,"(0.47360217571258545, 0.39248549938201904)","(-4.9804463386535645, 75.43524169921875, 16.81441307067871)",1,3.788604736328125,1,"(-49.94841766357422, -38.47672653198242, 661.8538818359375)","(0.601531982421875, 0.5816103219985962, 0.48092982172966003)",1,"(0.4130381941795349, 0.3330223262310028)","(-16.406957626342773, 82.0241470336914, 19.212556838989258)",1,3.68353271484375,1,"(11.109075546264648, -45.128562927246094, 663.0950927734375)","(0.4774163067340851, 0.5945674180984497, 0.480453759431839)",1,test
1395400424,740479419138,"(0.46538248658180237, 0.4087083637714386)","(-6.531238079071045, 73.63764953613281, 16.160093307495117)",1,3.8290557861328125,1,"(-49.91612243652344, -38.37975311279297, 661.6533203125)","(0.60150146484375, 0.5814294219017029, 0.48048135638237)",1,"(0.40217259526252747, 0.3872348666191101)","(-18.45695686340332, 76.01704406738281, 17.02615737915039)",1,3.675079345703125,1,"(11.126501083374023, -45.03517532348633, 662.6588745117188)","(0.4773646891117096, 0.5944229364395142, 0.47949695587158203)",1,test
1395917115,740479935814,"(0.4730055332183838, 0.40204527974128723)","(-5.093008995056152, 74.37596130371094, 16.4288330078125)",1,3.5937652587890625,1,"(-49.92500686645508, -38.341163635253906, 661.6378784179688)","(0.6015223264694214, 0.581352174282074, 0.480445921421051)",1,"(0.3986383378505707, 0.4121350049972534)","(-19.12375831604004, 73.25794982910156, 16.021923065185547)",1,3.4839630126953125,1,"(11.087839126586914, -45.00188446044922, 662.806884765625)","(0.4774491488933563, 0.5943402647972107, 0.4798131585121155)",1,test
1396417134,740480435889,"(0.550129234790802, 0.1257961541414261)","(9.457808494567871, 104.98616027832031, 27.570049285888672)",1,3.7177276611328125,1,"(-50.079036712646484, -37.97154998779297, 661.4178466796875)","(0.6018747091293335, 0.5806183218955994, 0.47996121644973755)",1,"(0.4838830828666687, 0.06785788387060165)","(-3.0407555103302, 111.40609741210938, 29.906726837158203)",1,3.575592041015625,1,"(10.991538047790527, -44.59574890136719, 662.7362060546875)","(0.477644681930542, 0.5935231447219849, 0.47961121797561646)",1,test
1396933830,740480952517,"(0.6410090327262878, 0.24164095520973206)","(26.60396385192871, 92.14978790283203, 22.898029327392578)",1,3.9583740234375,1,"(-50.09967803955078, -38.1865234375, 661.1698608398438)","(0.6019584536552429, 0.5810777544975281, 0.47944653034210205)",1,"(0.5793190002441406, 0.15703566372394562)","(14.964996337890625, 101.52462005615234, 26.310136795043945)",1,3.8026275634765625,1,"(10.955162048339844, -44.85688781738281, 662.8572998046875)","(0.47772151231765747, 0.5940414667129517, 0.47990164160728455)",1,test
