device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1438885704,740522904752,"(0.5277021527290344, 0.43256255984306335)","(5.226521015167236, 70.99443817138672, 15.198073387145996)",1,4.0214996337890625,1,"(-48.065574645996094, -39.00834655761719, 663.7404174804688)","(0.5973978638648987, 0.5825165510177612, 0.48476642370224)",1,"(0.4512332081794739, 0.3847028613090515)","(-9.200760841369629, 76.29761505126953, 17.128265380859375)",1,3.80035400390625,1,"(12.89846420288086, -46.593162536621094, 665.2205200195312)","(0.47386837005615234, 0.5972980260848999, 0.4853037893772125)",1,test
1439402394,740523421445,"(0.5697718262672424, 0.42356789112091064)","(13.163748741149902, 71.99110412597656, 15.56084156036377)",1,3.9181976318359375,1,"(-48.29005813598633, -39.18682098388672, 663.818359375)","(0.5978381037712097, 0.5828741192817688, 0.48498669266700745)",1,"(0.4887892007827759, 0.39295703172683716)","(-2.1151316165924072, 75.38300323486328, 16.795364379882812)",1,3.709869384765625,1,"(12.606910705566406, -46.69768524169922, 665.2200927734375)","(0.4744575023651123, 0.5975119471549988, 0.48530313372612)",1,test
1439902416,740523921365,"(0.5208206176757812, 0.5825092196464539)","(3.928191661834717, 54.3793830871582, 9.150654792785645)",1,3.85968017578125,1,"(-48.594886779785156, -39.67242431640625, 663.9552612304688)","(0.598429262638092, 0.5838509202003479, 0.485376238822937)",1,"(0.40862393379211426, 0.5248216390609741)","(-17.23979377746582, 60.77153015136719, 11.477241516113281)",1,3.6986846923828125,1,"(12.264616012573242, -47.099788665771484, 665.476806640625)","(0.47515833377838135, 0.5983004570007324, 0.48589372634887695)",1,test
1440419107,740524438006,"(0.5308530926704407, 0.634601891040802)","(5.821002006530762, 48.60716247558594, 7.049761772155762)",1,3.8921966552734375,1,"(-48.530242919921875, -39.63282012939453, 664.24951171875)","(0.5982499718666077, 0.5837441086769104, 0.48599973320961)",1,"(0.4343379735946655, 0.6048480868339539)","(-12.388359069824219, 51.90407943725586, 8.249757766723633)",1,3.7839202880859375,1,"(12.334505081176758, -47.06730651855469, 665.2659912109375)","(0.4750082194805145, 0.598257303237915, 0.4854351580142975)",1,test
1440935797,740524954750,"(0.5364425182342529, 0.6133387088775635)","(6.875553607940674, 50.9632682800293, 7.907324314117432)",1,3.7857818603515625,1,"(-48.29301452636719, -39.53843688964844, 664.1859130859375)","(0.5977814793586731, 0.5835562944412231, 0.485816091299057)",1,"(0.4269353747367859, 0.6016837358474731)","(-13.78499698638916, 52.25469970703125, 8.377391815185547)",1,3.6351318359375,1,"(12.592949867248535, -47.00224304199219, 665.6103515625)","(0.47450074553489685, 0.5980859994888306, 0.486185222864151)",1,test
1441452488,740525471617,"(0.4788544476032257, 0.40097683668136597)","(-3.989506483078003, 74.4943618774414, 16.471899032592773)",1,3.8401641845703125,1,"(-48.41393280029297, -39.13887023925781, 664.267822265625)","(0.5980143547058105, 0.5827386975288391, 0.48597532510757446)",1,"(0.3709549009799957, 0.3535512387752533)","(-24.346752166748047, 79.74940490722656, 18.384618759155273)",1,3.7106170654296875,1,"(12.490995407104492, -46.666038513183594, 665.7012329101562)","(0.47471296787261963, 0.5973967909812927, 0.4863390028476715)",1,test
1441969179,740525988134,"(0.4860166311264038, 0.41231870651245117)","(-2.6382229328155518, 73.23757934570312, 16.014530181884766)",1,3.935638427734375,1,"(-48.58747482299805, -39.23284149169922, 664.314697265625)","(0.5983568429946899, 0.5829267501831055, 0.48611265420913696)",1,"(0.3985970616340637, 0.4030156433582306)","(-19.131549835205078, 74.26842498779297, 16.389726638793945)",1,3.84246826171875,1,"(12.372281074523926, -46.71075439453125, 665.71728515625)","(0.4749533236026764, 0.5974864959716797, 0.48637428879737854)",1,test
1442469195,740526487952,"(0.4833759069442749, 0.4038776457309723)","(-3.136451482772827, 74.17292022705078, 16.354930877685547)",1,4.00469970703125,1,"(-48.98678207397461, -39.29190444946289, 663.9447021484375)","(0.5992252826690674, 0.5830817222595215, 0.48537954688072205)",1,"(0.38722482323646545, 0.38816550374031067)","(-21.277130126953125, 75.91392517089844, 16.988624572753906)",1,3.8736419677734375,1,"(11.981796264648438, -46.66807174682617, 665.3145751953125)","(0.4757263660430908, 0.5974465608596802, 0.48547986149787903)",1,test
1442985886,740527004862,"(0.40918824076652527, 0.5755357146263123)","(-17.13332748413086, 55.152099609375, 9.431902885437012)",1,4.2344970703125,1,"(-49.40009307861328, -39.55113220214844, 663.942626953125)","(0.600059986114502, 0.5836116075515747, 0.485464870929718)",1,"(0.32196447253227234, 0.5275817513465881)","(-33.58970260620117, 60.4656982421875, 11.36591911315918)",1,4.071533203125,1,"(11.522926330566406, -46.86878204345703, 664.999267578125)","(0.47664082050323486, 0.5978906154632568, 0.48480159044265747)",1,test
1443502575,740527521434,"(0.4839566648006439, 0.408746600151062)","(-3.0268735885620117, 73.63340759277344, 16.15858268737793)",1,3.9886474609375,1,"(-48.95167541503906, -39.281856536865234, 664.209228515625)","(0.5991100668907166, 0.5830380916595459, 0.4859461188316345)",1,"(0.39764663577079773, 0.40108418464660645)","(-19.310867309570312, 74.48245239257812, 16.46759796142578)",1,3.8490447998046875,1,"(11.989946365356445, -46.696861267089844, 665.399658203125)","(0.47571319341659546, 0.5974955558776855, 0.48566827178001404)",1,test
