device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1571824973,740655844780,"(0.5125467777252197, 0.39848092198371887)","(2.367178440093994, 74.77090454101562, 16.572614669799805)",1,3.96234130859375,1,"(-52.21683120727539, -41.616539001464844, 662.2611083984375)","(0.6060441732406616, 0.5879873633384705, 0.4824864864349365)",1,"(0.43993043899536133, 0.38593825697898865)","(-11.333246231079102, 76.16072082519531, 17.078441619873047)",1,3.7853546142578125,1,"(8.78907585144043, -49.268218994140625, 664.0850830078125)","(0.48213115334510803, 0.6028770208358765, 0.48301881551742554)",1,test
1572325000,740656344715,"(0.5204180479049683, 0.5578967928886414)","(3.85223388671875, 57.10659408569336, 10.14330768585205)",1,3.788482666015625,1,"(-52.254966735839844, -41.80834197998047, 662.4640502929688)","(0.6060840487480164, 0.5883590579032898, 0.48295170068740845)",1,"(0.4331868290901184, 0.49438712000846863)","(-12.605545043945312, 64.14389038085938, 12.704627990722656)",1,3.7703857421875,1,"(8.5777587890625, -49.426334381103516, 664.2481689453125)","(0.4825633466243744, 0.6031803488731384, 0.4833866357803345)",1,test
1572841688,740656861420,"(0.5101187229156494, 0.4323371350765228)","(1.9090861082077026, 71.01941680908203, 15.207174301147461)",1,3.889312744140625,1,"(-52.45723342895508, -41.46387481689453, 662.0023803710938)","(0.6065788269042969, 0.5877025723457336, 0.4819517731666565)",1,"(0.4299009144306183, 0.4145205318927765)","(-13.225495338439941, 72.99363708496094, 15.925667762756348)",1,3.894775390625,1,"(8.452375411987305, -49.02141571044922, 663.8488159179688)","(0.48280829191207886, 0.6024065017700195, 0.48246580362319946)",1,test
1573358379,740657378109,"(0.600996732711792, 0.3795284628868103)","(19.054895401000977, 76.8709716796875, 17.33695411682129)",1,3.7694854736328125,1,"(-52.078155517578125, -41.371891021728516, 661.927978515625)","(0.6058240532875061, 0.5875192880630493, 0.4817173182964325)",1,"(0.5255534052848816, 0.35183218121528625)","(4.821117877960205, 79.93989562988281, 18.453948974609375)",1,3.6366424560546875,1,"(8.841209411621094, -48.979034423828125, 663.403076171875)","(0.482006311416626, 0.6023690104484558, 0.48150408267974854)",1,test
1573875069,740657894905,"(0.49159470200538635, 0.38735735416412354)","(-1.5858150720596313, 76.00348663330078, 17.021181106567383)",1,3.637298583984375,1,"(-52.4233283996582, -41.46660614013672, 661.8607788085938)","(0.6065356731414795, 0.5877212285995483, 0.48163968324661255)",1,"(0.4129307270050049, 0.3813108503818512)","(-16.427234649658203, 76.67346954345703, 17.265064239501953)",1,3.575927734375,1,"(8.509855270385742, -49.017730712890625, 663.6167602539062)","(0.4826849102973938, 0.6024253964424133, 0.48196330666542053)",1,test
1574391759,740658411528,"(0.5865044593811035, 0.3988320231437683)","(16.320674896240234, 74.73200988769531, 16.558408737182617)",1,3.659423828125,1,"(-52.56513595581055, -41.658958435058594, 662.021240234375)","(0.6067932844161987, 0.5880991220474243, 0.48203060030937195)",1,"(0.5283985733985901, 0.31352823972702026)","(5.357922554016113, 84.18421936035156, 19.998750686645508)",1,3.511383056640625,1,"(8.381760597229004, -49.21190643310547, 663.9479370117188)","(0.48295319080352783, 0.6027820110321045, 0.48270276188850403)",1,test
1574908449,740658928078,"(0.5821895599365234, 0.4027506709098816)","(15.506573677062988, 74.29778289794922, 16.400407791137695)",1,3.8144683837890625,1,"(-52.76616287231445, -41.720481872558594, 662.0859985351562)","(0.6071887612342834, 0.5882198214530945, 0.482211172580719)",1,"(0.5242651104927063, 0.31744495034217834)","(4.578054428100586, 83.75023651123047, 19.84077262878418)",1,3.717376708984375,1,"(8.177756309509277, -49.226783752441406, 664.1837158203125)","(0.4833734333515167, 0.6027864217758179, 0.48321083188056946)",1,test
1575408472,740659428274,"(0.5889337062835693, 0.4128655195236206)","(16.77898597717285, 73.17701721191406, 15.992424011230469)",1,3.7026519775390625,1,"(-52.63611602783203, -41.63169860839844, 662.1923828125)","(0.6069063544273376, 0.5880279541015625, 0.48241034150123596)",1,"(0.5227735042572021, 0.32432621717453003)","(4.296635627746582, 82.98773193359375, 19.56330108642578)",1,3.5892333984375,1,"(8.319581031799316, -49.14622497558594, 664.154296875)","(0.48308563232421875, 0.6026253700256348, 0.483140766620636)",1,test
1575925164,740659945072,"(0.6744978427886963, 0.551397979259491)","(32.9222412109375, 57.826690673828125, 10.405418395996094)",1,3.8856201171875,1,"(-52.16984558105469, -41.762908935546875, 661.8892822265625)","(0.6060150265693665, 0.5883205533027649, 0.4816882610321045)",1,"(0.606291651725769, 0.4768349230289459)","(20.053892135620117, 66.08877563476562, 13.412556648254395)",1,3.800628662109375,1,"(8.779796600341797, -49.35370635986328, 663.9013671875)","(0.4821438193321228, 0.603071928024292, 0.48263058066368103)",1,test
1576441847,740660461613,"(0.6938174962997437, 0.5867805480957031)","(36.567264556884766, 53.906070709228516, 8.978442192077637)",1,3.8121185302734375,1,"(-52.05793380737305, -41.78549575805664, 661.8336181640625)","(0.6057978272438049, 0.5883709788322449, 0.4815512001514435)",1,"(0.6045465469360352, 0.5104086995124817)","(19.724637985229492, 62.36857986450195, 12.058531761169434)",1,3.7378692626953125,1,"(8.859951972961426, -49.361358642578125, 663.5596923828125)","(0.4819706678390503, 0.6031266450881958, 0.48189231753349304)",1,test
