device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1596442744,740680462692,"(0.491518497467041, 0.4378194808959961)","(-1.60019850730896, 70.41193389892578, 14.986088752746582)",1,4.00982666015625,1,"(-53.103668212890625, -42.57353973388672, 664.3302001953125)","(0.6074602007865906, 0.5897423028945923, 0.487214058637619)",1,"(0.4188138544559479, 0.3880355954170227)","(-15.317276000976562, 75.92831420898438, 16.99385643005371)",1,3.857635498046875,1,"(7.973745346069336, -50.09054183959961, 665.9949951171875)","(0.4838315546512604, 0.6043249368667603, 0.4872453808784485)",1,test
1596959433,740680979308,"(0.5713366270065308, 0.4650128185749054)","(13.45897388458252, 67.39876556396484, 13.88927936553955)",1,3.96917724609375,1,"(-52.83408737182617, -42.518341064453125, 664.16650390625)","(0.6069455742835999, 0.5896439552307129, 0.48680806159973145)",1,"(0.5001408457756042, 0.38540512323379517)","(0.02656731568276882, 76.21981048583984, 17.099891662597656)",1,3.8626556396484375,1,"(8.173049926757812, -49.998924255371094, 665.857177734375)","(0.483425498008728, 0.6041543483734131, 0.48693981766700745)",1,test
1597476124,740681496093,"(0.5746951699256897, 0.48375204205513)","(14.092631340026855, 65.32230377197266, 13.133597373962402)",1,4.0008392333984375,1,"(-52.88855743408203, -42.39693069458008, 663.81201171875)","(0.6071203947067261, 0.5894320011138916, 0.48603740334510803)",1,"(0.5051279067993164, 0.3824319839477539)","(0.9674738645553589, 76.54924011230469, 17.2198543548584)",1,3.8765869140625,1,"(8.129014015197754, -49.870513916015625, 665.3436279296875)","(0.4835008680820465, 0.6039552688598633, 0.485807865858078)",1,test
1597976148,740681996066,"(0.5018807053565979, 0.4329562783241272)","(0.35482922196388245, 70.95082092285156, 15.182168960571289)",1,3.896697998046875,1,"(-53.217525482177734, -42.43891143798828, 663.979248046875)","(0.6077547073364258, 0.5895037055015564, 0.48646000027656555)",1,"(0.4227871894836426, 0.3672808110713959)","(-14.567635536193848, 78.22808837890625, 17.830886840820312)",1,3.76220703125,1,"(7.784023284912109, -49.865257263183594, 665.6071166992188)","(0.4842059314250946, 0.6039164066314697, 0.4863700568675995)",1,test
1598492834,740682512854,"(0.582700252532959, 0.43788570165634155)","(15.602931022644043, 70.40460205078125, 14.983379364013672)",1,4.0249786376953125,1,"(-53.23875427246094, -42.52769470214844, 663.6414184570312)","(0.6078586578369141, 0.5897169709205627, 0.48574164509773254)",1,"(0.522372305393219, 0.3486999273300171)","(4.220954418182373, 80.28695678710938, 18.580307006835938)",1,3.788421630859375,1,"(7.774557590484619, -49.91687774658203, 665.374755859375)","(0.4842184782028198, 0.6040483117103577, 0.48587220907211304)",1,test
1599009527,740683029409,"(0.5225675702095032, 0.5356683135032654)","(4.25778865814209, 59.569664001464844, 11.039763450622559)",1,4.039642333984375,1,"(-53.95563507080078, -42.702667236328125, 663.1881713867188)","(0.609390914440155, 0.5901223421096802, 0.48490267992019653)",1,"(0.44156143069267273, 0.5153630971908569)","(-11.025522232055664, 61.81960678100586, 11.858691215515137)",1,3.869873046875,1,"(7.037662506103516, -49.94877624511719, 664.9373779296875)","(0.48569822311401367, 0.6041702628135681, 0.48490944504737854)",1,test
1599526217,740683546065,"(0.5506367683410645, 0.6032078862190247)","(9.553566932678223, 52.08584976196289, 8.315827369689941)",1,3.828826904296875,1,"(-54.011940002441406, -42.82536315917969, 663.487060546875)","(0.6094489097595215, 0.5903430581092834, 0.4855722188949585)",1,"(0.46002984046936035, 0.5629908442497253)","(-7.5411152839660645, 56.54213333129883, 9.937862396240234)",1,3.7021026611328125,1,"(6.988214015960693, -50.052677154541016, 664.9861450195312)","(0.48579883575439453, 0.6043753027915955, 0.48502740263938904)",1,test
1600026233,740684046183,"(0.5462969541549683, 0.38120153546333313)","(8.73476791381836, 76.68558502197266, 17.269454956054688)",1,3.8062744140625,1,"(-54.10379409790039, -42.48707962036133, 663.6813354492188)","(0.6096003651618958, 0.589637041091919, 0.4859737157821655)",1,"(0.48871877789497375, 0.32823771238327026)","(-2.1284139156341553, 82.5543212890625, 19.405508041381836)",1,3.629180908203125,1,"(6.967257499694824, -49.71013259887695, 665.1331787109375)","(0.48584696650505066, 0.6036645174026489, 0.48530247807502747)",1,test
1600542926,740684562880,"(0.5771666765213013, 0.40841495990753174)","(14.558924674987793, 73.67015075683594, 16.171958923339844)",1,3.913116455078125,1,"(-54.11158752441406, -42.51467514038086, 663.5670166015625)","(0.6096372008323669, 0.5897043347358704, 0.48573037981987)",1,"(0.5277683138847351, 0.35408374667167664)","(5.239006042480469, 79.6904067993164, 18.363149642944336)",1,3.8133392333984375,1,"(6.964362621307373, -49.68103790283203, 665.181884765625)","(0.4858541786670685, 0.6035999059677124, 0.48540449142456055)",1,test
1601059616,740685079502,"(0.6581901907920837, 0.4167710840702057)","(29.845516204833984, 72.74424743652344, 15.834911346435547)",1,4.0683441162109375,1,"(-53.998043060302734, -42.48548889160156, 663.47705078125)","(0.609424352645874, 0.5896528363227844, 0.485512912273407)",1,"(0.5999061465263367, 0.3573337197303772)","(18.849153518676758, 79.33029174804688, 18.232057571411133)",1,3.89141845703125,1,"(7.076223850250244, -49.62947082519531, 665.3141479492188)","(0.48563146591186523, 0.6034791469573975, 0.4856875240802765)",1,test
1601576302,740685596181,"(0.5856434106826782, 0.4554297626018524)","(16.158218383789062, 68.4605941772461, 14.27585506439209)",1,4.188934326171875,1,"(-54.26094055175781, -42.5426025390625, 663.3079223632812)","(0.6099871397018433, 0.5897874236106873, 0.48519858717918396)",1,"(0.5237102508544922, 0.3808591067790985)","(4.473379611968994, 76.72352600097656, 17.283283233642578)",1,4.0203094482421875,1,"(6.793515682220459, -49.722145080566406, 664.916748046875)","(0.48619335889816284, 0.6037155389785767, 0.48483049869537354)",1,test
