device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1608326609,740692346531,"(0.49822208285331726, 0.3934849500656128)","(-0.33544743061065674, 75.32450103759766, 16.774097442626953)",1,4.2293853759765625,1,"(-54.20405578613281, -42.32373046875, 663.29296875)","(0.6098759770393372, 0.589343249797821, 0.4851338267326355)",1,"(0.42007607221603394, 0.3712136745452881)","(-15.079133033752441, 77.79229736328125, 17.672292709350586)",1,4.0641632080078125,1,"(6.827012538909912, -49.65871047973633, 665.0009765625)","(0.48612797260284424, 0.6035769581794739, 0.4850059151649475)",1,test
1608843300,740692863379,"(0.4960566461086273, 0.4252990484237671)","(-0.7439863681793213, 71.79928588867188, 15.49101734161377)",1,3.7619171142578125,1,"(-54.07990264892578, -42.425392150878906, 663.16748046875)","(0.6096475720405579, 0.5895612239837646, 0.4848509430885315)",1,"(0.41488388180732727, 0.3941701352596283)","(-16.058738708496094, 75.24857330322266, 16.746440887451172)",1,3.657867431640625,1,"(6.943113327026367, -49.73588943481445, 665.1951293945312)","(0.4858971834182739, 0.6037095785140991, 0.485439658164978)",1,test
1609359988,740693379880,"(0.5247588753700256, 0.40113016963005066)","(4.67122220993042, 74.47735595703125, 16.46573829650879)",1,3.71038818359375,1,"(-53.77049255371094, -42.313819885253906, 662.9970703125)","(0.6090534925460815, 0.589348316192627, 0.48441678285598755)",1,"(0.4353371560573578, 0.354387104511261)","(-12.199847221374512, 79.65679168701172, 18.350910186767578)",1,3.5659027099609375,1,"(7.217845916748047, -49.71916580200195, 664.8367919921875)","(0.4853324294090271, 0.6037156581878662, 0.48466625809669495)",1,test
1609860008,740693879884,"(0.5424895286560059, 0.5214806199073792)","(8.01644229888916, 61.1417350769043, 11.611997604370117)",1,3.7880401611328125,1,"(-54.49995422363281, -42.87866973876953, 663.3417358398438)","(0.6104626655578613, 0.5904694199562073, 0.48534879088401794)",1,"(0.4421800673007965, 0.45265746116638184)","(-10.908805847167969, 68.76781463623047, 14.387605667114258)",1,3.6862030029296875,1,"(6.461623191833496, -50.148582458496094, 665.1420288085938)","(0.48686766624450684, 0.6045552492141724, 0.485366553068161)",1,test
1610376696,740694396580,"(0.546272337436676, 0.4420195519924164)","(8.73012638092041, 69.9465560913086, 14.816667556762695)",1,3.6262359619140625,1,"(-54.68796920776367, -42.75557327270508, 663.23486328125)","(0.6108635067939758, 0.5902308821678162, 0.4851376712322235)",1,"(0.4502413868904114, 0.3798317015171051)","(-9.38789176940918, 76.83737182617188, 17.324710845947266)",1,3.5068817138671875,1,"(6.306447982788086, -49.9605827331543, 665.1196899414062)","(0.4871823191642761, 0.6041784286499023, 0.48529091477394104)",1,test
1610893387,740694913390,"(0.5702078342437744, 0.44732996821403503)","(13.246003150939941, 69.35812377929688, 14.602482795715332)",1,3.6360015869140625,1,"(-54.59806823730469, -42.72798538208008, 662.8563842773438)","(0.6107527017593384, 0.5902111530303955, 0.484299898147583)",1,"(0.49744296073913574, 0.3621952533721924)","(-0.482441246509552, 78.79161071777344, 18.03598403930664)",1,3.54388427734375,1,"(6.403600692749023, -49.9277229309082, 664.678955078125)","(0.48697611689567566, 0.6041631698608398, 0.48433226346969604)",1,test
1611410077,740695430056,"(0.5005866289138794, 0.4303288459777832)","(0.11067379266023636, 71.24195861816406, 15.2881441116333)",1,3.8073272705078125,1,"(-54.78899383544922, -42.68177032470703, 662.8355712890625)","(0.6111432909965515, 0.5901205539703369, 0.48428383469581604)",1,"(0.4096318185329437, 0.41865065693855286)","(-17.049631118774414, 72.53597259521484, 15.75915813446045)",1,3.7571563720703125,1,"(6.208230972290039, -49.762107849121094, 664.815673828125)","(0.48737576603889465, 0.6038129925727844, 0.4846038818359375)",1,test
1611926766,740695946773,"(0.5725786685943604, 0.4231131970882416)","(13.693314552307129, 72.04149627685547, 15.579157829284668)",1,3.92999267578125,1,"(-54.50556182861328, -42.577613830566406, 662.737548828125)","(0.6105883717536926, 0.589915931224823, 0.4840107858181)",1,"(0.5049639940261841, 0.3882425129413605)","(0.9365431070327759, 75.90538024902344, 16.985530853271484)",1,3.7713623046875,1,"(6.490140438079834, -49.71400451660156, 664.5550537109375)","(0.4867994487285614, 0.6037439703941345, 0.4840381145477295)",1,test
1612443459,740696463453,"(0.5997147560119629, 0.44696545600891113)","(18.813047409057617, 69.39850616455078, 14.61719036102295)",1,3.80853271484375,1,"(-54.488739013671875, -42.73072814941406, 663.0955810546875)","(0.6104866862297058, 0.5901924967765808, 0.4847986698150635)",1,"(0.5224058628082275, 0.3540334105491638)","(4.227287769317627, 79.69599151611328, 18.365150451660156)",1,3.6675262451171875,1,"(6.511198043823242, -49.953407287597656, 665.2998657226562)","(0.4867721199989319, 0.6041409969329834, 0.485685259103775)",1,test
1612943481,740696963468,"(0.48640891909599304, 0.8624303340911865)","(-2.5642142295837402, 23.36229705810547, -2.138631820678711)",1,3.8439788818359375,1,"(-55.05133819580078, -43.343040466308594, 662.1494750976562)","(0.6118007898330688, 0.5915369987487793, 0.48291492462158203)",1,"(0.40527746081352234, 0.8051220178604126)","(-17.87116813659668, 29.712425231933594, 0.17264626920223236)",1,3.68035888671875,1,"(5.682255744934082, -50.37340545654297, 664.2018432617188)","(0.48842477798461914, 0.6051289439201355, 0.483339786529541)",1,test
1613460172,740697480080,"(0.4710184633731842, 1.1754282712936401)","(-5.467904090881348, -11.319941520690918, -14.761898040771484)",1,3.9808349609375,1,"(-54.76402282714844, -43.69129943847656, 662.017578125)","(0.6112416982650757, 0.5922576785087585, 0.48261559009552)",1,"(0.3520571291446686, 1.137966513633728)","(-27.912168502807617, -7.168915748596191, -13.251096725463867)",1,3.807373046875,1,"(5.912589073181152, -50.764347076416016, 663.9432983398438)","(0.4879501461982727, 0.6059510707855225, 0.48283374309539795)",1,test
1613976859,740697996770,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.34567394852638245, 1.1120998859405518)","(-29.116470336914062, -4.302721977233887, -12.207878112792969)",1,3.8628692626953125,1,"(6.060791492462158, -50.454742431640625, 662.7626342773438)","(0.48762649297714233, 0.6054637432098389, 0.48023441433906555)",1,test
