device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1759650039,740843670991,"(0.5099865198135376, 0.41042542457580566)","(1.884140133857727, 73.44737243652344, 16.090892791748047)",1,3.8564300537109375,1,"(-45.76715087890625, -43.60878372192383, 644.1826782226562)","(0.595893383026123, 0.5938644409179688, 0.44251272082328796)",1,"(0.465553343296051, 0.3909853994846344)","(-6.49900484085083, 75.6014633178711, 16.8748779296875)",1,3.68316650390625,1,"(15.714424133300781, -46.55921936035156, 644.4642944335938)","(0.46700814366340637, 0.5995133519172668, 0.440387099981308)",1,test
1760150063,740844170866,"(0.5161749124526978, 0.41189804673194885)","(3.0516860485076904, 73.28421783447266, 16.03146743774414)",1,3.9124755859375,1,"(-45.161216735839844, -43.67320251464844, 644.2941284179688)","(0.594606876373291, 0.5939826369285583, 0.442669540643692)",1,"(0.44481635093688965, 0.4294038414955139)","(-10.411425590515137, 71.3444595336914, 15.325448989868164)",1,3.82379150390625,1,"(16.29078483581543, -46.79466247558594, 644.944091796875)","(0.46582695841789246, 0.5999451279640198, 0.441487193107605)",1,test
1760666752,740844687703,"(0.5836038589477539, 0.4362861216068268)","(15.773411750793457, 70.58184051513672, 15.047921180725098)",1,4.1432037353515625,1,"(-44.6802978515625, -43.75738525390625, 645.057861328125)","(0.5934755206108093, 0.5940736532211304, 0.44426122307777405)",1,"(0.5154768824577332, 0.4122750759124756)","(2.9199984073638916, 73.24243927001953, 16.016246795654297)",1,4.139892578125,1,"(16.81753158569336, -46.9627685546875, 645.7156982421875)","(0.4647701382637024, 0.6002025008201599, 0.4432108998298645)",1,test
1761183442,740845204354,"(0.5289058089256287, 0.423223078250885)","(5.453621864318848, 72.02932739257812, 15.574703216552734)",1,3.9641265869140625,1,"(-44.812252044677734, -43.47185516357422, 644.4945068359375)","(0.5938450694084167, 0.5935373306274414, 0.44302913546562195)",1,"(0.4395705759525299, 0.41075843572616577)","(-11.401134490966797, 73.41047668457031, 16.07745933532715)",1,3.96380615234375,1,"(16.662353515625, -46.665863037109375, 645.0440673828125)","(0.46505558490753174, 0.5996619462966919, 0.441709041595459)",1,test
1761700134,740845721013,"(0.566336989402771, 0.40502655506134033)","(12.515697479248047, 74.04561614990234, 16.308603286743164)",1,4.0982666015625,1,"(-44.54436492919922, -43.366241455078125, 644.287353515625)","(0.5933191180229187, 0.5933360457420349, 0.44252917170524597)",1,"(0.5034505128860474, 0.3553246855735779)","(0.6510058641433716, 79.55290222167969, 18.3131103515625)",1,3.9503631591796875,1,"(16.883281707763672, -46.54400634765625, 645.0545654296875)","(0.464594304561615, 0.5994048118591309, 0.44172945618629456)",1,test
1762200157,740846221172,"(0.5662152171134949, 0.4326319098472595)","(12.492728233337402, 70.98677062988281, 15.195247650146484)",1,4.0939788818359375,1,"(-45.11792755126953, -43.543426513671875, 644.553955078125)","(0.5944740772247314, 0.5936831831932068, 0.44321155548095703)",1,"(0.5222530961036682, 0.3881974518299103)","(4.198448657989502, 75.91038513183594, 16.987333297729492)",1,3.9660797119140625,1,"(16.32234764099121, -46.57719421386719, 645.4713134765625)","(0.46579402685165405, 0.5994307398796082, 0.44260677695274353)",1,test
1762716846,740846737785,"(0.5521530508995056, 0.567680299282074)","(9.839632034301758, 56.02251434326172, 9.748738288879395)",1,4.1448974609375,1,"(-45.132835388183594, -44.104209899902344, 644.5651245117188)","(0.5945004224777222, 0.5948551297187805, 0.4433000683784485)",1,"(0.48855912685394287, 0.5506336688995361)","(-2.1585354804992676, 57.91139602661133, 10.436212539672852)",1,3.9849090576171875,1,"(16.271804809570312, -47.12187957763672, 645.234619140625)","(0.46588194370269775, 0.6005943417549133, 0.4421563148498535)",1,test
1763233538,740847254493,"(0.48345890641212463, 0.8498546481132507)","(-3.120784282684326, 24.7557430267334, -1.6314176321029663)",1,4.17437744140625,1,"(-45.567832946777344, -45.075462341308594, 646.0836181640625)","(0.5951524972915649, 0.5967226624488831, 0.44676393270492554)",1,"(0.41227948665618896, 0.82652348279953)","(-16.55009651184082, 27.340999603271484, -0.690471351146698)",1,4.0289154052734375,1,"(15.813446044921875, -47.93522262573242, 646.3834228515625)","(0.46690306067466736, 0.6021584272384644, 0.444724440574646)",1,test
1763750222,740847771130,"(0.4946562349796295, 0.8791815042495728)","(-1.0082018375396729, 21.506141662597656, -2.814206123352051)",1,4.134185791015625,1,"(-45.86517333984375, -44.452911376953125, 645.3746337890625)","(0.5958942770957947, 0.595502495765686, 0.44520291686058044)",1,"(0.41324546933174133, 0.8632579445838928)","(-16.36785125732422, 23.270584106445312, -2.1719908714294434)",1,4.0075836181640625,1,"(15.567509651184082, -47.13903045654297, 646.5342407226562)","(0.4674309492111206, 0.6004851460456848, 0.44494110345840454)",1,test
1764250244,740848271006,"(0.49703162908554077, 0.8403974771499634)","(-0.5600373148918152, 25.80367660522461, -1.2500499486923218)",1,3.91339111328125,1,"(-46.53524398803711, -44.42926788330078, 645.2086181640625)","(0.5973215699195862, 0.5954764485359192, 0.44494351744651794)",1,"(0.37947720289230347, 0.8710597157478333)","(-22.738862991333008, 22.406091690063477, -2.486624002456665)",1,3.6408843994140625,1,"(14.936210632324219, -47.0555534362793, 646.0506591796875)","(0.4687238037586212, 0.6003722548484802, 0.4438496530056)",1,test
1764766934,740848787876,"(0.48988068103790283, 0.8107627630233765)","(-1.909201741218567, 29.087404251098633, -0.0548686608672142)",1,3.801055908203125,1,"(-46.32139587402344, -44.2556037902832, 644.6355590820312)","(0.5969728231430054, 0.5951737761497498, 0.44365009665489197)",1,"(0.3827632665634155, 0.8653519749641418)","(-22.118885040283203, 23.038545608520508, -2.2564451694488525)",1,3.594757080078125,1,"(15.130634307861328, -46.9197998046875, 645.1683349609375)","(0.4682690501213074, 0.6001896858215332, 0.44192835688591003)",1,test
1765283627,740849304580,"(0.5888910889625549, 0.7731242179870605)","(16.770950317382812, 33.257999420166016, 1.4631062746047974)",1,3.858642578125,1,"(-46.10063552856445, -44.478759765625, 645.20166015625)","(0.5964148044586182, 0.5955771803855896, 0.44486722350120544)",1,"(0.5083547234535217, 0.8143230080604553)","(1.5762706995010376, 28.692890167236328, -0.19842937588691711)",1,3.5905609130859375,1,"(15.399171829223633, -47.13896942138672, 645.6759033203125)","(0.46773409843444824, 0.6005858182907104, 0.44306984543800354)",1,test
