device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1767400384,740851421300,"(0.4864305257797241, 0.40526965260505676)","(-2.560136079788208, 74.01866912841797, 16.298816680908203)",1,4.08404541015625,1,"(-46.44611358642578, -43.595550537109375, 643.7711791992188)","(0.597383975982666, 0.5938858389854431, 0.44172415137290955)",1,"(0.42409250140190125, 0.38500624895095825)","(-14.321361541748047, 76.26399993896484, 17.11600112915039)",1,3.9705810546875,1,"(15.07374382019043, -46.147361755371094, 644.3880615234375)","(0.46834996342658997, 0.5986670255661011, 0.44013965129852295)",1,test
1767917075,740851937985,"(0.5524256229400635, 0.4080279469490051)","(9.891059875488281, 73.7130355834961, 16.187570571899414)",1,3.572784423828125,1,"(-46.36924743652344, -43.871822357177734, 644.5714111328125)","(0.5970857739448547, 0.5943782329559326, 0.4434758722782135)",1,"(0.46708473563194275, 0.3714304566383362)","(-6.2100749015808105, 77.7682876586914, 17.663530349731445)",1,3.4553985595703125,1,"(15.119945526123047, -46.33818817138672, 645.0172119140625)","(0.4682869613170624, 0.5989936590194702, 0.4415300488471985)",1,test
1768433760,740852454781,"(0.531865656375885, 0.47089266777038574)","(6.012045383453369, 66.74720764160156, 13.652217864990234)",1,3.6161041259765625,1,"(-46.68268966674805, -44.076107025146484, 643.94580078125)","(0.5978468656539917, 0.5948754549026489, 0.44219228625297546)",1,"(0.4527607858181, 0.456399142742157)","(-8.912558555603027, 68.35319519042969, 14.236726760864258)",1,3.5055694580078125,1,"(14.740199089050293, -46.482608795166016, 644.862060546875)","(0.46907296776771545, 0.5993157029151917, 0.441191703081131)",1,test
1768933791,740852954797,"(0.5362323522567749, 0.5030623078346252)","(6.8358988761901855, 63.1826171875, 12.354779243469238)",1,3.5955352783203125,1,"(-46.83369064331055, -44.558624267578125, 644.6544189453125)","(0.5980388522148132, 0.5958096385002136, 0.44380441308021545)",1,"(0.44477567076683044, 0.47283098101615906)","(-10.419099807739258, 66.53242492675781, 13.574067115783691)",1,3.4586944580078125,1,"(14.615792274475098, -46.93505096435547, 645.638671875)","(0.4693724513053894, 0.6001712679862976, 0.44292521476745605)",1,test
1769450479,740853471504,"(0.5144822001457214, 0.5874871611595154)","(2.7323336601257324, 53.827789306640625, 8.949893951416016)",1,3.4788360595703125,1,"(-46.663326263427734, -44.437110900878906, 644.46875)","(0.5977150201797485, 0.5955742597579956, 0.44336214661598206)",1,"(0.4134470224380493, 0.5585907101631165)","(-16.3298282623291, 57.02969741821289, 10.115341186523438)",1,3.3494720458984375,1,"(14.752466201782227, -46.79523468017578, 645.296142578125)","(0.4690687954425812, 0.5999181270599365, 0.4421718418598175)",1,test
1769967167,740853988109,"(0.5591041445732117, 0.6568135023117065)","(11.151093482971191, 46.14598083496094, 6.153932094573975)",1,3.6611175537109375,1,"(-46.31935119628906, -44.5362548828125, 644.6953125)","(0.5969568490982056, 0.5957542657852173, 0.44381076097488403)",1,"(0.4561387896537781, 0.6243629455566406)","(-8.275230407714844, 49.74170684814453, 7.462708473205566)",1,3.5169830322265625,1,"(15.049166679382324, -46.91156005859375, 645.333251953125)","(0.4684489071369171, 0.6001540422439575, 0.442281037569046)",1,test
1770483857,740854504986,"(0.5604671835899353, 0.7344499230384827)","(11.408258438110352, 37.543338775634766, 3.022911310195923)",1,3.81011962890625,1,"(-46.447837829589844, -44.869686126708984, 644.9758911132812)","(0.5971760749816895, 0.5964218378067017, 0.44447603821754456)",1,"(0.4620281457901001, 0.7059027552604675)","(-7.1641011238098145, 40.7065544128418, 4.174205303192139)",1,3.650634765625,1,"(14.912070274353027, -47.250640869140625, 646.2246704101562)","(0.46878260374069214, 0.6007586121559143, 0.44424968957901)",1,test
1770983885,740855004786,"(0.5056756138801575, 0.7269594073295593)","(1.0708149671554565, 38.373348236083984, 3.3249595165252686)",1,3.768402099609375,1,"(-46.889923095703125, -44.89705276489258, 644.691162109375)","(0.5981483459472656, 0.5965138673782349, 0.44393110275268555)",1,"(0.3986320495605469, 0.7106249332427979)","(-19.124940872192383, 40.18330764770508, 3.983729362487793)",1,3.4891357421875,1,"(14.469240188598633, -47.131126403808594, 645.5177612304688)","(0.4696713984012604, 0.6005951762199402, 0.44267964363098145)",1,test
1771500573,740855521500,"(0.6069507002830505, 0.39969488978385925)","(20.178226470947266, 74.63639068603516, 16.523630142211914)",1,3.5960235595703125,1,"(-46.452857971191406, -44.14118957519531, 644.7566528320312)","(0.5972276926040649, 0.5949223637580872, 0.443919837474823)",1,"(0.5420804619789124, 0.35749849677085876)","(7.9392619132995605, 79.31202697753906, 18.225418090820312)",1,3.3919219970703125,1,"(14.90226936340332, -46.39360809326172, 645.6134033203125)","(0.46877527236938477, 0.5990431308746338, 0.4428194761276245)",1,test
1772017264,740856038234,"(0.6179023385047913, 0.40212690830230713)","(22.244462966918945, 74.36691284179688, 16.425565719604492)",1,3.5272216796875,1,"(-46.552886962890625, -44.03794860839844, 644.1612548828125)","(0.5975385904312134, 0.5947713255882263, 0.44263437390327454)",1,"(0.5222533941268921, 0.3560185730457306)","(4.198507785797119, 79.47601318359375, 18.285118103027344)",1,3.3535919189453125,1,"(14.900936126708984, -46.267555236816406, 644.7857666015625)","(0.46873340010643005, 0.5988742113113403, 0.4410083293914795)",1,test
