device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1789334703,740873355866,"(0.5053892135620117, 0.4194459617137909)","(1.0167698860168457, 72.44784545898438, 15.727068901062012)",1,3.94537353515625,1,"(-46.83802032470703, -44.35053253173828, 644.4098510742188)","(0.5980908870697021, 0.595400869846344, 0.4432520270347595)",1,"(0.44909796118736267, 0.41516736149787903)","(-9.603621482849121, 72.92194366455078, 15.899617195129395)",1,3.6481170654296875,1,"(14.658720016479492, -46.76017761230469, 645.5199584960938)","(0.46927738189697266, 0.5998199582099915, 0.442648708820343)",1,test
1789851394,740873872579,"(0.4947679936885834, 0.36509498953819275)","(-0.9871237874031067, 78.47028350830078, 17.919092178344727)",1,3.7659759521484375,1,"(-46.83000564575195, -44.3023681640625, 644.9906616210938)","(0.597974956035614, 0.595237135887146, 0.44450297951698303)",1,"(0.43538564443588257, 0.3630790710449219)","(-12.190699577331543, 78.69367980957031, 18.000341415405273)",1,3.4998931884765625,1,"(14.646294593811035, -46.67534637451172, 645.625)","(0.46930965781211853, 0.5996311902999878, 0.442865788936615)",1,test
1790351411,740874372608,"(0.5401790142059326, 0.4213051497936249)","(7.580519199371338, 72.24183654785156, 15.652082443237305)",1,3.8876953125,1,"(-46.76201248168945, -44.440269470214844, 645.081298828125)","(0.5978167653083801, 0.5955151319503784, 0.4447042644023895)",1,"(0.4956135153770447, 0.3807061016559601)","(-0.8275917172431946, 76.740478515625, 17.289453506469727)",1,3.6323089599609375,1,"(14.703428268432617, -46.841278076171875, 645.909912109375)","(0.4692043960094452, 0.5999438762664795, 0.44350677728652954)",1,test
1790868099,740874889201,"(0.5897637009620667, 0.4119371175765991)","(16.93558120727539, 73.2798843383789, 16.029890060424805)",1,3.7776336669921875,1,"(-46.64617156982422, -44.726112365722656, 645.193359375)","(0.5975542068481445, 0.5960993766784668, 0.444961279630661)",1,"(0.518738865852356, 0.3842364251613617)","(3.535433053970337, 76.34929656982422, 17.147075653076172)",1,3.546051025390625,1,"(14.751309394836426, -47.11722183227539, 646.2213134765625)","(0.4691193103790283, 0.6004824638366699, 0.444218248128891)",1,test
1791384791,740875405969,"(0.560005247592926, 0.39572662115097046)","(11.321087837219238, 75.07609558105469, 16.68368911743164)",1,3.8568115234375,1,"(-46.99214553833008, -44.76665496826172, 645.8397216796875)","(0.5981658101081848, 0.5961161255836487, 0.44641923904418945)",1,"(0.4626961052417755, 0.4086596667766571)","(-7.038066864013672, 73.64302825927734, 16.162113189697266)",1,3.739013671875,1,"(14.521610260009766, -47.09455871582031, 646.65625)","(0.46962279081344604, 0.6003867983818054, 0.445148229598999)",1,test
1791901481,740875922536,"(0.5314981341362, 0.4934275448322296)","(5.942701816558838, 64.25020599365234, 12.74337387084961)",1,3.86920166015625,1,"(-47.06550598144531, -44.621910095214844, 645.0719604492188)","(0.5984512567520142, 0.5958982110023499, 0.4447517693042755)",1,"(0.45082616806030273, 0.48324981331825256)","(-9.277557373046875, 65.37796783447266, 13.153847694396973)",1,3.7445831298828125,1,"(14.410628318786621, -46.94818115234375, 645.9696044921875)","(0.46981924772262573, 0.6001620292663574, 0.44363510608673096)",1,test
1792401503,740876422488,"(0.5185306072235107, 0.5046853423118591)","(3.496136426925659, 63.00276184082031, 12.289353370666504)",1,3.7083740234375,1,"(-46.87405776977539, -44.50469970703125, 644.84521484375)","(0.5980908274650574, 0.5956763625144958, 0.444217711687088)",1,"(0.453511118888855, 0.4993220269680023)","(-8.770989418029785, 63.597049713134766, 12.505647659301758)",1,3.5928192138671875,1,"(14.589080810546875, -46.81764602661133, 645.6943359375)","(0.46943214535713196, 0.5999203324317932, 0.44303059577941895)",1,test
1792918196,740876939240,"(0.5139034986495972, 0.4197014272212982)","(2.6231420040130615, 72.41954803466797, 15.716747283935547)",1,3.7586822509765625,1,"(-47.31037139892578, -44.404354095458984, 644.977294921875)","(0.5989802479743958, 0.5954556465148926, 0.444560706615448)",1,"(0.4415215253829956, 0.39828407764434814)","(-11.033052444458008, 74.79271697998047, 16.580528259277344)",1,3.622406005859375,1,"(14.188035011291504, -46.63622283935547, 645.84912109375)","(0.4702804982662201, 0.5995275974273682, 0.44332554936408997)",1,test
1793434883,740877455901,"(0.5827986001968384, 0.382581889629364)","(15.62148380279541, 76.53263854980469, 17.21376609802246)",1,3.8090362548828125,1,"(-47.30972671508789, -44.654579162597656, 645.3489379882812)","(0.5989134907722473, 0.5959382057189941, 0.44539356231689453)",1,"(0.5112882256507874, 0.343810111284256)","(2.1297240257263184, 80.82880401611328, 18.77745246887207)",1,3.5818328857421875,1,"(14.20330810546875, -46.86922073364258, 646.0911865234375)","(0.4702596664428711, 0.5999852418899536, 0.44387951493263245)",1,test
1793934909,740877956047,"(0.4721336364746094, 0.38667532801628113)","(-5.257506847381592, 76.07903289794922, 17.048765182495117)",1,3.8542022705078125,1,"(-47.80046081542969, -44.917877197265625, 645.740478515625)","(0.5998683571815491, 0.5964493155479431, 0.446348637342453)",1,"(0.3898716866970062, 0.4002446234226227)","(-20.77775001525879, 74.57547760009766, 16.50147819519043)",1,3.695098876953125,1,"(13.668426513671875, -47.091156005859375, 646.8966064453125)","(0.4714169502258301, 0.6003587245941162, 0.445629358291626)",1,test
