device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1801718588,740885739775,"(0.5174425840377808, 0.3839704394340515)","(3.290863513946533, 76.37876892089844, 17.157785415649414)",1,3.73828125,1,"(-47.75162124633789, -44.69742965698242, 646.2383422851562)","(0.5996810793876648, 0.5959341526031494, 0.4473938047885895)",1,"(0.45683324337005615, 0.36566591262817383)","(-8.144211769104004, 78.40702056884766, 17.89603614807129)",1,3.535064697265625,1,"(13.722038269042969, -46.962745666503906, 647.12744140625)","(0.47131749987602234, 0.6000645756721497, 0.44611722230911255)",1,test
1802235277,740886256436,"(0.4956013560295105, 0.372811883687973)","(-0.8298877477645874, 77.61518859863281, 17.60786247253418)",1,3.6464691162109375,1,"(-48.125091552734375, -44.94378662109375, 646.5897216796875)","(0.6003968715667725, 0.5964125990867615, 0.4482419192790985)",1,"(0.4150359332561493, 0.38089272379875183)","(-16.030048370361328, 76.71980285644531, 17.28192901611328)",1,3.5335235595703125,1,"(13.295583724975586, -47.10940933227539, 647.5703125)","(0.47222810983657837, 0.600321888923645, 0.4470769464969635)",1,test
1802735302,740886756071,"(0.45821404457092285, 0.37981075048446655)","(-7.883700847625732, 76.83969116210938, 17.325551986694336)",1,3.7662200927734375,1,"(-48.28297424316406, -44.497032165527344, 645.98193359375)","(0.6008347272872925, 0.5955479741096497, 0.4469006061553955)",1,"(0.3699685037136078, 0.41030898690223694)","(-24.532855987548828, 73.46028900146484, 16.095569610595703)",1,3.606719970703125,1,"(13.132826805114746, -46.67865753173828, 646.9967041015625)","(0.47254279255867004, 0.5994932651519775, 0.44577303528785706)",1,test
1803251989,740887273106,"(0.5945726633071899, 0.39629650115966797)","(17.842891693115234, 75.01295471191406, 16.660696029663086)",1,3.967193603515625,1,"(-47.59524154663086, -44.223426818847656, 645.5745849609375)","(0.5994726419448853, 0.5950152277946472, 0.4458785355091095)",1,"(0.5228317379951477, 0.3868839740753174)","(4.307631492614746, 76.05592346191406, 17.04030990600586)",1,3.8354034423828125,1,"(13.790783882141113, -46.530818939208984, 646.719970703125)","(0.4711562395095825, 0.5992119312286377, 0.4451843202114105)",1,test
1803752014,740887773000,"(0.5346816778182983, 0.500154972076416)","(6.543346405029297, 63.50476837158203, 12.472036361694336)",1,3.896484375,1,"(-47.70794677734375, -44.28853225708008, 645.2201538085938)","(0.5997690558433533, 0.5951904654502869, 0.44513630867004395)",1,"(0.4464930295944214, 0.5099775195121765)","(-10.095091819763184, 62.416358947753906, 12.075919151306152)",1,3.816375732421875,1,"(13.724161148071289, -46.50273132324219, 645.94921875)","(0.47125670313835144, 0.5992417931556702, 0.443505197763443)",1,test
1804285369,740888306535,"(0.5058822631835938, 0.38410496711730957)","(1.1097970008850098, 76.36386108398438, 17.15237045288086)",1,3.6468048095703125,1,"(-47.93364334106445, -44.31181335449219, 645.9532470703125)","(0.6001121997833252, 0.5951616168022156, 0.44676196575164795)",1,"(0.428117036819458, 0.387959361076355)","(-13.562058448791504, 75.936767578125, 16.99692726135254)",1,3.4792327880859375,1,"(13.516302108764648, -46.52278137207031, 646.2682495117188)","(0.47170719504356384, 0.5992488265037537, 0.44419050216674805)",1,test
1804785395,740888806425,"(0.5921558737754822, 0.4070063829421997)","(17.38690757751465, 73.82624053955078, 16.2287540435791)",1,3.72906494140625,1,"(-47.823177337646484, -44.69963836669922, 645.9933471679688)","(0.599872887134552, 0.595966100692749, 0.4468750059604645)",1,"(0.511584997177124, 0.3743823170661926)","(2.185725212097168, 77.44120025634766, 17.544479370117188)",1,3.5660400390625,1,"(13.586067199707031, -46.8578987121582, 646.7825927734375)","(0.4715847969055176, 0.5998870730400085, 0.44535017013549805)",1,test
1805302080,740889323286,"(0.49139487743377686, 0.3753349184989929)","(-1.6235096454620361, 77.33563995361328, 17.506059646606445)",1,3.720001220703125,1,"(-48.496864318847656, -44.53498077392578, 645.8219604492188)","(0.6013087034225464, 0.595646321773529, 0.446592777967453)",1,"(0.41952770948410034, 0.3768797814846039)","(-15.182598114013672, 77.16447448730469, 17.44373321533203)",1,3.6393585205078125,1,"(12.949945449829102, -46.58086395263672, 646.4719848632812)","(0.47290027141571045, 0.5993510484695435, 0.4446147084236145)",1,test
1805818770,740889840157,"(0.573369562625885, 0.4283706843852997)","(13.842522621154785, 71.45892333984375, 15.36713695526123)",1,3.7910308837890625,1,"(-48.12499237060547, -44.63886642456055, 645.844482421875)","(0.6005285382270813, 0.5958578586578369, 0.446593701839447)",1,"(0.5098748803138733, 0.4026103913784027)","(1.863085389137268, 74.3133316040039, 16.406068801879883)",1,3.65765380859375,1,"(13.282116889953613, -46.6821403503418, 646.4375)","(0.4722038507461548, 0.5995631814002991, 0.444566547870636)",1,test
1806318793,740890339947,"(0.5987271070480347, 0.4012927711009979)","(18.626699447631836, 74.45933532714844, 16.459182739257812)",1,3.857177734375,1,"(-48.1196403503418, -44.33761215209961, 645.4260864257812)","(0.600592315196991, 0.5952739715576172, 0.44565311074256897)",1,"(0.5365167260169983, 0.37359854578971863)","(6.889552593231201, 77.52803802490234, 17.57610321044922)",1,3.713470458984375,1,"(13.349937438964844, -46.38134765625, 646.2369995117188)","(0.47205427289009094, 0.5989590883255005, 0.44409844279289246)",1,test
