device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1815702547,740899723813,"(0.5540759563446045, 0.41553375124931335)","(10.202424049377441, 72.88134765625, 15.884852409362793)",1,3.8757781982421875,1,"(-47.87098693847656, -44.26004409790039, 645.9166259765625)","(0.5999882817268372, 0.5950570106506348, 0.446666955947876)",1,"(0.4611073434352875, 0.4432199001312256)","(-7.337826728820801, 69.81352996826172, 14.768277168273926)",1,3.7225494384765625,1,"(13.628206253051758, -46.618072509765625, 646.9558715820312)","(0.4715070128440857, 0.5993679761886597, 0.44569915533065796)",1,test
1816219237,740900240461,"(0.53435879945755, 0.2719572186470032)","(6.482425212860107, 88.79055786132812, 21.675344467163086)",1,4.15966796875,1,"(-48.1776008605957, -44.61053466796875, 646.1287231445312)","(0.6005886793136597, 0.59576815366745, 0.44721439480781555)",1,"(0.45878279209136963, 0.3981199562549591)","(-7.776395797729492, 74.81090545654297, 16.587156295776367)",1,3.87994384765625,1,"(13.238821029663086, -46.874210357666016, 647.4561767578125)","(0.47234252095222473, 0.5998465418815613, 0.4467984437942505)",1,test
1816735927,740900757185,"(0.541188657283783, 0.3866828680038452)","(7.771002292633057, 76.07821655273438, 17.048385620117188)",1,4.014862060546875,1,"(-48.15625, -44.631683349609375, 646.6107788085938)","(0.6004596948623657, 0.5957596302032471, 0.44825705885887146)",1,"(0.4508534371852875, 0.4141809642314911)","(-9.27241325378418, 73.03124237060547, 15.93942642211914)",1,3.973358154296875,1,"(13.313909530639648, -46.94148254394531, 648.044677734375)","(0.47221410274505615, 0.5999183058738708, 0.44808682799339294)",1,test
1817252618,740901273740,"(0.573955237865448, 0.3842398524284363)","(13.953022003173828, 76.34892272949219, 17.14691925048828)",1,3.883026123046875,1,"(-48.008148193359375, -44.26598358154297, 645.7661743164062)","(0.6003004908561707, 0.5950868129730225, 0.446363627910614)",1,"(0.5058376789093018, 0.36227306723594666)","(1.1013895273208618, 78.78297424316406, 18.03285789489746)",1,3.8646392822265625,1,"(13.429447174072266, -46.55358123779297, 646.814453125)","(0.47191545367240906, 0.5992514491081238, 0.4453756511211395)",1,test
1817752635,740901773943,"(0.5743506550788879, 0.400321364402771)","(14.02762508392334, 74.56697845458984, 16.49837303161621)",1,3.92584228515625,1,"(-47.70286178588867, -44.11273956298828, 645.9539184570312)","(0.5996319055557251, 0.5947442054748535, 0.446704626083374)",1,"(0.4940660297870636, 0.4001788794994354)","(-1.1195564270019531, 74.58275604248047, 16.504125595092773)",1,3.8457794189453125,1,"(13.740629196166992, -46.477272033691406, 646.4207763671875)","(0.47124627232551575, 0.5991349220275879, 0.444526344537735)",1,test
1818269326,740902290662,"(0.5146706700325012, 0.4073569178581238)","(2.7678945064544678, 73.78739929199219, 16.21460723876953)",1,4.149993896484375,1,"(-47.839866638183594, -44.06148147583008, 645.7811279296875)","(0.5999479293823242, 0.5946567058563232, 0.44634637236595154)",1,"(0.4221588671207428, 0.4093632698059082)","(-14.686174392700195, 73.56507110595703, 16.133703231811523)",1,4.013580322265625,1,"(13.64590072631836, -46.43042755126953, 646.8502197265625)","(0.471466064453125, 0.5989894270896912, 0.4454483687877655)",1,test
1818786017,740902807240,"(0.5803629159927368, 0.41464072465896606)","(15.161955833435059, 72.98030853271484, 15.92084789276123)",1,4.18890380859375,1,"(-48.134822845458984, -44.411651611328125, 645.8309326171875)","(0.6005526781082153, 0.5953848958015442, 0.44654035568237305)",1,"(0.49348169565200806, 0.41667723655700684)","(-1.2297991514205933, 72.75464630126953, 15.838715553283691)",1,3.9646148681640625,1,"(13.310577392578125, -46.57433319091797, 646.5984497070312)","(0.472152978181839, 0.5993201732635498, 0.444904088973999)",1,test
1819302707,740903323982,"(0.5243098139762878, 0.4794498085975647)","(4.586489677429199, 65.79903411865234, 13.307080268859863)",1,4.1066131591796875,1,"(-48.63249969482422, -44.93688201904297, 646.2662963867188)","(0.6015108823776245, 0.5964378118515015, 0.447622150182724)",1,"(0.4439920485019684, 0.4706870913505554)","(-10.566941261291504, 66.7699966430664, 13.660487174987793)",1,3.93060302734375,1,"(12.834182739257812, -46.96754455566406, 647.0556030273438)","(0.4731670916080475, 0.6000898480415344, 0.4459228515625)",1,test
1819819393,740903840669,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.4998437166213989, 0.5193216800689697)","(-0.029485873878002167, 61.38096618652344, 11.699050903320312)",1,3.695770263671875,1,"(13.125500679016113, -46.393653869628906, 646.16455078125)","(0.47251981496810913, 0.5989947319030762, 0.44393283128738403)",1,test
1820319419,740904340754,"(0.5159134864807129, 0.4539956748485565)","(3.002371072769165, 68.61951446533203, 14.333662986755371)",1,4.040496826171875,1,"(-48.34637451171875, -44.2385139465332, 644.8077392578125)","(0.6011751294136047, 0.5951354503631592, 0.4443395137786865)",1,"(0.4176247715950012, 0.3984069228172302)","(-15.541613578796387, 74.77911376953125, 16.5755558013916)",1,3.8811492919921875,1,"(13.091741561889648, -46.44822692871094, 645.9478759765625)","(0.47257959842681885, 0.599133312702179, 0.4434676468372345)",1,test
1820836107,740904857356,"(0.5046416521072388, 0.8805093765258789)","(0.8757262825965881, 21.359020233154297, -2.8677663803100586)",1,3.909393310546875,1,"(-48.20869445800781, -44.85044860839844, 644.7478637695312)","(0.6008948087692261, 0.5964207053184509, 0.444256991147995)",1,"(0.39982253313064575, 0.8429378271102905)","(-18.900341033935547, 25.522201538085938, -1.3525235652923584)",1,3.779510498046875,1,"(13.113357543945312, -47.06645965576172, 645.268798828125)","(0.47249749302864075, 0.6005000472068787, 0.44206929206848145)",1,test
1821352797,740905373959,"(0.5385563969612122, 0.4055485129356384)","(7.274375915527344, 73.98778533935547, 16.287538528442383)",1,3.9495697021484375,1,"(-47.94078826904297, -44.076744079589844, 645.2315063476562)","(0.6002544164657593, 0.5947484374046326, 0.44517409801483154)",1,"(0.4577280879020691, 0.37875086069107056)","(-7.975383281707764, 76.95712280273438, 17.368318557739258)",1,3.7454986572265625,1,"(13.409891128540039, -46.421974182128906, 646.3388061523438)","(0.4719336926937103, 0.5990316867828369, 0.44432690739631653)",1,test
