device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1843853807,740927875529,"(0.5265120267868042, 0.38063156604766846)","(5.0019850730896, 76.74874114990234, 17.29244041442871)",1,3.7387847900390625,1,"(-48.20014953613281, -43.95906448364258, 647.1285400390625)","(0.6004641652107239, 0.5943021178245544, 0.44930991530418396)",1,"(0.4615410268306732, 0.3600561320781708)","(-7.2560014724731445, 79.02863311767578, 18.122264862060547)",1,3.5632476806640625,1,"(13.314729690551758, -46.26335144042969, 648.5791015625)","(0.4722428619861603, 0.59844970703125, 0.44916582107543945)",1,test
1844370494,740928391891,"(0.5260425209999084, 0.4124186038970947)","(4.91339635848999, 73.22651672363281, 16.010499954223633)",1,3.5728607177734375,1,"(-48.40088653564453, -44.39278030395508, 648.1049194335938)","(0.6007086634635925, 0.5951023697853088, 0.45150426030158997)",1,"(0.446365624666214, 0.38682684302330017)","(-10.119118690490723, 76.062255859375, 17.04261016845703)",1,3.4282684326171875,1,"(13.064071655273438, -46.50771713256836, 648.5402221679688)","(0.47276124358177185, 0.59896320104599, 0.4490993320941925)",1,test
1844887180,740928908633,"(0.5586407780647278, 0.500914990901947)","(11.063668251037598, 63.42053985595703, 12.441411972045898)",1,3.655609130859375,1,"(-48.81388854980469, -44.64496612548828, 648.2181396484375)","(0.6015453934669495, 0.5956181287765503, 0.45184406638145447)",1,"(0.45424264669418335, 0.47761526703834534)","(-8.632977485656738, 66.0022964477539, 13.381105422973633)",1,3.4539642333984375,1,"(12.690340042114258, -46.6652946472168, 649.2191162109375)","(0.4735696315765381, 0.5992162823677063, 0.450575590133667)",1,test
1845387204,740929408679,"(0.5334174633026123, 0.5392885804176331)","(6.304819107055664, 59.16851806640625, 10.893749237060547)",1,3.5604705810546875,1,"(-48.79236602783203, -44.31859588623047, 647.9522094726562)","(0.6015492677688599, 0.5949674844741821, 0.4512282609939575)",1,"(0.4194016754627228, 0.5237072706222534)","(-15.206377983093262, 60.89501190185547, 11.522173881530762)",1,3.4409942626953125,1,"(12.681699752807617, -46.30950164794922, 648.599609375)","(0.4735613167285919, 0.598548173904419, 0.4491885006427765)",1,test
1845903895,740929925379,"(0.5668593049049377, 0.609940767288208)","(12.614237785339355, 51.339759826660156, 8.044398307800293)",1,3.7283935546875,1,"(-48.95906448364258, -44.40869903564453, 647.5499877929688)","(0.6019663214683533, 0.5951996445655823, 0.45039448142051697)",1,"(0.4399450123310089, 0.5806185603141785)","(-11.330493927001953, 54.58888626098633, 9.226884841918945)",1,3.5613861083984375,1,"(12.505499839782715, -46.339996337890625, 648.339599609375)","(0.47391608357429504, 0.5986421704292297, 0.448620468378067)",1,test
1845903895,740929925379,"(0.5668593049049377, 0.609940767288208)","(12.614237785339355, 51.339759826660156, 8.044398307800293)",1,3.7283935546875,1,"(-48.95906448364258, -44.40869903564453, 647.5499877929688)","(0.6019663214683533, 0.5951996445655823, 0.45039448142051697)",1,"(0.4399450123310089, 0.5806185603141785)","(-11.330493927001953, 54.58888626098633, 9.226884841918945)",1,3.5613861083984375,1,"(12.505499839782715, -46.339996337890625, 648.339599609375)","(0.47391608357429504, 0.5986421704292297, 0.448620468378067)",1,test
1846920607,740930942028,"(0.6139684915542603, 0.23429322242736816)","(21.50226593017578, 92.96398162841797, 23.194320678710938)",1,3.7611541748046875,1,"(-48.84269714355469, -43.883914947509766, 647.1233520507812)","(0.6018025279045105, 0.5941510796546936, 0.449393630027771)",1,"(0.5392062664031982, 0.21458643674850464)","(7.396998405456543, 95.1476058959961, 23.989152908325195)",1,3.5238189697265625,1,"(12.65357780456543, -45.86835479736328, 648.1131591796875)","(0.4736003279685974, 0.5976869463920593, 0.4480796456336975)",1,test
1847437298,740931458746,"(0.5513966083526611, 0.10729899257421494)","(9.696929931640625, 107.03577423095703, 28.316038131713867)",1,3.730804443359375,1,"(-49.07105255126953, -43.923744201660156, 646.9472045898438)","(0.6023088097572327, 0.5942546129226685, 0.449053555727005)",1,"(0.4818071722984314, 0.0711207166314125)","(-3.432417392730713, 111.0445556640625, 29.775135040283203)",1,3.491943359375,1,"(12.402400970458984, -45.963157653808594, 648.3673095703125)","(0.47413453459739685, 0.5978574752807617, 0.4486318826675415)",1,test
1847953988,740931975534,"(0.4722035825252533, 0.060869865119457245)","(-5.244314670562744, 112.18042755126953, 30.18852424621582)",1,3.8647613525390625,1,"(-49.447471618652344, -44.09711456298828, 647.9677734375)","(0.6029087901115417, 0.594510018825531, 0.45134371519088745)",1,"(0.40210214257240295, 0.07008726894855499)","(-18.470251083374023, 111.15907287597656, 29.816791534423828)",1,3.7269287109375,1,"(12.055354118347168, -46.01991271972656, 648.9134521484375)","(0.4748809039592743, 0.5979171395301819, 0.44980984926223755)",1,test
1848470680,740932492114,"(0.5164245963096619, 0.3605038821697235)","(3.0988004207611084, 78.97900390625, 18.10425567626953)",1,4.0211181640625,1,"(-49.36408615112305, -44.169342041015625, 647.1712646484375)","(0.6028773784637451, 0.5947449207305908, 0.4496137499809265)",1,"(0.44182702898979187, 0.34263089299201965)","(-10.975410461425781, 80.95945739746094, 18.825040817260742)",1,3.814697265625,1,"(12.122603416442871, -46.039154052734375, 647.7241821289062)","(0.47468823194503784, 0.598089337348938, 0.447233647108078)",1,test
