device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1874721848,740958743524,"(0.48826655745506287, 0.35265472531318665)","(-2.2137324810028076, 79.8487548828125, 18.420774459838867)",1,4.3656158447265625,1,"(-47.01631164550781, -45.963897705078125, 653.6388549804688)","(0.5968933701515198, 0.597743570804596, 0.463448166847229)",1,"(0.4233156442642212, 0.3423481583595276)","(-14.46793270111084, 80.99079132080078, 18.83644676208496)",1,4.1189727783203125,1,"(14.48301887512207, -48.44573211669922, 654.7921752929688)","(0.47012093663215637, 0.602236270904541, 0.46296653151512146)",1,test
1875238541,740959260113,"(0.4711861312389374, 0.39569205045700073)","(-5.436272144317627, 75.0799331665039, 16.685070037841797)",1,4.2052154541015625,1,"(-47.07273483276367, -46.07335662841797, 654.01416015625)","(0.5969463586807251, 0.5979283452033997, 0.46428221464157104)",1,"(0.39397841691970825, 0.37997448444366455)","(-20.002933502197266, 76.8215560913086, 17.318925857543945)",1,3.939910888671875,1,"(14.401266098022461, -48.61592102050781, 655.3995971679688)","(0.4703194200992584, 0.6025155186653137, 0.46430185437202454)",1,test
1875755229,740959776845,"(0.45344483852386475, 0.39429816603660583)","(-8.783499717712402, 75.2343978881836, 16.741273880004883)",1,4.20135498046875,1,"(-47.22042465209961, -46.37944793701172, 654.614990234375)","(0.5971482396125793, 0.5984936952590942, 0.46564170718193054)",1,"(0.4017714262008667, 0.39552542567253113)","(-18.53264808654785, 75.09840393066406, 16.6917781829834)",1,3.9212799072265625,1,"(14.279104232788086, -48.86524200439453, 655.879150390625)","(0.4705934524536133, 0.6029720902442932, 0.46536785364151)",1,test
1876271917,740960293567,"(0.5065748691558838, 0.4083799421787262)","(1.2404718399047852, 73.67403411865234, 16.173355102539062)",1,4.3543548583984375,1,"(-47.39012908935547, -46.70319747924805, 654.9580688476562)","(0.597437858581543, 0.5991234183311462, 0.46644896268844604)",1,"(0.43785566091537476, 0.39313045144081116)","(-11.72468376159668, 75.36377716064453, 16.788362503051758)",1,4.1047515869140625,1,"(14.085455894470215, -49.07015609741211, 656.006591796875)","(0.47099655866622925, 0.6033791899681091, 0.46566107869148254)",1,test
1876788611,740960810178,"(0.466985285282135, 0.4072025716304779)","(-6.228843688964844, 73.80448913574219, 16.22085189819336)",1,3.8379669189453125,1,"(-47.481849670410156, -46.73268508911133, 655.1361083984375)","(0.597596287727356, 0.5991649031639099, 0.46685221791267395)",1,"(0.39387911558151245, 0.37691476941108704)","(-20.02167320251465, 77.16059875488281, 17.44232940673828)",1,3.7474822998046875,1,"(13.956162452697754, -49.09903335571289, 656.427978515625)","(0.47128304839134216, 0.6033895015716553, 0.46657317876815796)",1,test
1877288633,740961310267,"(0.502956211566925, 0.18688559532165527)","(0.5577443242073059, 98.217041015625, 25.1063175201416)",1,3.811370849609375,1,"(-47.3234977722168, -46.22189712524414, 655.0653686523438)","(0.5972856879234314, 0.598119854927063, 0.46661442518234253)",1,"(0.4610913097858429, 0.13225455582141876)","(-7.340847969055176, 104.2705307006836, 27.3095703125)",1,3.7042999267578125,1,"(14.169120788574219, -48.624656677246094, 656.194091796875)","(0.4708369970321655, 0.6024423241615295, 0.46601602435112)",1,test
1877805322,740961827120,"(0.5309764742851257, 0.5112311840057373)","(5.844281196594238, 62.27745819091797, 12.02531909942627)",1,4.1699371337890625,1,"(-47.069053649902344, -46.594398498535156, 654.51708984375)","(0.5968523621559143, 0.5989463925361633, 0.46543169021606445)",1,"(0.4729490578174591, 0.4956842362880707)","(-5.103662490844727, 64.0001449584961, 12.652372360229492)",1,4.04547119140625,1,"(14.35311508178711, -49.013336181640625, 655.4744262695312)","(0.47041967511177063, 0.6033234000205994, 0.46451178193092346)",1,test
1878322013,740962343604,"(0.5122293829917908, 0.5466184020042419)","(2.307309627532959, 58.3563232421875, 10.59813404083252)",1,4.1043701171875,1,"(-47.227943420410156, -46.48755645751953, 654.265380859375)","(0.5972214341163635, 0.5987556576728821, 0.4648986756801605)",1,"(0.44495856761932373, 0.5345944762229919)","(-10.3845853805542, 59.68864059448242, 11.083090782165527)",1,3.974639892578125,1,"(14.188762664794922, -48.869781494140625, 655.3485107421875)","(0.4707523286342621, 0.6030447483062744, 0.4642128348350525)",1,test
1878822030,740962843554,"(0.4493045210838318, 0.3733009397983551)","(-9.564643859863281, 77.5610122680664, 17.588104248046875)",1,4.1659088134765625,1,"(-47.455970764160156, -46.366912841796875, 654.3035888671875)","(0.5976845026016235, 0.5985044240951538, 0.46500256657600403)",1,"(0.3995504379272461, 0.3974873721599579)","(-18.951675415039062, 74.88101196289062, 16.612646102905273)",1,3.939544677734375,1,"(13.96218490600586, -48.748470306396484, 655.4776611328125)","(0.471225768327713, 0.6027821898460388, 0.46446746587753296)",1,test
1879338722,740963360377,"(0.4722681939601898, 0.37270402908325195)","(-5.232119560241699, 77.62716674804688, 17.612167358398438)",1,4.179229736328125,1,"(-47.58038330078125, -46.58714294433594, 654.369140625)","(0.5979280471801758, 0.598952054977417, 0.46518978476524353)",1,"(0.39655473828315735, 0.4097544848918915)","(-19.51686668395996, 73.52172088623047, 16.117944717407227)",1,3.8911590576171875,1,"(13.898313522338867, -48.93670654296875, 655.3256225585938)","(0.471348375082016, 0.6031872630119324, 0.46415817737579346)",1,test
