device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1944158285,741028180283,"(0.46845051646232605, 0.403075635433197)","(-5.952400207519531, 74.26177978515625, 16.38730812072754)",1,4.0642547607421875,1,"(-43.81425476074219, -43.134742736816406, 641.38134765625)","(0.5922612547874451, 0.5931512117385864, 0.436101496219635)",1,"(0.38313043117523193, 0.4033609926700592)","(-22.04961395263672, 74.23017120361328, 16.375764846801758)",1,4.009979248046875,1,"(17.666805267333984, -45.79792785644531, 642.734619140625)","(0.4628066420555115, 0.5981025099754333, 0.4366520047187805)",1,test
1944674977,741028697069,"(0.4928071200847626, 0.3724004924297333)","(-1.3570821285247803, 77.66080474853516, 17.62440299987793)",1,3.57684326171875,1,"(-42.72861862182617, -42.88949203491211, 642.1958618164062)","(0.5898509621620178, 0.5925419330596924, 0.437682569026947)",1,"(0.3958148956298828, 0.3854135274887085)","(-19.65645408630371, 76.21886444091797, 17.0996036529541)",1,3.6295166015625,1,"(18.69561004638672, -45.611175537109375, 643.1395263671875)","(0.4606725871562958, 0.5976580381393433, 0.43757110834121704)",1,test
1945191667,741029213649,"(0.531548798084259, 0.38630411028862)","(5.952260494232178, 76.12020111083984, 17.06365966796875)",1,3.6509246826171875,1,"(-41.741539001464844, -42.49633026123047, 643.1449584960938)","(0.5876340866088867, 0.5916109681129456, 0.43955767154693604)",1,"(0.45573732256889343, 0.3792159855365753)","(-8.350982666015625, 76.90560150146484, 17.34954833984375)",1,3.6171112060546875,1,"(19.654264450073242, -45.57115173339844, 644.2708740234375)","(0.4587406814098358, 0.5974403619766235, 0.4400825798511505)",1,test
1945708355,741029730355,"(0.463565856218338, 0.47086256742477417)","(-6.873979091644287, 66.75054931640625, 13.65342903137207)",1,3.7136383056640625,1,"(-43.3781852722168, -42.80698013305664, 644.4274291992188)","(0.5908599495887756, 0.5921419858932495, 0.4426014721393585)",1,"(0.3469250500202179, 0.4960043430328369)","(-28.88042640686035, 63.96469497680664, 12.639409065246582)",1,3.6554412841796875,1,"(17.99878692626953, -45.59757995605469, 645.1513061523438)","(0.4622708261013031, 0.5974106192588806, 0.44189226627349854)",1,test
1946225048,741030247163,"(0.5235084295272827, 0.5667471885681152)","(4.435299873352051, 56.12592315673828, 9.786343574523926)",1,3.750213623046875,1,"(-43.97801208496094, -43.48160934448242, 645.597900390625)","(0.5919231176376343, 0.593434751033783, 0.44529736042022705)",1,"(0.4146711230278015, 0.5759950280189514)","(-16.098875045776367, 55.10118103027344, 9.413412094116211)",1,3.6147308349609375,1,"(17.363357543945312, -46.359458923339844, 645.919189453125)","(0.4636453688144684, 0.5989177227020264, 0.44361093640327454)",1,test
1946725063,741030746970,"(0.5312362909317017, 0.4167937934398651)","(5.893309116363525, 72.74172973632812, 15.834036827087402)",1,3.492706298828125,1,"(-43.456241607666016, -43.36022186279297, 647.2080688476562)","(0.5905803442001343, 0.5930085778236389, 0.44869664311408997)",1,"(0.4407144784927368, 0.3817652463912964)","(-11.18531608581543, 76.62310791015625, 17.246761322021484)",1,3.3628387451171875,1,"(17.923004150390625, -46.39995193481445, 647.964599609375)","(0.4626089334487915, 0.5987660884857178, 0.44808682799339294)",1,test
1947241754,741031263835,"(0.5684065818786621, 0.4141424000263214)","(12.906161308288574, 73.03553771972656, 15.940914154052734)",1,3.6373138427734375,1,"(-44.34641647338867, -42.72413635253906, 648.441162109375)","(0.5922390222549438, 0.5915643572807312, 0.4514288902282715)",1,"(0.4981815814971924, 0.3502340614795685)","(-0.3430817723274231, 80.11698150634766, 18.518373489379883)",1,3.599090576171875,1,"(17.04529571533203, -45.46112060546875, 649.4481201171875)","(0.46453621983528137, 0.5966602563858032, 0.45114535093307495)",1,test
1947758444,741031780411,"(0.48573440313339233, 0.3672788739204407)","(-2.6914730072021484, 78.22831726074219, 17.830957412719727)",1,3.884979248046875,1,"(-45.43824768066406, -42.7892951965332, 648.9799194335938)","(0.5944181084632874, 0.5916533470153809, 0.4527648985385895)",1,"(0.3793533742427826, 0.4082382619380951)","(-22.76222801208496, 73.68974304199219, 16.179058074951172)",1,3.8851776123046875,1,"(15.972321510314941, -45.008949279785156, 650.3610229492188)","(0.4668222665786743, 0.5956330895423889, 0.4530161917209625)",1,test
1948258467,741032280454,"(0.5446774959564209, 0.3982599675655365)","(8.42923641204834, 74.79540252685547, 16.58149528503418)",1,4.086944580078125,1,"(-42.60210418701172, -43.2005615234375, 645.2623291015625)","(0.5891044735908508, 0.5928720235824585, 0.44434189796447754)",1,"(0.44141119718551636, 0.4218388497829437)","(-11.053865432739258, 72.18270111083984, 15.630558967590332)",1,4.0954742431640625,1,"(18.816944122314453, -45.8375244140625, 647.069580078125)","(0.4606884717941284, 0.5976904034614563, 0.4461328983306885)",1,test
1948775154,741032797184,"(0.5434661507606506, 0.3080711364746094)","(8.200703620910645, 84.78889465332031, 20.21887969970703)",1,4.1526947021484375,1,"(-41.55535125732422, -44.59663009643555, 644.7653198242188)","(0.5869855880737305, 0.5958349108695984, 0.44327351450920105)",1,"(0.44380316138267517, 0.3895730972290039)","(-10.60257339477539, 75.75794982910156, 16.931852340698242)",1,4.01971435546875,1,"(19.962026596069336, -47.565635681152344, 646.199951171875)","(0.4582233726978302, 0.6013771295547485, 0.44452714920043945)",1,test
