device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1970359460,741054381948,"(0.49466440081596375, 0.39986735582351685)","(-1.0066581964492798, 74.61727905273438, 16.51669692993164)",1,4.05938720703125,1,"(-45.855499267578125, -43.97639465332031, 643.37060546875)","(0.5962128043174744, 0.5947219133377075, 0.44080811738967896)",1,"(0.41066285967826843, 0.3764786720275879)","(-16.8551082611084, 77.20890045166016, 17.45995330810547)",1,3.83880615234375,1,"(15.622175216674805, -46.32735061645508, 645.1685180664062)","(0.4672437608242035, 0.5989498496055603, 0.4418827295303345)",1,test
1970876150,741054898358,"(0.5527126789093018, 0.4497118294239044)","(9.945221900939941, 69.09420013427734, 14.506414413452148)",1,4.146148681640625,1,"(-45.68793487548828, -44.34117889404297, 643.778076171875)","(0.5957915186882019, 0.5954408049583435, 0.4417058527469635)",1,"(0.4687938690185547, 0.4147220849990845)","(-5.8876190185546875, 72.97126770019531, 15.917610168457031)",1,4.02386474609375,1,"(15.64420223236084, -46.57088088989258, 645.3850708007812)","(0.4672084450721741, 0.5994328856468201, 0.44238293170928955)",1,test
1971376167,741055398364,"(0.5394895076751709, 0.523539662361145)","(7.450430393218994, 60.91358947753906, 11.528951644897461)",1,4.0020904541015625,1,"(-45.767826080322266, -44.380393981933594, 644.5181274414062)","(0.5958345532417297, 0.595443069934845, 0.44332513213157654)",1,"(0.457333505153656, 0.47856947779655457)","(-8.04983139038086, 65.8965835571289, 13.342588424682617)",1,3.8711700439453125,1,"(15.564947128295898, -46.58873748779297, 645.966064453125)","(0.46740755438804626, 0.5994043350219727, 0.443641722202301)",1,test
1971892858,741055915102,"(0.5185666084289551, 0.6069716215133667)","(3.502932548522949, 51.66877746582031, 8.164127349853516)",1,4.2870330810546875,1,"(-45.75733184814453, -44.42875671386719, 644.1671142578125)","(0.5958711504936218, 0.5955823659896851, 0.44256868958473206)",1,"(0.46611595153808594, 0.6038739085197449)","(-6.392859935760498, 52.012027740478516, 8.289019584655762)",1,4.1883697509765625,1,"(15.502677917480469, -46.584632873535156, 646.3045654296875)","(0.46755704283714294, 0.5993576645851135, 0.4443725645542145)",1,test
1972409548,741056431889,"(0.4959162473678589, 0.4039168953895569)","(-0.7704784274101257, 74.1685791015625, 16.35333824157715)",1,4.1651611328125,1,"(-45.978233337402344, -43.959716796875, 644.1517944335938)","(0.5963383913040161, 0.594603955745697, 0.44251683354377747)",1,"(0.4422764778137207, 0.4012756943702698)","(-10.890613555908203, 74.46124267578125, 16.459863662719727)",1,3.99786376953125,1,"(15.410015106201172, -46.079933166503906, 645.4322509765625)","(0.4677046537399292, 0.5984055995941162, 0.442414790391922)",1,test
1972926238,741056948462,"(0.557035505771637, 0.3937024474143982)","(10.760807991027832, 75.3003921508789, 16.76530647277832)",1,4.269012451171875,1,"(-45.641849517822266, -43.900264739990234, 643.9689331054688)","(0.5956653952598572, 0.5944964289665222, 0.4420629143714905)",1,"(0.5153643488883972, 0.3958846628665924)","(2.898761034011841, 75.05859375, 16.67730140686035)",1,4.1037750244140625,1,"(15.706315994262695, -46.121734619140625, 646.0767822265625)","(0.467121422290802, 0.5984176993370056, 0.44383373856544495)",1,test
1973442928,741057465068,"(0.5119086503982544, 0.4246263802051544)","(2.246795177459717, 71.87383270263672, 15.518111228942871)",1,4.3222198486328125,1,"(-46.4348030090332, -44.340980529785156, 644.2249755859375)","(0.5972790718078613, 0.5953978300094604, 0.4427880346775055)",1,"(0.4531221389770508, 0.40888315439224243)","(-8.844383239746094, 73.61827850341797, 16.15306282043457)",1,4.0776824951171875,1,"(14.91733169555664, -46.35444641113281, 646.2132568359375)","(0.46877697110176086, 0.5988933444023132, 0.4441172778606415)",1,test
1973942951,741057965402,"(0.5733537077903748, 0.41151586174964905)","(13.839530944824219, 73.32654571533203, 16.046926498413086)",1,3.912750244140625,1,"(-46.04673767089844, -44.486427307128906, 644.710205078125)","(0.5963848233222961, 0.5956462025642395, 0.44379550218582153)",1,"(0.5110819339752197, 0.33476147055625916)","(2.0908114910125732, 81.8314437866211, 19.142393112182617)",1,3.72808837890625,1,"(15.28746223449707, -46.51405715942383, 646.4066162109375)","(0.46801307797431946, 0.5992008447647095, 0.4445745050907135)",1,test
1974459641,741058481866,"(0.5208152532577515, 0.40432456135749817)","(3.92718505859375, 74.12339782714844, 16.336917877197266)",1,3.894195556640625,1,"(-46.27838897705078, -44.18507385253906, 644.2581787109375)","(0.5969471335411072, 0.5950665473937988, 0.442818284034729)",1,"(0.4389804005622864, 0.3580029606819153)","(-11.512482643127441, 79.25614166259766, 18.205081939697266)",1,3.8338623046875,1,"(15.108169555664062, -46.173221588134766, 646.2506103515625)","(0.4683813154697418, 0.5985101461410522, 0.44418638944625854)",1,test
1974976331,741058998669,"(0.49844634532928467, 0.42587989568710327)","(-0.29313281178474426, 71.73493194580078, 15.467580795288086)",1,3.8985137939453125,1,"(-45.90578079223633, -44.10652160644531, 644.1870727539062)","(0.5961800217628479, 0.5949069261550903, 0.442598432302475)",1,"(0.4084811210632324, 0.4043462574481964)","(-17.266735076904297, 74.12100982666016, 16.336000442504883)",1,3.8438262939453125,1,"(15.50249195098877, -46.17203140258789, 646.1873779296875)","(0.4675535261631012, 0.5985116958618164, 0.444068968296051)",1,test
1975493023,741059515235,"(0.4862384498119354, 0.8666331171989441)","(-2.596371650695801, 22.89659881591797, -2.308122158050537)",1,4.153228759765625,1,"(-45.963623046875, -44.7747917175293, 644.4644775390625)","(0.5962508320808411, 0.5962756872177124, 0.443283349275589)",1,"(0.40337663888931274, 0.8219971060752869)","(-18.229787826538086, 27.842557907104492, -0.5079457759857178)",1,4.07989501953125,1,"(15.37408447265625, -46.7471923828125, 646.056884765625)","(0.467810720205307, 0.599725604057312, 0.4438479244709015)",1,test
1976009711,741060031909,"(0.508435070514679, 0.8257318735122681)","(1.591439127922058, 27.428712844848633, -0.6585524082183838)",1,3.96441650390625,1,"(-46.777099609375, -45.04519271850586, 645.6278686523438)","(0.597751796245575, 0.5967193841934204, 0.44595882296562195)",1,"(0.3939426839351654, 0.8143860101699829)","(-20.00967788696289, 28.68590545654297, -0.20098310708999634)",1,3.8249359130859375,1,"(14.62973403930664, -46.83735656738281, 646.9761962890625)","(0.4694158434867859, 0.5998138785362244, 0.4458165764808655)",1,test
