device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1981959975,741065982455,"(0.4936083257198334, 0.41039493680000305)","(-1.2059115171432495, 73.45074462890625, 16.092121124267578)",1,4.2675628662109375,1,"(-47.02378845214844, -44.41206359863281, 645.01953125)","(0.5983742475509644, 0.5954648852348328, 0.44460806250572205)",1,"(0.4232761561870575, 0.4171045124530792)","(-14.475379943847656, 72.70729064941406, 15.821504592895508)",1,4.0266876220703125,1,"(14.497295379638672, -46.104923248291016, 646.7042236328125)","(0.4696827232837677, 0.5983216762542725, 0.44513270258903503)",1,test
1982459999,741066482316,"(0.581413984298706, 0.3794759213924408)","(15.360259056091309, 76.87678527832031, 17.339073181152344)",1,3.939605712890625,1,"(-47.00440979003906, -44.651939392089844, 644.835205078125)","(0.5983641743659973, 0.5959864258766174, 0.4442329704761505)",1,"(0.5168333649635315, 0.32976341247558594)","(3.1759142875671387, 82.38526153564453, 19.343990325927734)",1,3.775115966796875,1,"(14.387052536010742, -46.269386291503906, 646.1888427734375)","(0.46988463401794434, 0.5987230539321899, 0.444028377532959)",1,test
1982960024,741066982106,"(0.5163297653198242, 0.4105812609195709)","(3.0809078216552734, 73.43010711669922, 16.084590911865234)",1,3.8926239013671875,1,"(-47.07019805908203, -44.737953186035156, 645.095458984375)","(0.5984564423561096, 0.5961382985115051, 0.444816529750824)",1,"(0.42485684156417847, 0.369493693113327)","(-14.177154541015625, 77.9828872680664, 17.741641998291016)",1,3.7935028076171875,1,"(14.343131065368652, -46.403289794921875, 646.4998779296875)","(0.4699919521808624, 0.5989670753479004, 0.44471728801727295)",1,test
1983476703,741067498928,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,test
1983993399,741068015795,"(0.4777987003326416, 0.4112853705883026)","(-4.188693046569824, 73.35209655761719, 16.05618667602539)",1,4.389739990234375,1,"(-46.96620178222656, -44.570526123046875, 644.9310302734375)","(0.5982683300971985, 0.5958053469657898, 0.44442522525787354)",1,"(0.41726580262184143, 0.4136623740196228)","(-15.60934829711914, 73.08869934082031, 15.960356712341309)",1,4.3054656982421875,1,"(14.49421501159668, -46.32928466796875, 646.669921875)","(0.469685822725296, 0.598792552947998, 0.44508469104766846)",1,test
1984493426,741068515737,"(0.6130406856536865, 0.4178195297718048)","(21.327220916748047, 72.62805938720703, 15.792683601379395)",1,3.9891357421875,1,"(-46.83230972290039, -44.68876647949219, 644.8389892578125)","(0.5980036854743958, 0.5960615873336792, 0.4442185163497925)",1,"(0.5202838182449341, 0.3884326219558716)","(3.8269169330596924, 75.88432312011719, 16.977853775024414)",1,3.8235931396484375,1,"(14.65100383758545, -46.46320343017578, 646.523681640625)","(0.4693496525287628, 0.5990866422653198, 0.44479092955589294)",1,test
1985010109,741069032329,"(0.6029898524284363, 0.4366632401943207)","(19.430944442749023, 70.54005432128906, 15.032699584960938)",1,4.1930999755859375,1,"(-47.06333541870117, -45.00376892089844, 644.9454345703125)","(0.5984664559364319, 0.5967105031013489, 0.44452089071273804)",1,"(0.5069594979286194, 0.40625908970832825)","(1.3130398988723755, 73.9090347290039, 16.25890350341797)",1,4.000091552734375,1,"(14.411555290222168, -46.744041442871094, 646.5232543945312)","(0.46984800696372986, 0.5996732711791992, 0.44481199979782104)",1,test
1985526800,741069549203,"(0.537484884262085, 0.45975103974342346)","(7.0722174644470215, 67.98176574707031, 14.101578712463379)",1,4.230194091796875,1,"(-47.52326965332031, -45.21509552001953, 644.6436767578125)","(0.5994786620140076, 0.5971895456314087, 0.4439641535282135)",1,"(0.4626973569393158, 0.43570178747177124)","(-7.037843227386475, 70.64659118652344, 15.071468353271484)",1,4.0626220703125,1,"(13.95425033569336, -46.810787200927734, 646.088134765625)","(0.4707806408405304, 0.5998658537864685, 0.44385430216789246)",1,test
1986043488,741070065597,"(0.5985197424888611, 0.43896719813346863)","(18.587575912475586, 70.28477478027344, 14.939750671386719)",1,4.1279144287109375,1,"(-47.251712799072266, -45.032657623291016, 644.8234252929688)","(0.5988808870315552, 0.596785843372345, 0.44428950548171997)",1,"(0.5128101110458374, 0.40428626537323)","(2.4168598651885986, 74.12763214111328, 16.33846092224121)",1,3.986785888671875,1,"(14.261604309082031, -46.74580383300781, 647.0264282226562)","(0.47018757462501526, 0.5996205806732178, 0.4458969831466675)",1,test
1986043488,741070065597,"(0.5985197424888611, 0.43896719813346863)","(18.587575912475586, 70.28477478027344, 14.939750671386719)",1,4.1279144287109375,1,"(-47.251712799072266, -45.032657623291016, 644.8234252929688)","(0.5988808870315552, 0.596785843372345, 0.44428950548171997)",1,"(0.5128101110458374, 0.40428626537323)","(2.4168598651885986, 74.12763214111328, 16.33846092224121)",1,3.986785888671875,1,"(14.261604309082031, -46.74580383300781, 647.0264282226562)","(0.47018757462501526, 0.5996205806732178, 0.4458969831466675)",1,test
