device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
1991543736,741075566065,"(0.5334474444389343, 0.3905559778213501)","(6.31048059463501, 75.64905548095703, 16.892187118530273)",1,4.02838134765625,1,"(-48.28972244262695, -45.39994430541992, 646.2034912109375)","(0.6008051037788391, 0.5974082946777344, 0.4474842846393585)",1,"(0.4331176280975342, 0.37747398018836975)","(-12.618602752685547, 77.0986099243164, 17.419828414916992)",1,3.877197265625,1,"(13.186115264892578, -46.750640869140625, 647.8408813476562)","(0.47247180342674255, 0.5995461940765381, 0.4476160407066345)",1,test
1992060425,741076082865,"(0.5266496539115906, 0.3966655135154724)","(5.027950286865234, 74.9720687866211, 16.645809173583984)",1,4.22271728515625,1,"(-48.186370849609375, -45.087379455566406, 645.1702270507812)","(0.6007726192474365, 0.5968693494796753, 0.445194810628891)",1,"(0.43017637729644775, 0.39684808254241943)","(-13.173521041870117, 74.95184326171875, 16.638431549072266)",1,4.1657257080078125,1,"(13.207525253295898, -46.492637634277344, 647.2830810546875)","(0.4724019467830658, 0.5990731120109558, 0.4463755786418915)",1,test
1992577117,741076599494,"(0.4827123284339905, 0.38469845056533813)","(-3.261641025543213, 76.29810333251953, 17.128421783447266)",1,4.216461181640625,1,"(-48.12267303466797, -44.925472259521484, 645.400390625)","(0.600600004196167, 0.5965050458908081, 0.4456643760204315)",1,"(0.39466869831085205, 0.37829309701919556)","(-19.872711181640625, 77.0078353881836, 17.38681983947754)",1,4.1187744140625,1,"(13.294639587402344, -46.294219970703125, 646.333740234375)","(0.4721751809120178, 0.598767101764679, 0.44429561495780945)",1,test
1993077138,741077099467,"(0.5057381391525269, 0.5065308213233948)","(1.0825998783111572, 62.79827880859375, 12.214914321899414)",1,4.2291107177734375,1,"(-48.007484436035156, -45.110050201416016, 645.0343627929688)","(0.6004227995872498, 0.5969304442405701, 0.44487464427948)",1,"(0.42617082595825195, 0.5315427780151367)","(-13.929243087768555, 60.02678680419922, 11.206172943115234)",1,4.121185302734375,1,"(13.375072479248047, -46.50421905517578, 646.6656494140625)","(0.47202202677726746, 0.5991660356521606, 0.44504448771476746)",1,test
1993593830,741077616230,"(0.5368717312812805, 0.5792561173439026)","(6.9565277099609375, 54.73983383178711, 9.281900405883789)",1,4.1285247802734375,1,"(-48.143802642822266, -45.25853729248047, 645.14306640625)","(0.600687563419342, 0.5972298383712769, 0.44514888525009155)",1,"(0.44174641370773315, 0.5743245482444763)","(-10.990620613098145, 55.286277770996094, 9.480783462524414)",1,3.9764251708984375,1,"(13.266117095947266, -46.639442443847656, 646.9342041015625)","(0.4722617268562317, 0.5994177460670471, 0.44563862681388855)",1,test
1994110520,741078132756,"(0.7118780612945557, 0.5463225841522217)","(39.9747200012207, 58.38908386230469, 10.61008358001709)",1,4.050506591796875,1,"(-48.09257888793945, -45.53715515136719, 645.5333251953125)","(0.6005107760429382, 0.5977680683135986, 0.446017861366272)",1,"(0.6207377314567566, 0.5308355689048767)","(22.779409408569336, 60.10515594482422, 11.234691619873047)",1,3.8013153076171875,1,"(13.421459197998047, -46.7906494140625, 647.0462646484375)","(0.4719419479370117, 0.5997183322906494, 0.44590678811073303)",1,test
1994627207,741078649610,"(0.49128156900405884, 0.3905715346336365)","(-1.6448973417282104, 75.64733123779297, 16.89156150817871)",1,4.0938720703125,1,"(-48.607574462890625, -45.30632781982422, 644.8614501953125)","(0.6017057299613953, 0.5973648428916931, 0.44461920857429504)",1,"(0.4098082482814789, 0.38360798358917236)","(-17.016345977783203, 76.41893768310547, 17.172388076782227)",1,3.8851318359375,1,"(12.846420288085938, -46.57298278808594, 646.7423095703125)","(0.4731293320655823, 0.5993046760559082, 0.4451960027217865)",1,test
1995143899,741079166187,"(0.4791654348373413, 0.39803245663642883)","(-3.9308269023895264, 74.82060241699219, 16.590669631958008)",1,4.052398681640625,1,"(-48.36018753051758, -45.13472366333008, 644.8772583007812)","(0.601186990737915, 0.5970021486282349, 0.4445938766002655)",1,"(0.4052789509296417, 0.37276071310043335)","(-17.870885848999023, 77.62088775634766, 17.6098690032959)",1,3.89068603515625,1,"(13.055946350097656, -46.48163604736328, 646.7109375)","(0.4726909101009369, 0.5991164445877075, 0.44512608647346497)",1,test
1995143899,741079166187,"(0.4791654348373413, 0.39803245663642883)","(-3.9308269023895264, 74.82060241699219, 16.590669631958008)",1,4.052398681640625,1,"(-48.36018753051758, -45.13472366333008, 644.8772583007812)","(0.601186990737915, 0.5970021486282349, 0.4445938766002655)",1,"(0.4052789509296417, 0.37276071310043335)","(-17.870885848999023, 77.62088775634766, 17.6098690032959)",1,3.89068603515625,1,"(13.055946350097656, -46.48163604736328, 646.7109375)","(0.4726909101009369, 0.5991164445877075, 0.44512608647346497)",1,test
1996160612,741080182984,"(0.4526509642601013, 0.34791287779808044)","(-8.933277130126953, 80.37417602539062, 18.612022399902344)",1,4.197265625,1,"(-48.32481002807617, -44.94804382324219, 645.0218505859375)","(0.6010885238647461, 0.5965956449508667, 0.44487980008125305)",1,"(0.38374513387680054, 0.3384702205657959)","(-21.93364143371582, 81.42048645019531, 18.992835998535156)",1,4.0670166015625,1,"(13.092909812927246, -46.2625617980957, 646.1326904296875)","(0.47258731722831726, 0.5987255573272705, 0.44384658336639404)",1,test
1996160612,741080182984,"(0.4526509642601013, 0.34791287779808044)","(-8.933277130126953, 80.37417602539062, 18.612022399902344)",1,4.197265625,1,"(-48.32481002807617, -44.94804382324219, 645.0218505859375)","(0.6010885238647461, 0.5965956449508667, 0.44487980008125305)",1,"(0.38374513387680054, 0.3384702205657959)","(-21.93364143371582, 81.42048645019531, 18.992835998535156)",1,4.0670166015625,1,"(13.092909812927246, -46.2625617980957, 646.1326904296875)","(0.47258731722831726, 0.5987255573272705, 0.44384658336639404)",1,test
1997177312,741081199694,"(0.5408206582069397, 0.48432525992393494)","(7.701577186584473, 65.2587890625, 13.110455513000488)",1,3.9967041015625,1,"(-48.468448638916016, -45.48918533325195, 644.7191772460938)","(0.601439356803894, 0.5977620482444763, 0.44430992007255554)",1,"(0.44648030400276184, 0.4980691373348236)","(-10.097485542297363, 63.735870361328125, 12.556203842163086)",1,3.9094390869140625,1,"(12.87458610534668, -46.696937561035156, 645.9799194335938)","(0.4730335772037506, 0.5996496677398682, 0.44355762004852295)",1,test
