device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
2056096617,741140119544,"(0.4591767191886902, 0.35183969140052795)","(-7.702073097229004, 79.93905639648438, 18.453659057617188)",1,4.463653564453125,1,"(-55.75636291503906, -46.79328918457031, 643.2959594726562)","(0.6169463396072388, 0.6007152795791626, 0.442647248506546)",1,"(0.4112602770328522, 0.3476026654243469)","(-16.742395401000977, 80.40855407714844, 18.62453269958496)",1,4.2729644775390625,1,"(5.746005058288574, -46.494075775146484, 645.928955078125)","(0.4879418909549713, 0.5992894768714905, 0.44320201873779297)",1,test
2056613305,741140636194,"(0.49673372507095337, 0.39786967635154724)","(-0.6162468791007996, 74.83863067626953, 16.59728240966797)",1,3.8377838134765625,1,"(-55.18694305419922, -46.933746337890625, 642.5123291015625)","(0.6159126162528992, 0.6010972261428833, 0.44086435437202454)",1,"(0.4090622365474701, 0.3812798261642456)","(-17.1570987701416, 76.67691040039062, 17.26630401611328)",1,3.66552734375,1,"(6.19702672958374, -46.78437805175781, 645.3924560546875)","(0.4869842827320099, 0.5999526977539062, 0.44208136200904846)",1,test
2057129996,741141152719,"(0.5597673058509827, 0.34603241086006165)","(11.276206970214844, 80.58255004882812, 18.687833786010742)",1,3.5979461669921875,1,"(-55.389652252197266, -47.083824157714844, 642.7158203125)","(0.6162952780723572, 0.6013899445533752, 0.4413599371910095)",1,"(0.47600921988487244, 0.3528386354446411)","(-4.52631139755249, 79.82838439941406, 18.41334342956543)",1,3.44903564453125,1,"(6.046487331390381, -46.840126037597656, 645.108154296875)","(0.48729267716407776, 0.600102961063385, 0.44146794080734253)",1,test
2057646686,741141669483,"(0.517788827419281, 0.39882034063339233)","(3.3561863899230957, 74.73329162597656, 16.55891990661621)",1,3.951171875,1,"(-54.337989807128906, -47.40998840332031, 643.1763916015625)","(0.6139979958534241, 0.6020111441612244, 0.44220393896102905)",1,"(0.4718688428401947, 0.3692520558834076)","(-5.307465076446533, 78.00965881347656, 17.75139617919922)",1,3.783477783203125,1,"(7.121970176696777, -47.70466613769531, 645.4141845703125)","(0.4850424826145172, 0.6018624305725098, 0.44226139783859253)",1,test
2058163371,741142186119,"(0.5004905462265015, 0.4234858751296997)","(0.09254992753267288, 72.00018310546875, 15.564181327819824)",1,3.91973876953125,1,"(-54.37582015991211, -47.693016052246094, 642.7470703125)","(0.6141614317893982, 0.6026564836502075, 0.44131696224212646)",1,"(0.4182395040988922, 0.40360260009765625)","(-15.425642013549805, 74.2033920288086, 16.366060256958008)",1,3.7984771728515625,1,"(7.107172012329102, -48.100982666015625, 645.0234375)","(0.48506057262420654, 0.6027358174324036, 0.4414622485637665)",1,test
2058680058,741142702712,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,test
2059180082,741143202772,"(0.4932292699813843, 0.40341341495513916)","(-1.2774266004562378, 74.22434997558594, 16.37369728088379)",1,4.071807861328125,1,"(-53.43943786621094, -47.137115478515625, 640.9448852539062)","(0.6125572919845581, 0.6016957759857178, 0.43718233704566956)",1,"(0.42475417256355286, 0.424991250038147)","(-14.196524620056152, 71.83338165283203, 15.503438949584961)",1,3.963897705078125,1,"(8.040970802307129, -47.85948944091797, 643.6536865234375)","(0.4830649793148041, 0.6023871898651123, 0.4384830594062805)",1,test
2059696771,741143719368,"(0.5762852430343628, 0.4261350631713867)","(14.392621040344238, 71.70664978027344, 15.457286834716797)",1,3.8489532470703125,1,"(-53.2957878112793, -47.30322265625, 641.654052734375)","(0.6121147274971008, 0.6019595265388489, 0.43871113657951355)",1,"(0.4981447458267212, 0.429966002702713)","(-0.3500344157218933, 71.28215026855469, 15.30281925201416)",1,3.605133056640625,1,"(8.22838020324707, -48.091407775878906, 643.925048828125)","(0.48267823457717896, 0.6028381586074829, 0.4391060173511505)",1,test
2060213463,741144236228,"(0.5012574791908264, 0.6545461416244507)","(0.23723766207695007, 46.397216796875, 6.245408058166504)",1,3.7857208251953125,1,"(-53.76402282714844, -47.71783447265625, 641.4886474609375)","(0.6131286025047302, 0.60285484790802, 0.4384879767894745)",1,"(0.38852572441101074, 0.6197289824485779)","(-21.031688690185547, 50.25517654418945, 7.649587154388428)",1,3.7028656005859375,1,"(7.704148292541504, -48.46065139770508, 644.2213134765625)","(0.48378461599349976, 0.6035785675048828, 0.43978139758110046)",1,test
2060713487,741144736263,"(0.5192766785621643, 0.6034860610961914)","(3.63690447807312, 52.05500030517578, 8.304679870605469)",1,3.7362518310546875,1,"(-53.996856689453125, -47.861061096191406, 641.609619140625)","(0.6135927438735962, 0.6031433343887329, 0.438809335231781)",1,"(0.4322138726711273, 0.60272216796875)","(-12.789113998413086, 52.13964080810547, 8.335504531860352)",1,3.59332275390625,1,"(7.404367446899414, -48.46905517578125, 644.330078125)","(0.4844164550304413, 0.603585422039032, 0.4400109350681305)",1,test
2061230177,741145252987,"(0.5231368541717529, 0.39704233407974243)","(4.365190029144287, 74.93032836914062, 16.630571365356445)",1,3.6265106201171875,1,"(-53.82083511352539, -47.34489440917969, 642.592041015625)","(0.6130309104919434, 0.6019397377967834, 0.44083890318870544)",1,"(0.4401874840259552, 0.36575406789779663)","(-11.28473949432373, 78.39725494384766, 17.892475128173828)",1,3.4443511962890625,1,"(7.657344818115234, -48.038902282714844, 645.0016479492188)","(0.4839078187942505, 0.6026043891906738, 0.44142070412635803)",1,test
2061746868,741145769622,"(0.4914534091949463, 0.369235098361969)","(-1.6124736070632935, 78.01153564453125, 17.752098083496094)",1,3.6187286376953125,1,"(-53.9615592956543, -47.200836181640625, 641.5176391601562)","(0.6135402917861938, 0.6017659902572632, 0.438522607088089)",1,"(0.39992743730545044, 0.35361436009407043)","(-18.880542755126953, 79.74241638183594, 18.38207244873047)",1,3.4999237060546875,1,"(7.549190521240234, -47.81589889526367, 643.8677368164062)","(0.4841040372848511, 0.602274477481842, 0.43892940878868103)",1,test
