device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
2077080886,741161103742,"(0.5166353583335876, 0.3701150715351105)","(3.1385676860809326, 77.91403198242188, 17.71659278869629)",1,3.776519775390625,1,"(-53.70783615112305, -46.270591735839844, 639.6512451171875)","(0.6133835911750793, 0.6000248789787292, 0.4343273639678955)",1,"(0.4315517246723175, 0.3376179039478302)","(-12.914040565490723, 81.51493072509766, 19.0272159576416)",1,3.5775146484375,1,"(7.837466716766357, -47.03010559082031, 642.69580078125)","(0.48346975445747375, 0.6007660031318665, 0.436296671628952)",1,test
2077580908,741161603710,"(0.5013411045074463, 0.4013535678386688)","(0.2530224025249481, 74.45259857177734, 16.456727981567383)",1,3.808258056640625,1,"(-53.19240188598633, -45.923011779785156, 639.336669921875)","(0.6123615503311157, 0.599324107170105, 0.433513343334198)",1,"(0.4118046164512634, 0.4078464210033417)","(-16.63970375061035, 73.73313903808594, 16.19490623474121)",1,3.68499755859375,1,"(8.222820281982422, -46.759010314941406, 642.7918090820312)","(0.4826638698577881, 0.6001839637756348, 0.43648242950439453)",1,test
2078097599,741162120566,"(0.5151270031929016, 0.39304205775260925)","(2.8539793491363525, 75.37358093261719, 16.791919708251953)",1,3.8770599365234375,1,"(-53.29595947265625, -45.98565673828125, 639.3191528320312)","(0.6125831604003906, 0.5994591116905212, 0.433501273393631)",1,"(0.43506598472595215, 0.4358670711517334)","(-12.251001358032227, 70.62828063964844, 15.064777374267578)",1,3.7288818359375,1,"(8.116240501403809, -46.71703338623047, 642.1783447265625)","(0.4828697144985199, 0.600167989730835, 0.43514299392700195)",1,test
2078614290,741162637147,"(0.5721544027328491, 0.39137426018714905)","(13.613255500793457, 75.55838012695312, 16.85919761657715)",1,3.65087890625,1,"(-53.53181457519531, -46.150177001953125, 639.1073608398438)","(0.6131216883659363, 0.5998327732086182, 0.43310481309890747)",1,"(0.49157097935676575, 0.36971402168273926)","(-1.5902986526489258, 77.95848846435547, 17.732742309570312)",1,3.5113677978515625,1,"(7.861093521118164, -46.826377868652344, 642.4324951171875)","(0.48341357707977295, 0.6003696918487549, 0.43570104241371155)",1,test
2079130973,741163153840,"(0.4993036985397339, 0.40006187558174133)","(-0.13136506080627441, 74.5957260131836, 16.508832931518555)",1,3.73626708984375,1,"(-53.75925064086914, -46.25602722167969, 639.1717529296875)","(0.6135879158973694, 0.6000504493713379, 0.43329760432243347)",1,"(0.4260232746601105, 0.38238123059272766)","(-13.957083702087402, 76.55486297607422, 17.221899032592773)",1,3.587005615234375,1,"(7.6532979011535645, -46.88916015625, 641.9594116210938)","(0.48383691906929016, 0.6005580425262451, 0.43467646837234497)",1,test
2079630998,741163653887,"(0.5538294911384583, 0.49120524525642395)","(10.155927658081055, 64.49645233154297, 12.833013534545898)",1,3.7065277099609375,1,"(-54.05913162231445, -46.65910720825195, 639.10986328125)","(0.6142306923866272, 0.6009107828140259, 0.433266282081604)",1,"(0.4494183361530304, 0.49212536215782166)","(-9.543174743652344, 64.39450073242188, 12.795860290527344)",1,3.6049346923828125,1,"(7.323636054992676, -47.140220642089844, 642.5582885742188)","(0.4845459759235382, 0.6010169386863708, 0.43599867820739746)",1,test
2080147689,741164170512,"(0.5444300770759583, 0.5062682628631592)","(8.382560729980469, 62.827369689941406, 12.225513458251953)",1,3.685089111328125,1,"(-54.160850524902344, -46.51120376586914, 639.5279541015625)","(0.6143617630004883, 0.6005503535270691, 0.43417131900787354)",1,"(0.46688878536224365, 0.521816074848175)","(-6.247046947479248, 61.104576110839844, 11.598450660705566)",1,3.55914306640625,1,"(7.264791488647461, -46.928741455078125, 642.205810546875)","(0.48466160893440247, 0.6006155014038086, 0.43520641326904297)",1,test
2080664378,741164687363,"(0.5304459929466248, 0.5548735857009888)","(5.744189739227295, 57.44158935546875, 10.265233993530273)",1,3.34912109375,1,"(-54.093685150146484, -46.52900314331055, 639.1263427734375)","(0.6143009662628174, 0.6006345748901367, 0.43329256772994995)",1,"(0.415316104888916, 0.5264498591423035)","(-15.977195739746094, 60.591102600097656, 11.411606788635254)",1,3.2458953857421875,1,"(7.387872695922852, -47.02206802368164, 641.894775390625)","(0.48439323902130127, 0.600846529006958, 0.43454575538635254)",1,test
2081181068,741165203989,"(0.5639936327934265, 0.6135370135307312)","(12.073578834533691, 50.9412956237793, 7.899291515350342)",1,3.653045654296875,1,"(-53.774166107177734, -46.60886001586914, 639.320556640625)","(0.6135877370834351, 0.6007776260375977, 0.433664470911026)",1,"(0.4423963129520416, 0.6618503928184509)","(-10.86800479888916, 45.58785629272461, 5.950824737548828)",1,3.489227294921875,1,"(7.652520179748535, -47.11808776855469, 642.005615234375)","(0.48383834958076477, 0.6010327339172363, 0.434804767370224)",1,test
2081697758,741165720675,"(0.6419633626937866, 0.5886719226837158)","(26.78402328491211, 53.696502685546875, 8.902130126953125)",1,3.436309814453125,1,"(-53.801124572753906, -46.47903823852539, 639.2109985351562)","(0.6136671900749207, 0.6005167365074158, 0.4334167540073395)",1,"(0.5410519242286682, 0.5868387818336487)","(7.745208263397217, 53.89961624145508, 8.97608757019043)",1,3.2757720947265625,1,"(7.67921781539917, -47.01612091064453, 642.3568725585938)","(0.48379290103912354, 0.6007776260375977, 0.43555521965026855)",1,test
2082197780,741166220771,"(0.5992757081985474, 0.3743213713169098)","(18.730194091796875, 77.44795227050781, 17.54694175720215)",1,3.273040771484375,1,"(-53.84191131591797, -46.47014236450195, 639.4791259765625)","(0.6136995553970337, 0.6004669070243835, 0.434003084897995)",1,"(0.5086170434951782, 0.36272919178009033)","(1.6257572174072266, 78.7324447631836, 18.01445198059082)",1,3.097137451171875,1,"(7.677035808563232, -47.00285339355469, 642.4935302734375)","(0.48380154371261597, 0.6007338762283325, 0.43585020303726196)",1,test
2082714470,741166737398,"(0.603647768497467, 0.39616891741752625)","(19.555072784423828, 75.02710723876953, 16.665800094604492)",1,3.256103515625,1,"(-54.1480712890625, -46.534854888916016, 640.05810546875)","(0.6142280101776123, 0.6005379557609558, 0.4353185296058655)",1,"(0.51044100522995, 0.3827541768550873)","(1.9698885679244995, 76.51353454589844, 17.206859588623047)",1,3.0941925048828125,1,"(7.358465194702148, -46.994110107421875, 643.4370727539062)","(0.48449790477752686, 0.6006079912185669, 0.437889039516449)",1,test
