device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
2098381837,741182404792,"(0.4906430244445801, 0.3566538095474243)","(-1.7653696537017822, 79.40563201904297, 18.259475708007812)",1,3.7760162353515625,1,"(-53.854461669921875, -45.966087341308594, 641.9852294921875)","(0.6132287979125977, 0.5991153717041016, 0.43936648964881897)",1,"(0.41179564595222473, 0.3863300681114197)","(-16.641393661499023, 76.11731719970703, 17.062625885009766)",1,3.6092529296875,1,"(7.6651506423950195, -46.654945373535156, 645.36962890625)","(0.48391100764274597, 0.5996736288070679, 0.442050039768219)",1,test
2098898526,741182921611,"(0.4814167320728302, 0.3480672240257263)","(-3.50608229637146, 80.3570785522461, 18.605785369873047)",1,3.7428741455078125,1,"(-53.987876892089844, -46.00299072265625, 642.5175170898438)","(0.613402783870697, 0.5991329550743103, 0.4405461847782135)",1,"(0.4005468785762787, 0.37449491024017334)","(-18.763675689697266, 77.42872619628906, 17.539939880371094)",1,3.636505126953125,1,"(7.500458240509033, -46.65923309326172, 645.4071655273438)","(0.4842568039894104, 0.5996795296669006, 0.44212791323661804)",1,test
2099398550,741183421628,"(0.5808441638946533, 0.023514505475759506)","(15.25274658203125, 116.31963348388672, 31.695104598999023)",1,3.78802490234375,1,"(-53.65953826904297, -45.662803649902344, 642.0191650390625)","(0.6128146648406982, 0.5984727144241333, 0.439369261264801)",1,"(0.5206668972969055, 0.012923674657940865)","(3.8991949558258057, 117.49317932128906, 32.12220001220703)",1,3.5377655029296875,1,"(7.72885799407959, -46.310028076171875, 645.4930419921875)","(0.48378339409828186, 0.5989395976066589, 0.4422783851623535)",1,test
2099915239,741183938321,"(0.49163296818733215, 0.26733216643333435)","(-1.5786017179489136, 89.30305480957031, 21.861862182617188)",1,4.0319976806640625,1,"(-54.10298156738281, -46.24723815917969, 642.1053466796875)","(0.613724946975708, 0.5996941924095154, 0.4397042989730835)",1,"(0.39816567301750183, 0.25193917751312256)","(-19.21293830871582, 91.00868225097656, 22.482677459716797)",1,3.87713623046875,1,"(7.258452415466309, -46.85612106323242, 645.4574584960938)","(0.484763503074646, 0.6000863909721375, 0.442254900932312)",1,test
2100431929,741184454847,"(0.4928739666938782, 0.3490304946899414)","(-1.3444666862487793, 80.25033569335938, 18.56694984436035)",1,4.0576171875,1,"(-54.25897979736328, -46.60112762451172, 642.390869140625)","(0.6139933466911316, 0.6004055142402649, 0.440392404794693)",1,"(0.40084704756736755, 0.36347508430480957)","(-18.70703887939453, 78.64977264404297, 17.984403610229492)",1,3.97625732421875,1,"(7.17982816696167, -47.091468811035156, 645.2288818359375)","(0.484920471906662, 0.6006044149398804, 0.4417853355407715)",1,test
2100948619,741184971855,"(0.5367267727851868, 0.4568815231323242)","(6.929187774658203, 68.29975891113281, 14.217247009277344)",1,4.1767730712890625,1,"(-54.274330139160156, -46.38166809082031, 641.8557739257812)","(0.6141336560249329, 0.6000069379806519, 0.439211368560791)",1,"(0.45028626918792725, 0.4858703315258026)","(-9.379423141479492, 65.08759307861328, 13.04814624786377)",1,4.130157470703125,1,"(7.192614555358887, -46.83006286621094, 644.6428833007812)","(0.48487967252731323, 0.6001265645027161, 0.44048210978507996)",1,test
2101465308,741185488319,"(0.5189890265464783, 0.5473276972770691)","(3.5826311111450195, 58.27771759033203, 10.569552421569824)",1,4.0270843505859375,1,"(-54.334075927734375, -46.54985046386719, 641.6153564453125)","(0.6143063902854919, 0.6003888845443726, 0.43872228264808655)",1,"(0.42236804962158203, 0.5891136527061462)","(-14.646709442138672, 53.64756393432617, 8.884316444396973)",1,3.984527587890625,1,"(7.090442657470703, -47.02213668823242, 644.770263671875)","(0.4850959777832031, 0.6005136966705322, 0.440779447555542)",1,test
2101981997,741186005102,"(0.5426710844039917, 0.6325434446334839)","(8.050690650939941, 48.83524703979492, 7.132798671722412)",1,4.0163726806640625,1,"(-54.09424591064453, -46.40217208862305, 641.460205078125)","(0.61383455991745, 0.6000944972038269, 0.4383257031440735)",1,"(0.4547513723373413, 0.6472164988517761)","(-8.53699016571045, 47.20938491821289, 6.541018486022949)",1,3.8922119140625,1,"(7.34623384475708, -46.91912078857422, 644.466552734375)","(0.4845523238182068, 0.600331723690033, 0.44011390209198)",1,test
2102482022,741186505065,"(0.5615752935409546, 0.6236986517906189)","(11.617317199707031, 49.8153190612793, 7.489500999450684)",1,3.6977996826171875,1,"(-54.21601867675781, -46.50792694091797, 641.5445556640625)","(0.614072859287262, 0.6003080606460571, 0.43854278326034546)",1,"(0.4636756181716919, 0.6363986134529114)","(-6.853274822235107, 48.408077239990234, 6.977314472198486)",1,3.559906005859375,1,"(7.209295272827148, -47.04180145263672, 644.688232421875)","(0.48484453558921814, 0.6005633473396301, 0.44060656428337097)",1,test
2102998711,741187021861,"(0.5648881793022156, 0.6159072518348694)","(12.242356300354004, 50.67865753173828, 7.803722858428955)",1,3.37957763671875,1,"(-54.453155517578125, -46.6707763671875, 641.65283203125)","(0.6145482063293457, 0.6006397008895874, 0.4388395845890045)",1,"(0.4555816054344177, 0.62815922498703)","(-8.380358695983887, 49.32106018066406, 7.309608459472656)",1,3.1697845458984375,1,"(6.928181171417236, -47.133026123046875, 644.6800537109375)","(0.4854329824447632, 0.6007570624351501, 0.44059330224990845)",1,test
2103515402,741187538479,"(0.6954251527786255, 0.4600805640220642)","(36.87057113647461, 67.94525146484375, 14.088314056396484)",1,3.448089599609375,1,"(-54.35990524291992, -46.66423416137695, 642.454833984375)","(0.6141917705535889, 0.6005313396453857, 0.44055667519569397)",1,"(0.6209165453910828, 0.42402759194374084)","(22.813148498535156, 71.94017028808594, 15.542298316955566)",1,3.229949951171875,1,"(7.093112945556641, -47.09029006958008, 645.3914794921875)","(0.48510631918907166, 0.6005837917327881, 0.4421360194683075)",1,test
