device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
2125599720,741209623138,"(0.49075227975845337, 0.4084312915802002)","(-1.7447577714920044, 73.66834259033203, 16.17127799987793)",1,4.0257110595703125,1,"(-55.0552978515625, -47.708465576171875, 643.8538818359375)","(0.6153615713119507, 0.6025617718696594, 0.44383639097213745)",1,"(0.3924926221370697, 0.39553678035736084)","(-20.28327178955078, 75.0971450805664, 16.691303253173828)",1,3.8200531005859375,1,"(6.503152847290039, -47.88221740722656, 646.63427734375)","(0.4863662123680115, 0.6020932197570801, 0.444917231798172)",1,test
2126116410,741210139645,"(0.49328142404556274, 0.4048386812210083)","(-1.2675834894180298, 74.06642150878906, 16.316194534301758)",1,4.1102752685546875,1,"(-55.25136184692383, -48.013336181640625, 644.006103515625)","(0.6157392263412476, 0.6031838059425354, 0.4442393481731415)",1,"(0.39896267652511597, 0.3991255760192871)","(-19.062570571899414, 74.69947814941406, 16.54660415649414)",1,3.908935546875,1,"(6.305355072021484, -48.118682861328125, 646.55615234375)","(0.48677611351013184, 0.6025964617729187, 0.444772869348526)",1,test
2126633100,741210656323,"(0.4935424327850342, 0.33739301562309265)","(-1.2183406352996826, 81.53984832763672, 19.036287307739258)",1,4.322784423828125,1,"(-54.91827392578125, -47.999778747558594, 643.7850341796875)","(0.6150873899459839, 0.6031793355941772, 0.443698525428772)",1,"(0.4114953875541687, 0.3552263379096985)","(-16.698034286499023, 79.56380462646484, 18.31705665588379)",1,4.169158935546875,1,"(6.500987529754639, -48.057430267333984, 647.2015991210938)","(0.48638322949409485, 0.6023907661437988, 0.4461701810359955)",1,test
2127149790,741211173062,"(0.4868757724761963, 0.369829386472702)","(-2.4761359691619873, 77.9456787109375, 17.728132247924805)",1,4.2414703369140625,1,"(-54.911521911621094, -47.94165802001953, 643.3914184570312)","(0.6151527762413025, 0.6031049489974976, 0.4428388476371765)",1,"(0.4256232678890228, 0.3806956112384796)","(-14.032547950744629, 76.74162292480469, 17.289926528930664)",1,4.1452484130859375,1,"(6.556717872619629, -47.888694763183594, 646.8414306640625)","(0.4862593412399292, 0.602081835269928, 0.44536876678466797)",1,test
2127666481,741211689692,"(0.6020061373710632, 0.38307374715805054)","(19.245344161987305, 76.47811889648438, 17.193988800048828)",1,4.154388427734375,1,"(-54.687660217285156, -47.92208480834961, 643.497314453125)","(0.6146631240844727, 0.6030492782592773, 0.443024605512619)",1,"(0.5252274870872498, 0.38076522946357727)","(4.759629726409912, 76.73392486572266, 17.287073135375977)",1,3.9183502197265625,1,"(6.7910566329956055, -47.823089599609375, 646.6077880859375)","(0.4857645332813263, 0.6019709706306458, 0.44485872983932495)",1,test
2128183171,741212206378,"(0.5287066102027893, 0.4642210900783539)","(5.416032791137695, 67.48646545410156, 13.921302795410156)",1,3.8972015380859375,1,"(-54.88957214355469, -48.01736068725586, 643.233154296875)","(0.6151382923126221, 0.603282630443573, 0.442501962184906)",1,"(0.425322949886322, 0.4543413817882538)","(-14.089211463928223, 68.58119201660156, 14.319762229919434)",1,3.7256317138671875,1,"(6.564345359802246, -47.963134765625, 646.322021484375)","(0.4862303137779236, 0.6022982597351074, 0.4442508816719055)",1,test
2128683190,741212706443,"(0.5280399322509766, 0.3770168721675873)","(5.290249824523926, 77.14926147460938, 17.438262939453125)",1,3.8112335205078125,1,"(-55.32512664794922, -48.12932586669922, 643.388671875)","(0.6160180568695068, 0.6035021543502808, 0.44293212890625)",1,"(0.4275176227092743, 0.35441309213638306)","(-13.67514419555664, 79.6539077758789, 18.34986686706543)",1,3.671630859375,1,"(6.083434104919434, -47.98586654663086, 646.7451171875)","(0.4872448444366455, 0.6022992730140686, 0.445161908864975)",1,test
2129199877,741213223116,"(0.6003498435020447, 0.39174309372901917)","(18.932851791381836, 75.51749420166016, 16.84436798095703)",1,3.8193359375,1,"(-55.07555389404297, -48.26218795776367, 643.78076171875)","(0.6154158711433411, 0.6037309765815735, 0.44375079870224)",1,"(0.5087262392044067, 0.3318946361541748)","(1.6463698148727417, 82.14912414550781, 19.258005142211914)",1,3.6084136962890625,1,"(6.369063377380371, -48.17109680175781, 647.1109008789062)","(0.48665571212768555, 0.6026390790939331, 0.44598469138145447)",1,test
2129716567,741213739782,"(0.5962302088737488, 0.3742987811565399)","(18.155601501464844, 77.45045471191406, 17.547855377197266)",1,4.0242156982421875,1,"(-52.25403594970703, -46.37932205200195, 639.98681640625)","(0.6102544665336609, 0.6002030372619629, 0.434808611869812)",1,"(0.5188151597976685, 0.3653425872325897)","(3.549833059310913, 78.44286346435547, 17.909040451049805)",1,3.84747314453125,1,"(9.183544158935547, -47.069210052490234, 644.1436157226562)","(0.4806876480579376, 0.6006681323051453, 0.4394819140434265)",1,test
2130233257,741214256294,"(0.5837286114692688, 0.3933168947696686)","(15.79694938659668, 75.34310913085938, 16.780866622924805)",1,4.1710052490234375,1,"(-55.56217956542969, -47.76892852783203, 639.8251342773438)","(0.6172468662261963, 0.6031785607337952, 0.4352249801158905)",1,"(0.5141733288764954, 0.37400129437446594)","(2.6740660667419434, 77.48340606689453, 17.559865951538086)",1,3.9992218017578125,1,"(5.918331146240234, -47.154685974121094, 642.956298828125)","(0.48751142621040344, 0.6010118126869202, 0.43683311343193054)",1,test
2130749944,741214773129,"(0.5884790420532227, 0.4191639721393585)","(16.693206787109375, 72.4791030883789, 15.738412857055664)",1,4.199188232421875,1,"(-55.094058990478516, -47.77424621582031, 639.3317260742188)","(0.6163619160652161, 0.6032458543777466, 0.4340720772743225)",1,"(0.5191059708595276, 0.4110192060470581)","(3.6046948432922363, 73.381591796875, 16.06691551208496)",1,4.113250732421875,1,"(6.442140579223633, -47.40613555908203, 642.5271606445312)","(0.4863981306552887, 0.601584792137146, 0.43594348430633545)",1,test
