device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
2143367184,741227390559,"(0.48001399636268616, 0.3755056858062744)","(-3.770732879638672, 77.31671142578125, 17.499195098876953)",1,4.069000244140625,1,"(-52.43141555786133, -47.994110107421875, 643.5887451171875)","(0.6099228262901306, 0.60317063331604, 0.44282954931259155)",1,"(0.3847450613975525, 0.3661802411079407)","(-21.744985580444336, 78.35005187988281, 17.875255584716797)",1,3.7986297607421875,1,"(9.111648559570312, -48.81571960449219, 646.8272705078125)","(0.4809175431728363, 0.6039922833442688, 0.44552081823349)",1,test
2143883874,741227907160,"(0.5552874803543091, 0.40151864290237427)","(10.430997848510742, 74.43431854248047, 16.450063705444336)",1,3.983428955078125,1,"(-52.14275360107422, -48.06108093261719, 643.776123046875)","(0.6092824935913086, 0.6032859683036804, 0.4431929886341095)",1,"(0.4499558210372925, 0.39552852511405945)","(-9.441764831542969, 75.09805297851562, 16.69168472290039)",1,3.7245025634765625,1,"(9.305831909179688, -48.93391036987305, 647.4261474609375)","(0.4805317521095276, 0.6041640639305115, 0.446841299533844)",1,test
2144400558,741228423777,"(0.5042710304260254, 0.3843088150024414)","(0.8058046102523804, 76.3412857055664, 17.14413070678711)",1,4.108245849609375,1,"(-52.32378387451172, -47.86005401611328, 644.282958984375)","(0.609565258026123, 0.6028054356575012, 0.4442960023880005)",1,"(0.43169137835502625, 0.3450051248073578)","(-12.887688636779785, 80.69637298583984, 18.729291915893555)",1,3.904266357421875,1,"(9.141121864318848, -48.67084884643555, 647.1514892578125)","(0.480867862701416, 0.6036514639854431, 0.4462069272994995)",1,test
2144900582,741228923883,"(0.6268941760063171, 0.40358373522758484)","(23.94093894958496, 74.20549774169922, 16.36678123474121)",1,4.03729248046875,1,"(-51.839115142822266, -47.78032302856445, 643.2706909179688)","(0.608744740486145, 0.6027558445930481, 0.44201210141181946)",1,"(0.5512083768844604, 0.3271103799343109)","(9.661396026611328, 82.67924499511719, 19.45096778869629)",1,3.8469085693359375,1,"(9.596355438232422, -48.64665222167969, 646.7128295898438)","(0.4799024164676666, 0.6036503314971924, 0.44526606798171997)",1,test
2145417272,741229440462,"(0.5620502233505249, 0.41387447714805603)","(11.706915855407715, 73.0652084350586, 15.951764106750488)",1,4.0782470703125,1,"(-51.981201171875, -47.84383773803711, 643.9088134765625)","(0.6089203953742981, 0.6028135418891907, 0.4434250593185425)",1,"(0.4963360130786896, 0.35346731543540955)","(-0.6912873387336731, 79.75872039794922, 18.38797950744629)",1,3.8912353515625,1,"(9.477495193481445, -48.681148529052734, 647.6876220703125)","(0.480184406042099, 0.6036056876182556, 0.44738200306892395)",1,test
2145933961,741229957333,"(0.5197134613990784, 0.39403173327445984)","(3.7193024158477783, 75.26390075683594, 16.752052307128906)",1,4.0357666015625,1,"(-52.30573654174805, -47.985694885253906, 644.0191650390625)","(0.6095772981643677, 0.6031001210212708, 0.443737655878067)",1,"(0.45238110423088074, 0.38972705602645874)","(-8.98419189453125, 75.74089050292969, 16.9256534576416)",1,3.8147125244140625,1,"(9.199780464172363, -48.72478485107422, 647.18505859375)","(0.48074617981910706, 0.603759229183197, 0.44628840684890747)",1,test
2146433983,741230457393,"(0.5021639466285706, 0.3988190293312073)","(0.4082697629928589, 74.73344421386719, 16.558969497680664)",1,3.795654296875,1,"(-52.620361328125, -48.124855041503906, 644.1295166015625)","(0.6102134585380554, 0.6033807992935181, 0.444048672914505)",1,"(0.41076305508613586, 0.37028488516807556)","(-16.836206436157227, 77.89521026611328, 17.709745407104492)",1,3.61224365234375,1,"(8.865781784057617, -48.83124542236328, 647.5151977539062)","(0.4814532995223999, 0.603943407535553, 0.4470082223415375)",1,test
2146950673,741230974011,"(0.5430273413658142, 0.6079747080802917)","(8.117898941040039, 51.55762481689453, 8.123671531677246)",1,3.831146240234375,1,"(-52.77336502075195, -48.724403381347656, 644.567626953125)","(0.6104456186294556, 0.6045837998390198, 0.4450986087322235)",1,"(0.4327210485935211, 0.5976666808128357)","(-12.69342041015625, 52.69983673095703, 8.539360046386719)",1,3.588348388671875,1,"(8.675172805786133, -49.360801696777344, 647.75341796875)","(0.48185503482818604, 0.6050167679786682, 0.447587251663208)",1,test
2147467364,741231490551,"(0.5538888573646545, 0.6822632551193237)","(10.167126655578613, 43.32596969604492, 5.127601146697998)",1,3.932342529296875,1,"(-52.40271759033203, -48.5157470703125, 644.0138549804688)","(0.6097785234451294, 0.604211688041687, 0.443809449672699)",1,"(0.45401298999786377, 0.6762387156486511)","(-8.676301956176758, 43.99353790283203, 5.370528697967529)",1,3.7020263671875,1,"(9.02674674987793, -49.194129943847656, 647.1652221679688)","(0.4811035990715027, 0.604739248752594, 0.44629982113838196)",1,test
2147984053,741232007367,"(0.5774436593055725, 0.6780701875686646)","(14.611184120178223, 43.79059600830078, 5.296689033508301)",1,3.74444580078125,1,"(-52.22407150268555, -48.433319091796875, 643.9041748046875)","(0.6094263195991516, 0.6040509939193726, 0.443530797958374)",1,"(0.4510282278060913, 0.7398680448532104)","(-9.239436149597168, 36.9429931640625, 2.8043642044067383)",1,3.5195770263671875,1,"(9.195967674255371, -49.14445877075195, 647.06982421875)","(0.4807475209236145, 0.6046462059020996, 0.4460916221141815)",1,test
2148500745,741232524015,"(0.7142908573150635, 0.36264753341674805)","(40.4299430847168, 78.74149322509766, 18.01774024963379)",1,3.679962158203125,1,"(-51.95267868041992, -48.011409759521484, 644.029052734375)","(0.6088369488716125, 0.6031498312950134, 0.4437011778354645)",1,"(0.6263174414634705, 0.3667704164981842)","(23.832124710083008, 78.2846450805664, 17.85146713256836)",1,3.4087677001953125,1,"(9.521047592163086, -48.74760055541992, 647.4898681640625)","(0.4800862669944763, 0.6037672162055969, 0.44696271419525146)",1,test
2149017433,741233040773,"(0.7198795676231384, 0.5381812453269958)","(41.48435974121094, 59.29119110107422, 10.938460350036621)",1,3.860626220703125,1,"(-52.187416076660156, -48.356868743896484, 644.2113647460938)","(0.6092913150787354, 0.603853166103363, 0.44417935609817505)",1,"(0.6436553001403809, 0.5290089845657349)","(27.103225708007812, 60.30753707885742, 11.308380126953125)",1,3.6549530029296875,1,"(9.297709465026855, -48.956871032714844, 647.1009521484375)","(0.48053741455078125, 0.6042513251304626, 0.44613832235336304)",1,test
