device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
2199303017,741283326763,"(0.5304285287857056, 0.3683881163597107)","(5.740910053253174, 78.10537719726562, 17.786256790161133)",1,4.179290771484375,1,"(-45.978668212890625, -51.462196350097656, 646.3402099609375)","(0.5959326028823853, 0.610024094581604, 0.448180228471756)",1,"(0.4334993362426758, 0.35438665747642517)","(-12.54658317565918, 79.65684509277344, 18.350910186767578)",1,4.025238037109375,1,"(15.33218765258789, -55.65122604370117, 650.8554077148438)","(0.4681073725223541, 0.6175940036773682, 0.45545217394828796)",1,test
2199803042,741283826680,"(0.5356106162071228, 0.41568705439567566)","(6.718592643737793, 72.8643569946289, 15.878666877746582)",1,4.1636505126953125,1,"(-46.23177719116211, -51.676475524902344, 646.258056640625)","(0.5964727997779846, 0.61048424243927, 0.448070228099823)",1,"(0.43082571029663086, 0.3707216680049896)","(-13.051016807556152, 77.84681701660156, 17.692136764526367)",1,4.0436553955078125,1,"(15.00723934173584, -55.753055572509766, 650.9727172851562)","(0.46878689527511597, 0.6177908182144165, 0.455705463886261)",1,test
2200303062,741284326792,"(0.5413815975189209, 0.36377963423728943)","(7.807402610778809, 78.61605072021484, 17.972078323364258)",1,4.0976409912109375,1,"(-45.522769927978516, -51.13703918457031, 646.032470703125)","(0.5950348377227783, 0.6093816161155701, 0.447401225566864)",1,"(0.4210188388824463, 0.355037659406662)","(-14.901268005371094, 79.58470916748047, 18.324687957763672)",1,4.1287841796875,1,"(15.70400619506836, -55.46026611328125, 650.5341796875)","(0.4673193395137787, 0.6172410249710083, 0.45474642515182495)",1,test
2200803086,741284826665,"(0.5233786106109619, 0.42568179965019226)","(4.410797595977783, 71.75688934326172, 15.475533485412598)",1,4.285552978515625,1,"(-45.142303466796875, -51.37745666503906, 645.7838745117188)","(0.5942808389663696, 0.6099128127098083, 0.44683837890625)",1,"(0.3982400894165039, 0.3927175998687744)","(-19.198896408081055, 75.40953063964844, 16.80501937866211)",1,4.2166595458984375,1,"(16.13126564025879, -55.87383270263672, 649.7432861328125)","(0.46638375520706177, 0.6182052493095398, 0.4531155824661255)",1,test
2201303109,741285326856,"(0.5923653244972229, 0.42505842447280884)","(17.42642593383789, 71.82595825195312, 15.500694274902344)",1,4.15643310546875,1,"(-44.56013870239258, -52.10810089111328, 646.568115234375)","(0.5929351449012756, 0.6113297343254089, 0.4485490918159485)",1,"(0.502864420413971, 0.3944298028945923)","(0.5404258966445923, 75.21980285644531, 16.7359676361084)",1,4.0705108642578125,1,"(16.667293548583984, -57.04385757446289, 650.3993530273438)","(0.4653019309043884, 0.6205287575721741, 0.45474427938461304)",1,test
2201803126,741285827101,"(0.5099631547927856, 0.6300920844078064)","(1.8797227144241333, 49.106876373291016, 7.231651306152344)",1,4.1563873291015625,1,"(-45.411903381347656, -52.54372787475586, 645.8870849609375)","(0.5948202013969421, 0.612337052822113, 0.4472624361515045)",1,"(0.4214908480644226, 0.5699401497840881)","(-14.812214851379395, 55.77212142944336, 9.657591819763184)",1,4.0461578369140625,1,"(15.75214958190918, -57.287841796875, 649.8223876953125)","(0.467166543006897, 0.6211259961128235, 0.453482061624527)",1,test
2202303150,741286326890,"(0.5384970903396606, 0.6481999754905701)","(7.263179779052734, 47.100399017333984, 6.501363754272461)",1,4.238433837890625,1,"(-45.7558708190918, -52.760433197021484, 646.3162231445312)","(0.5954652428627014, 0.6127346158027649, 0.448273241519928)",1,"(0.42908039689064026, 0.5966938734054565)","(-13.380297660827637, 52.80762481689453, 8.57858943939209)",1,3.9943389892578125,1,"(15.442129135131836, -57.435089111328125, 650.5343627929688)","(0.4678495526313782, 0.6213290691375732, 0.45503222942352295)",1,test
2202819841,741286843526,"(0.5439314246177673, 0.4450993835926056)","(8.288470268249512, 69.60529327392578, 14.692442893981934)",1,3.849700927734375,1,"(-45.775421142578125, -52.462364196777344, 646.6500244140625)","(0.595452070236206, 0.6120681166648865, 0.44895708560943604)",1,"(0.4552043378353119, 0.3971356749534607)","(-8.451531410217285, 74.91997528076172, 16.626842498779297)",1,3.7152252197265625,1,"(15.462924003601074, -57.082725524902344, 650.9095458984375)","(0.46782976388931274, 0.6205453276634216, 0.4557923674583435)",1,test
2203303197,741287326752,"(0.4591560661792755, 0.4373762607574463)","(-7.705970287322998, 70.46105194091797, 15.003929138183594)",1,4.106048583984375,1,"(-46.056190490722656, -52.12879180908203, 646.5060424804688)","(0.5960628986358643, 0.6113938689231873, 0.4486421048641205)",1,"(0.3946349620819092, 0.35133904218673706)","(-19.879074096679688, 79.99455261230469, 18.47381591796875)",1,3.98480224609375,1,"(15.217954635620117, -56.736385345458984, 650.3807373046875)","(0.46831080317497253, 0.6199076771736145, 0.454580694437027)",1,test
2203803219,741287826998,"(0.6043789982795715, 0.4020543098449707)","(19.693037033081055, 74.37496948242188, 16.42845916748047)",1,4.0473480224609375,1,"(-45.16680908203125, -51.93550109863281, 646.0975341796875)","(0.5942775011062622, 0.611037015914917, 0.447596937417984)",1,"(0.5454794764518738, 0.30040714144706726)","(8.580551147460938, 85.63813018798828, 20.52791976928711)",1,3.8155975341796875,1,"(16.0601749420166, -56.71962356567383, 650.36865234375)","(0.46656227111816406, 0.6198673844337463, 0.4545954167842865)",1,test
2204319910,741288343712,"(0.5501623153686523, 0.43016108870506287)","(9.464042663574219, 71.26054382324219, 15.294917106628418)",1,3.9861602783203125,1,"(-44.9776611328125, -51.84175109863281, 645.866943359375)","(0.5939212441444397, 0.6108700633049011, 0.44705677032470703)",1,"(0.4922124147415161, 0.36396855115890503)","(-1.4692827463150024, 78.59512329101562, 17.96444320678711)",1,3.8599853515625,1,"(16.240337371826172, -56.781219482421875, 650.5006713867188)","(0.4661957323551178, 0.6199742555618286, 0.4549005925655365)",1,test
2204819926,741288843697,"(0.5073139667510986, 0.4044412672519684)","(1.3798996210098267, 74.1104736328125, 16.332185745239258)",1,3.9723968505859375,1,"(-45.16827392578125, -52.07941436767578, 645.6776123046875)","(0.5943487882614136, 0.6113932132720947, 0.446708083152771)",1,"(0.4136275351047516, 0.3760412037372589)","(-16.29576873779297, 77.25737762451172, 17.477584838867188)",1,3.8386077880859375,1,"(16.097110748291016, -57.04102325439453, 649.9116821289062)","(0.466456800699234, 0.6205986738204956, 0.45365574955940247)",1,test
